;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:46:35 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14166000 WILLAMETTE RIVER AT HARRISBURG, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14166000
;#            TS   parameter     Description
;#        117025       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;# 
;USGS 14166000_flow_WILLAMETTE RIVER AT HARRISBURG, OR_23763337 
day_index,Q_cfs,Year,Month,Day,Quality
36524,8678.750000,2000,1,1,A
36525,9176.250000,2000,1,2,A
36526,9735.833333,2000,1,3,A
36527,11374.375000,2000,1,4,A
36528,16643.750000,2000,1,5,A
36529,16054.166667,2000,1,6,A
36530,14802.083333,2000,1,7,A
36531,14016.666667,2000,1,8,A
36532,17906.250000,2000,1,9,A
36533,24706.250000,2000,1,10,A
36534,45227.083333,2000,1,11,A
36535,28764.583333,2000,1,12,A
36536,32950.000000,2000,1,13,A
36537,41314.583333,2000,1,14,A
36538,38054.166667,2000,1,15,A
36539,35589.583333,2000,1,16,A
36540,38825.000000,2000,1,17,A
36541,37856.250000,2000,1,18,A
36542,36854.166667,2000,1,19,A
36543,34629.166667,2000,1,20,A
36544,33254.166667,2000,1,21,A
36545,31087.500000,2000,1,22,A
36546,28745.833333,2000,1,23,A
36547,28012.765957,2000,1,24,A
36548,28833.333333,2000,1,25,A
36549,26983.333333,2000,1,26,A
36550,23806.250000,2000,1,27,A
36551,20143.750000,2000,1,28,A
36552,17747.916667,2000,1,29,A
36553,15527.083333,2000,1,30,A
36554,13606.250000,2000,1,31,A
36555,12679.166667,2000,2,1,A
36556,15650.000000,2000,2,2,A
36557,16456.250000,2000,2,3,A
36558,15029.166667,2000,2,4,A
36559,13575.000000,2000,2,5,A
36560,12135.416667,2000,2,6,A
36561,10952.083333,2000,2,7,A
36562,10345.833333,2000,2,8,A
36563,10895.833333,2000,2,9,A
36564,10587.500000,2000,2,10,A
36565,10556.250000,2000,2,11,A
36566,11968.085106,2000,2,12,A
36567,13670.833333,2000,2,13,A
36568,16512.500000,2000,2,14,A
36569,20435.416667,2000,2,15,A
36570,19716.666667,2000,2,16,A
36571,16587.500000,2000,2,17,A
36572,13075.000000,2000,2,18,A
36573,10827.083333,2000,2,19,A
36574,9701.875000,2000,2,20,A
36575,8913.750000,2000,2,21,A
36576,8562.916667,2000,2,22,A
36577,10162.916667,2000,2,23,A
36578,10091.250000,2000,2,24,A
36579,9258.333333,2000,2,25,A
36580,11087.916667,2000,2,26,A
36581,16179.166667,2000,2,27,A
36582,15666.666667,2000,2,28,A
36583,16583.333333,2000,2,29,A
36584,17435.416667,2000,3,1,A
36585,15125.000000,2000,3,2,A
36586,14510.416667,2000,3,3,A
36587,14047.916667,2000,3,4,A
36588,14875.000000,2000,3,5,A
36589,13656.250000,2000,3,6,A
36590,11314.583333,2000,3,7,A
36591,9742.291667,2000,3,8,A
36592,9063.750000,2000,3,9,A
36593,8577.500000,2000,3,10,A
36594,8810.833333,2000,3,11,A
