;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:46:58 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14166500 LONG TOM RIVER NEAR NOTI, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14166500
;#            TS   parameter     Description
;#        117028       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;# 
;USGS 14166500_flow_LONG TOM RIVER NEAR NOTI, OR_23763161 
day_index,Q_cfs,Year,Month,Day,Quality
36524,184.041667,2000,1,1,A
36525,245.645833,2000,1,2,A
36526,255.416667,2000,1,3,A
36527,370.916667,2000,1,4,A
36528,450.270833,2000,1,5,A
36529,360.770833,2000,1,6,A
36530,305.083333,2000,1,7,A
36531,282.708333,2000,1,8,A
36532,306.875000,2000,1,9,A
36533,602.958333,2000,1,10,A
36534,1690.416667,2000,1,11,A
36535,1254.791667,2000,1,12,A
36536,1632.708333,2000,1,13,A
36537,2219.375000,2000,1,14,A
36538,1919.166667,2000,1,15,A
36539,1445.416667,2000,1,16,A
36540,1278.541667,2000,1,17,A
36541,982.395833,2000,1,18,A
36542,771.854167,2000,1,19,A
36543,678.583333,2000,1,20,A
36544,606.187500,2000,1,21,A
36545,551.708333,2000,1,22,A
36546,493.583333,2000,1,23,A
36547,620.458333,2000,1,24,A
36548,1104.416667,2000,1,25,A
36549,946.416667,2000,1,26,A
36550,703.187500,2000,1,27,A
36551,576.520833,2000,1,28,A
36552,495.750000,2000,1,29,A
36553,444.687500,2000,1,30,A
36554,390.354167,2000,1,31,A
36555,525.583333,2000,2,1,A
36556,643.458333,2000,2,2,A
36557,514.625000,2000,2,3,A
36558,464.166667,2000,2,4,A
