;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:47:22 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14169000 LONG TOM RIVER NEAR ALVADORE, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14169000
;#            TS   parameter     Description
;#        117034       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;#    92  Daily mean calculated from data on this day matches published daily mean within 5 percent
;# 
;USGS 14169000_flow_LONG TOM RIVER NEAR ALVADORE, OR_23763139 
day_index,Q_cfs,Year,Month,Day,Quality
36524,392.395833,2000,1,1,A
36525,650.708333,2000,1,2,A
36526,865.791667,2000,1,3,A
36527,937.562500,2000,1,4,A
36528,1096.458333,2000,1,5,A
36529,915.625000,2000,1,6,A
36530,809.333333,2000,1,7,A
36531,728.125000,2000,1,8,A
36532,725.125000,2000,1,9,A
36533,1156.437500,2000,1,10,A
36534,130.750000,2000,1,11,A
36535,1784.375000,2000,1,12,A
36536,828.104167,2000,1,13,A
36537,927.687500,2000,1,14,A
36538,2640.416667,2000,1,15,A
36539,2773.541667,2000,1,16,A
36540,2972.083333,2000,1,17,A
36541,3618.958333,2000,1,18,A
36542,3914.375000,2000,1,19,A
36543,3924.583333,2000,1,20,A
36544,3937.291667,2000,1,21,A
36545,3890.000000,2000,1,22,A
36546,3892.708333,2000,1,23,A
36547,3288.333333,2000,1,24,A
36548,2831.875000,2000,1,25,A
36549,3419.375000,2000,1,26,A
36550,3682.708333,2000,1,27,A
36551,3417.708333,2000,1,28,A
36552,3024.791667,2000,1,29,A
36553,2105.208333,2000,1,30,A
36554,1377.916667,2000,1,31,A
36555,1070.000000,2000,2,1,A
36556,1053.958333,2000,2,2,A
36557,970.916667,2000,2,3,A
36558,796.895833,2000,2,4,A
36559,591.229167,2000,2,5,A
36560,484.000000,2000,2,6,A
36561,270.187500,2000,2,7,A
36562,68.541667,2000,2,8,A
36563,53.000000,2000,2,9,A
36564,53.000000,2000,2,10,A
36565,550.770833,2000,2,11,A
36566,1210.104167,2000,2,12,A
36567,1340.000000,2000,2,13,A
36568,1359.791667,2000,2,14,A
36569,1777.708333,2000,2,15,A
36570,1683.125000,2000,2,16,A
36571,1383.229167,2000,2,17,A
36572,899.000000,2000,2,18,A
36573,610.000000,2000,2,19,A
36574,394.750000,2000,2,20,A
36575,222.520833,2000,2,21,A
36576,236.291667,2000,2,22,A
36577,569.812500,2000,2,23,A
36578,483.520833,2000,2,24,A
36579,292.833333,2000,2,25,A
