;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:47:49 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14170000 LONG TOM RIVER AT MONROE, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14170000
;#            TS   parameter     Description
;#        117038       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;#    92  Daily mean calculated from data on this day matches published daily mean within 5 percent
;# 
;USGS 14170000_flow_LONG TOM RIVER AT MONROE, OR_23763075 
day_index,Q_cfs,Year,Month,Day,Quality
36524,467.375000,2000,1,1,A
36525,859.583333,2000,1,2,A
36526,1178.958333,2000,1,3,A
36527,1391.875000,2000,1,4,A
36528,1655.416667,2000,1,5,A
36529,1333.750000,2000,1,6,A
36530,1153.958333,2000,1,7,A
36531,961.666667,2000,1,8,A
36532,973.937500,2000,1,9,A
36533,2058.958333,2000,1,10,A
36534,2566.875000,2000,1,11,A
36535,3120.625000,2000,1,12,A
36536,4370.416667,2000,1,13,A
36537,3684.791667,2000,1,14,A
36538,4039.791667,2000,1,15,A
36539,4310.625000,2000,1,16,A
36540,3995.416667,2000,1,17,A
36541,3800.000000,2000,1,18,A
36542,4223.333333,2000,1,19,A
36543,4202.083333,2000,1,20,A
36544,4125.000000,2000,1,21,A
36545,4028.541667,2000,1,22,A
36546,3973.125000,2000,1,23,A
36547,4415.625000,2000,1,24,A
36548,4231.875000,2000,1,25,A
36549,4035.625000,2000,1,26,A
36550,3946.875000,2000,1,27,A
36551,3809.583333,2000,1,28,A
36552,3460.625000,2000,1,29,A
36553,2903.750000,2000,1,30,A
36554,2113.333333,2000,1,31,A
36555,1832.291667,2000,2,1,A
36556,1818.958333,2000,2,2,A
36557,1530.625000,2000,2,3,A
36558,1322.916667,2000,2,4,A
36559,1076.520833,2000,2,5,A
36560,902.458333,2000,2,6,A
36561,718.645833,2000,2,7,A
36562,439.854167,2000,2,8,A
36563,419.645833,2000,2,9,A
36564,361.645833,2000,2,10,A
36565,844.750000,2000,2,11,A
36566,2219.583333,2000,2,12,A
36567,2312.500000,2000,2,13,A
36568,2813.125000,2000,2,14,A
36569,3073.750000,2000,2,15,A
36570,2712.708333,2000,2,16,A
36571,2351.041667,2000,2,17,A
36572,1447.708333,2000,2,18,A
36573,1099.666667,2000,2,19,A
36574,796.229167,2000,2,20,A
36575,603.625000,2000,2,21,A
36576,609.812500,2000,2,22,A
36577,902.458333,2000,2,23,A
36578,821.270833,2000,2,24,A
36579,659.541667,2000,2,25,A
36580,1302.562500,2000,2,26,A
36581,2211.666667,2000,2,27,A
36582,2177.916667,2000,2,28,A
36583,2612.500000,2000,2,29,A
36584,1930.416667,2000,3,1,A
36585,1261.458333,2000,3,2,A
36586,1025.666667,2000,3,3,A
36587,1362.583333,2000,3,4,A
36588,1373.125000,2000,3,5,A
36589,1054.666667,2000,3,6,A
36590,820.125000,2000,3,7,A
36591,579.395833,2000,3,8,A
36592,356.416667,2000,3,9,A
36593,317.479167,2000,3,10,A
36594,350.437500,2000,3,11,A
36595,310.979167,2000,3,12,A
36596,292.312500,2000,3,13,A
36597,447.312500,2000,3,14,A
36598,506.750000,2000,3,15,A
36599,796.916667,2000,3,16,A
36600,758.666667,2000,3,17,A
36601,690.083333,2000,3,18,A
36602,613.083333,2000,3,19,A
36603,436.562500,2000,3,20,A
36604,281.562500,2000,3,21,A
36605,256.750000,2000,3,22,A
36606,247.562500,2000,3,23,A
36607,233.437500,2000,3,24,A
36608,223.875000,2000,3,25,A
36609,214.979167,2000,3,26,A
36610,207.541667,2000,3,27,A
36611,203.500000,2000,3,28,A
36612,197.895833,2000,3,29,A
36613,193.416667,2000,3,30,A
36614,184.791667,2000,3,31,A
36615,176.291667,2000,4,1,A
36616,168.239130,2000,4,2,A
36617,166.458333,2000,4,3,A
36618,162.500000,2000,4,4,A
36619,160.000000,2000,4,5,A
36620,157.645833,2000,4,6,A
36621,152.916667,2000,4,7,A
36622,151.000000,2000,4,8,A
36623,151.000000,2000,4,9,A
36624,151.000000,2000,4,10,A
36625,150.041667,2000,4,11,A
36626,146.437500,2000,4,12,A
36627,173.395833,2000,4,13,A
36628,262.541667,2000,4,14,A
36629,183.208333,2000,4,15,A
36630,180.208333,2000,4,16,A
36631,176.416667,2000,4,17,A
36632,163.333333,2000,4,18,A
36633,151.041667,2000,4,19,A
36634,146.520833,2000,4,20,A
36635,142.000000,2000,4,21,A
36636,141.875000,2000,4,22,A
36637,138.208333,2000,4,23,A
36638,137.041667,2000,4,24,A
36639,143.854167,2000,4,25,A
36640,141.520833,2000,4,26,A
36641,134.812500,2000,4,27,A
36642,133.000000,2000,4,28,A
36643,133.000000,2000,4,29,A
36644,129.479167,2000,4,30,A
36645,124.666667,2000,5,1,A
36646,129.104167,2000,5,2,A
36647,129.395833,2000,5,3,A
36648,125.479167,2000,5,4,A
36649,128.125000,2000,5,5,A
36650,130.229167,2000,5,6,A
36651,124.000000,2000,5,7,A
36652,125.270833,2000,5,8,A
36653,144.520833,2000,5,9,A
36654,204.229167,2000,5,10,A
36655,318.604167,2000,5,11,A
36656,345.187500,2000,5,12,A
36657,228.729167,2000,5,13,A
36658,191.833333,2000,5,14,A
36659,549.166667,2000,5,15,A
36660,599.875000,2000,5,16,A
36661,453.000000,2000,5,17,A
36662,364.520833,2000,5,18,A
36663,143.166667,2000,5,19,A
36664,127.958333,2000,5,20,A
36665,138.145833,2000,5,21,A
