;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:49:17 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14178000 NO SANTIAM R BLW BOULDER CRK, NR DETROIT, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14178000
;#            TS   parameter     Description
;#        117052       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;# 
;USGS 14178000_flow_NO SANTIAM R BLW BOULDER CRK, NR DETROIT, OR_23780591 
day_index,Q_cfs,Year,Month,Day,Quality
36524,973.625000,2000,1,1,A
36525,955.750000,2000,1,2,A
36526,938.562500,2000,1,3,A
36527,1148.354167,2000,1,4,A
36528,1096.666667,2000,1,5,A
36529,1005.750000,2000,1,6,A
36530,982.520833,2000,1,7,A
36531,1122.562500,2000,1,8,A
36532,1296.666667,2000,1,9,A
36533,1385.208333,2000,1,10,A
36534,1267.291667,2000,1,11,A
36535,1168.541667,2000,1,12,A
36536,1134.791667,2000,1,13,A
36537,1306.250000,2000,1,14,A
36538,1280.416667,2000,1,15,A
36539,1279.583333,2000,1,16,A
36540,1211.666667,2000,1,17,A
36541,1121.875000,2000,1,18,A
36542,1061.041667,2000,1,19,A
36543,1071.041667,2000,1,20,A
36544,1038.958333,2000,1,21,A
36545,1004.187500,2000,1,22,A
36546,977.687500,2000,1,23,A
36547,1027.854167,2000,1,24,A
36548,1097.916667,2000,1,25,A
36549,1090.625000,2000,1,26,A
36550,1034.375000,2000,1,27,A
36551,989.708333,2000,1,28,A
36552,951.395833,2000,1,29,A
36553,919.333333,2000,1,30,A
36554,908.479167,2000,1,31,A
36555,2079.583333,2000,2,1,A
36556,2825.625000,2000,2,2,A
36557,2261.666667,2000,2,3,A
36558,1935.416667,2000,2,4,A
36559,1726.875000,2000,2,5,A
36560,1663.958333,2000,2,6,A
36561,1587.916667,2000,2,7,A
36562,1613.750000,2000,2,8,A
36563,1818.750000,2000,2,9,A
36564,1748.333333,2000,2,10,A
36565,1752.500000,2000,2,11,A
36566,1794.375000,2000,2,12,A
36567,1710.000000,2000,2,13,A
36568,1997.083333,2000,2,14,A
36569,2126.458333,2000,2,15,A
36570,1874.375000,2000,2,16,A
36571,1648.541667,2000,2,17,A
36572,1475.625000,2000,2,18,A
36573,1358.541667,2000,2,19,A
36574,1269.166667,2000,2,20,A
36575,1215.416667,2000,2,21,A
36576,1336.666667,2000,2,22,A
36577,1447.500000,2000,2,23,A
36578,1338.958333,2000,2,24,A
36579,1277.083333,2000,2,25,A
36580,1510.208333,2000,2,26,A
36581,1848.541667,2000,2,27,A
36582,1688.958333,2000,2,28,A
36583,1677.708333,2000,2,29,A
36584,1555.625000,2000,3,1,A
36585,1460.416667,2000,3,2,A
36586,1391.041667,2000,3,3,A
36587,1412.708333,2000,3,4,A
36588,1408.958333,2000,3,5,A
36589,1313.958333,2000,3,6,A
36590,1221.250000,2000,3,7,A
36591,1164.791667,2000,3,8,A
36592,1102.708333,2000,3,9,A
36593,1068.541667,2000,3,10,A
36594,1117.083333,2000,3,11,A
36595,1045.416667,2000,3,12,A
36596,1027.416667,2000,3,13,A
36597,1265.208333,2000,3,14,A
36598,1210.000000,2000,3,15,A
36599,1358.958333,2000,3,16,A
36600,1384.791667,2000,3,17,A
36601,1365.625000,2000,3,18,A
36602,1668.333333,2000,3,19,A
36603,1505.625000,2000,3,20,A
36604,1407.291667,2000,3,21,A
36605,1430.833333,2000,3,22,A
36606,1621.458333,2000,3,23,A
36607,1501.041667,2000,3,24,A
36608,1412.916667,2000,3,25,A
36609,1356.458333,2000,3,26,A
36610,1373.750000,2000,3,27,A
36611,1342.291667,2000,3,28,A
36612,1255.208333,2000,3,29,A
36613,1190.625000,2000,3,30,A
36614,1161.250000,2000,3,31,A
36615,1205.416667,2000,4,1,A
36616,1361.739130,2000,4,2,A
36617,1566.041667,2000,4,3,A
36618,1843.541667,2000,4,4,A
36619,1736.666667,2000,4,5,A
36620,1580.000000,2000,4,6,A
36621,1430.208333,2000,4,7,A
36622,1416.875000,2000,4,8,A
36623,1471.250000,2000,4,9,A
36624,1449.791667,2000,4,10,A
36625,1520.000000,2000,4,11,A
36626,1748.750000,2000,4,12,A
36627,2685.000000,2000,4,13,A
36628,2497.291667,2000,4,14,A
36629,2441.875000,2000,4,15,A
36630,2177.916667,2000,4,16,A
36631,1947.500000,2000,4,17,A
36632,1924.375000,2000,4,18,A
36633,1795.416667,2000,4,19,A
36634,1676.875000,2000,4,20,A
36635,1651.458333,2000,4,21,A
36636,1790.000000,2000,4,22,A
36637,1664.791667,2000,4,23,A
36638,1485.416667,2000,4,24,A
36639,1470.208333,2000,4,25,A
36640,1423.958333,2000,4,26,A
36641,1415.000000,2000,4,27,A
36642,1388.125000,2000,4,28,A
36643,1290.833333,2000,4,29,A
36644,1255.833333,2000,4,30,A
36645,1313.125000,2000,5,1,A
36646,1389.375000,2000,5,2,A
36647,1476.250000,2000,5,3,A
