;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:49:41 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14179000 BREITENBUSH R ABV FRENCH CR NR DETROIT, OR.
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14179000
;#            TS   parameter     Description
;#        117056       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;# 
;USGS 14179000_flow_BREITENBUSH R ABV FRENCH CR NR DETROIT, OR_23780701 
day_index,Q_cfs,Year,Month,Day,Quality
36524,449.583333,2000,1,1,A
36525,429.729167,2000,1,2,A
36526,419.312500,2000,1,3,A
36527,650.625000,2000,1,4,A
36528,658.791667,2000,1,5,A
36529,551.354167,2000,1,6,A
36530,515.145833,2000,1,7,A
36531,736.104167,2000,1,8,A
36532,901.000000,2000,1,9,A
36533,879.812500,2000,1,10,A
36534,699.041667,2000,1,11,A
36535,604.750000,2000,1,12,A
36536,556.187500,2000,1,13,A
36537,574.125000,2000,1,14,A
36538,567.833333,2000,1,15,A
36539,563.937500,2000,1,16,A
36540,554.937500,2000,1,17,A
36541,510.166667,2000,1,18,A
36542,478.687500,2000,1,19,A
36543,489.208333,2000,1,20,A
36544,503.708333,2000,1,21,A
36545,487.875000,2000,1,22,A
36546,472.333333,2000,1,23,A
36547,455.583333,2000,1,24,A
36548,458.937500,2000,1,25,A
36549,486.765957,2000,1,26,A
36550,459.000000,2000,1,27,A
36551,433.375000,2000,1,28,A
36552,412.437500,2000,1,29,A
36553,397.166667,2000,1,30,A
36554,400.395833,2000,1,31,A
36555,1888.541667,2000,2,1,A
36556,2165.833333,2000,2,2,A
36557,1446.875000,2000,2,3,A
36558,1145.416667,2000,2,4,A
36559,972.437500,2000,2,5,A
36560,950.645833,2000,2,6,A
36561,909.729167,2000,2,7,A
36562,959.500000,2000,2,8,A
36563,1155.625000,2000,2,9,A
36564,1036.166667,2000,2,10,A
36565,987.125000,2000,2,11,A
36566,1018.437500,2000,2,12,A
36567,959.166667,2000,2,13,A
36568,1175.583333,2000,2,14,A
36569,1261.666667,2000,2,15,A
36570,1024.104167,2000,2,16,A
36571,863.022222,2000,2,17,A
36572,752.750000,2000,2,18,A
36573,676.416667,2000,2,19,A
36574,626.083333,2000,2,20,A
36575,594.416667,2000,2,21,A
36576,715.604167,2000,2,22,A
36577,824.020833,2000,2,23,A
36578,719.666667,2000,2,24,A
36579,661.062500,2000,2,25,A
36580,800.750000,2000,2,26,A
36581,1113.333333,2000,2,27,A
36582,970.166667,2000,2,28,A
36583,967.812500,2000,2,29,A
36584,891.000000,2000,3,1,A
36585,803.666667,2000,3,2,A
36586,749.541667,2000,3,3,A
36587,774.041667,2000,3,4,A
36588,785.000000,2000,3,5,A
36589,705.125000,2000,3,6,A
36590,634.833333,2000,3,7,A
36591,589.187500,2000,3,8,A
36592,548.229167,2000,3,9,A
36593,529.583333,2000,3,10,A
36594,601.437500,2000,3,11,A
36595,552.166667,2000,3,12,A
36596,543.250000,2000,3,13,A
36597,771.666667,2000,3,14,A
36598,707.229167,2000,3,15,A
36599,850.604167,2000,3,16,A
36600,867.541667,2000,3,17,A
36601,825.375000,2000,3,18,A
36602,1003.270833,2000,3,19,A
