;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:52:17 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14185000 SOUTH SANTIAM RIVER BELOW CASCADIA, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14185000
;#            TS   parameter     Description
;#        117104       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;# 
;USGS 14185000_flow_SOUTH SANTIAM RIVER BELOW CASCADIA, OR_23785793 
day_index,Q_cfs,Year,Month,Day,Quality
36524,533.625000,2000,1,1,A
36525,585.312500,2000,1,2,A
36526,682.375000,2000,1,3,A
36527,1631.958333,2000,1,4,A
36528,1519.791667,2000,1,5,A
36529,1100.000000,2000,1,6,A
36530,1014.166667,2000,1,7,A
36531,1551.250000,2000,1,8,A
36532,2235.104167,2000,1,9,A
36533,3573.645833,2000,1,10,A
36534,3824.895833,2000,1,11,A
36535,2156.458333,2000,1,12,A
36536,2084.062500,2000,1,13,A
36537,3634.687500,2000,1,14,A
36538,2669.270833,2000,1,15,A
36539,2225.520833,2000,1,16,A
36540,1842.187500,2000,1,17,A
36541,1430.416667,2000,1,18,A
36542,1263.437500,2000,1,19,A
36543,1551.979167,2000,1,20,A
36544,1411.979167,2000,1,21,A
36545,1204.583333,2000,1,22,A
36546,1069.687500,2000,1,23,A
36547,1564.687500,2000,1,24,A
36548,1736.979167,2000,1,25,A
36549,1560.312500,2000,1,26,A
36550,1253.229167,2000,1,27,A
36551,1042.562500,2000,1,28,A
36552,888.250000,2000,1,29,A
36553,796.729167,2000,1,30,A
36554,754.218750,2000,1,31,A
36555,2428.927083,2000,2,1,A
36556,3509.375000,2000,2,2,A
36557,2297.395833,2000,2,3,A
36558,1766.145833,2000,2,4,A
36559,1527.604167,2000,2,5,A
36560,1505.208333,2000,2,6,A
36561,1353.750000,2000,2,7,A
36562,1376.458333,2000,2,8,A
36563,1652.916667,2000,2,9,A
36564,1422.500000,2000,2,10,A
36565,1348.958333,2000,2,11,A
36566,1477.500000,2000,2,12,A
36567,1526.562500,2000,2,13,A
36568,1883.229167,2000,2,14,A
36569,2265.833333,2000,2,15,A
36570,1799.687500,2000,2,16,A
36571,1387.604167,2000,2,17,A
36572,1118.437500,2000,2,18,A
36573,937.937500,2000,2,19,A
36574,827.364583,2000,2,20,A
36575,787.437500,2000,2,21,A
36576,990.552083,2000,2,22,A
36577,1193.645833,2000,2,23,A
36578,987.739583,2000,2,24,A
36579,911.145833,2000,2,25,A
36580,1513.645833,2000,2,26,A
36581,2247.604167,2000,2,27,A
36582,1754.479167,2000,2,28,A
36583,1742.604167,2000,2,29,A
36584,1531.979167,2000,3,1,A
36585,1349.895833,2000,3,2,A
36586,1188.020833,2000,3,3,A
36587,1238.750000,2000,3,4,A
36588,1235.937500,2000,3,5,A
36589,1057.041667,2000,3,6,A
36590,905.791667,2000,3,7,A
36591,820.958333,2000,3,8,A
36592,734.562500,2000,3,9,A
36593,689.864583,2000,3,10,A
36594,862.489583,2000,3,11,A
36595,745.937500,2000,3,12,A
36596,693.927083,2000,3,13,A
36597,1031.479167,2000,3,14,A
36598,909.395833,2000,3,15,A
36599,1453.322917,2000,3,16,A
36600,1523.333333,2000,3,17,A
36601,1391.979167,2000,3,18,A
36602,1941.458333,2000,3,19,A
36603,1630.104167,2000,3,20,A
36604,1378.958333,2000,3,21,A
36605,1339.479167,2000,3,22,A
36606,1612.812500,2000,3,23,A
36607,1309.166667,2000,3,24,A
36608,1094.583333,2000,3,25,A
36609,945.197917,2000,3,26,A
36610,911.635417,2000,3,27,A
36611,883.270833,2000,3,28,A
36612,793.302083,2000,3,29,A
36613,707.833333,2000,3,30,A
36614,652.447917,2000,3,31,A
36615,658.697917,2000,4,1,A
36616,737.456522,2000,4,2,A
36617,842.083333,2000,4,3,A
36618,988.458333,2000,4,4,A
36619,870.385417,2000,4,5,A
36620,756.062500,2000,4,6,A
36621,651.427083,2000,4,7,A
36622,634.229167,2000,4,8,A
36623,665.104167,2000,4,9,A
36624,634.625000,2000,4,10,A
36625,653.750000,2000,4,11,A
36626,769.229167,2000,4,12,A
36627,1613.739583,2000,4,13,A
36628,1599.791667,2000,4,14,A
36629,1710.104167,2000,4,15,A
36630,1496.250000,2000,4,16,A
36631,1238.437500,2000,4,17,A
36632,1127.708333,2000,4,18,A
36633,977.697917,2000,4,19,A
36634,844.635417,2000,4,20,A
36635,782.989583,2000,4,21,A
36636,868.843750,2000,4,22,A
36637,827.760417,2000,4,23,A
36638,773.062500,2000,4,24,A
36639,816.062500,2000,4,25,A
36640,823.291667,2000,4,26,A
36641,784.979167,2000,4,27,A
36642,772.864583,2000,4,28,A
36643,692.427083,2000,4,29,A
36644,635.750000,2000,4,30,A
36645,628.333333,2000,5,1,A
36646,661.906250,2000,5,2,A
36647,725.083333,2000,5,3,A
36648,773.531250,2000,5,4,A
36649,775.968750,2000,5,5,A
36650,711.125000,2000,5,6,A
36651,643.989583,2000,5,7,A
36652,687.229167,2000,5,8,A
36653,1419.031250,2000,5,9,A
36654,2061.354167,2000,5,10,A
36655,2242.812500,2000,5,11,A
36656,2126.875000,2000,5,12,A
36657,1656.666667,2000,5,13,A
36658,1497.291667,2000,5,14,A
36659,1576.458333,2000,5,15,A
36660,1420.416667,2000,5,16,A
36661,1178.854167,2000,5,17,A
36662,994.041667,2000,5,18,A
36663,898.343750,2000,5,19,A
36664,823.125000,2000,5,20,A
36665,760.625000,2000,5,21,A
36666,712.906250,2000,5,22,A
36667,652.593750,2000,5,23,A
36668,589.114583,2000,5,24,A
36669,526.791667,2000,5,25,A
36670,490.614583,2000,5,26,A
36671,531.364583,2000,5,27,A
36672,533.031250,2000,5,28,A
36673,476.906250,2000,5,29,A
36674,496.270833,2000,5,30,A
36675,537.947917,2000,5,31,A
36676,467.697917,2000,6,1,A
36677,427.718750,2000,6,2,A
36678,393.458333,2000,6,3,A
36679,369.666667,2000,6,4,A
36680,353.114583,2000,6,5,A
36681,329.063158,2000,6,6,A
36682,310.104167,2000,6,7,A
36683,349.041667,2000,6,8,A
36684,359.260417,2000,6,9,A
36685,450.729167,2000,6,10,A
36686,540.406250,2000,6,11,A
36687,2777.083333,2000,6,12,A
36688,2136.979167,2000,6,13,A
36689,1314.687500,2000,6,14,A
36690,959.916667,2000,6,15,A
36691,759.395833,2000,6,16,A
36692,626.593750,2000,6,17,A
36693,535.916667,2000,6,18,A
36694,472.843750,2000,6,19,A
36695,422.802083,2000,6,20,A
36696,381.333333,2000,6,21,A
36697,349.354167,2000,6,22,A
36698,322.760417,2000,6,23,A
36699,299.947917,2000,6,24,A
36700,280.343750,2000,6,25,A
36701,260.395833,2000,6,26,A
36702,242.750000,2000,6,27,A
36703,228.208333,2000,6,28,A
36704,214.927083,2000,6,29,A
36705,203.062500,2000,6,30,A
36706,196.302083,2000,7,1,A
36707,189.010417,2000,7,2,A
36708,186.302083,2000,7,3,A
36709,190.552083,2000,7,4,A
36710,187.281250,2000,7,5,A
36711,176.781250,2000,7,6,A
36712,165.583333,2000,7,7,A
36713,158.614583,2000,7,8,A
36714,151.343750,2000,7,9,A
36715,144.885417,2000,7,10,A
36716,140.000000,2000,7,11,A
36717,135.875000,2000,7,12,A
36718,130.385417,2000,7,13,A
36719,126.041667,2000,7,14,A
36720,123.197917,2000,7,15,A
36721,118.385417,2000,7,16,A
36722,114.697917,2000,7,17,A
36723,112.500000,2000,7,18,A
36724,110.166667,2000,7,19,A
36725,106.104167,2000,7,20,A
36726,102.687500,2000,7,21,A
36727,100.597917,2000,7,22,A
36728,101.132292,2000,7,23,A
36729,96.156250,2000,7,24,A
36730,92.614583,2000,7,25,A
36731,90.500000,2000,7,26,A
36732,87.854167,2000,7,27,A
36733,85.583333,2000,7,28,A
36734,83.697917,2000,7,29,A
36735,81.718750,2000,7,30,A
36736,79.479167,2000,7,31,A
36737,77.447917,2000,8,1,A
36738,75.635417,2000,8,2,A
36739,73.239583,2000,8,3,A
36740,71.135417,2000,8,4,A
36741,69.406250,2000,8,5,A
36742,68.145833,2000,8,6,A
36743,66.281250,2000,8,7,A
36744,64.708333,2000,8,8,A
36745,62.812500,2000,8,9,A
36746,61.906250,2000,8,10,A
36747,62.104167,2000,8,11,A
36748,60.385417,2000,8,12,A
36749,59.385417,2000,8,13,A
36750,58.520833,2000,8,14,A
36751,57.750000,2000,8,15,A
36752,57.031250,2000,8,16,A
36753,56.187500,2000,8,17,A
36754,56.031250,2000,8,18,A
36755,63.666667,2000,8,19,A
36756,60.343750,2000,8,20,A
36757,56.937500,2000,8,21,A
36758,55.156250,2000,8,22,A
36759,53.437500,2000,8,23,A
36760,51.739583,2000,8,24,A
36761,50.968750,2000,8,25,A
36762,50.656250,2000,8,26,A
36763,50.125000,2000,8,27,A
36764,49.000000,2000,8,28,A
36765,48.218750,2000,8,29,A
36766,47.614583,2000,8,30,A
36767,47.718750,2000,8,31,A
36768,50.072917,2000,9,1,A
36769,56.541667,2000,9,2,A
36770,71.489583,2000,9,3,A
36771,65.375000,2000,9,4,A
36772,77.781250,2000,9,5,A
36773,64.104167,2000,9,6,A
36774,56.218750,2000,9,7,A
36775,60.781250,2000,9,8,A
36776,75.041667,2000,9,9,A
36777,68.083333,2000,9,10,A
36778,72.677083,2000,9,11,A
36779,63.666667,2000,9,12,A
36780,57.552083,2000,9,13,A
36781,53.500000,2000,9,14,A
36782,50.177083,2000,9,15,A
36783,52.333333,2000,9,16,A
36784,51.281250,2000,9,17,A
36785,48.989583,2000,9,18,A
36786,47.583333,2000,9,19,A
36787,46.500000,2000,9,20,A
36788,45.187500,2000,9,21,A
36789,43.895833,2000,9,22,A
36790,42.937500,2000,9,23,A
36791,41.781250,2000,9,24,A
36792,41.031250,2000,9,25,A
36793,40.791667,2000,9,26,A
36794,40.208333,2000,9,27,A
36795,39.864583,2000,9,28,A
36796,39.802083,2000,9,29,A
36797,40.083333,2000,9,30,A
36798,55.833333,2000,10,1,A
36799,73.666667,2000,10,2,A
36800,55.916667,2000,10,3,A
36801,49.395833,2000,10,4,A
36802,46.364583,2000,10,5,A
36803,43.645833,2000,10,6,A
36804,41.656250,2000,10,7,A
36805,40.406250,2000,10,8,A
36806,42.333333,2000,10,9,A
36807,54.000000,2000,10,10,A
