;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:53:59 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14187500 SOUTH SANTIAM RIVER AT WATERLOO, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14187500
;#            TS   parameter     Description
;#        117136       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;# 
;USGS 14187500_flow_SOUTH SANTIAM RIVER AT WATERLOO, OR_23785687 
day_index,Q_cfs,Year,Month,Day,Quality
36524,2119.791667,2000,1,1,A
36525,2226.875000,2000,1,2,A
36526,2278.541667,2000,1,3,A
36527,4213.958333,2000,1,4,A
36528,6220.625000,2000,1,5,A
36529,5875.625000,2000,1,6,A
36530,5232.916667,2000,1,7,A
36531,5661.250000,2000,1,8,A
36532,8084.166667,2000,1,9,A
36533,10817.083333,2000,1,10,A
36534,12614.583333,2000,1,11,A
36535,9295.208333,2000,1,12,A
36536,11193.750000,2000,1,13,A
36537,12089.583333,2000,1,14,A
36538,10990.000000,2000,1,15,A
36539,9302.500000,2000,1,16,A
36540,8127.291667,2000,1,17,A
36541,5255.833333,2000,1,18,A
36542,5112.500000,2000,1,19,A
36543,5002.083333,2000,1,20,A
36544,5049.375000,2000,1,21,A
36545,4668.750000,2000,1,22,A
36546,4500.208333,2000,1,23,A
36547,5091.666667,2000,1,24,A
36548,5819.166667,2000,1,25,A
36549,5521.458333,2000,1,26,A
36550,5310.000000,2000,1,27,A
36551,4873.333333,2000,1,28,A
36552,3323.750000,2000,1,29,A
36553,2287.500000,2000,1,30,A
36554,1653.541667,2000,1,31,A
36555,3069.166667,2000,2,1,A
36556,7307.500000,2000,2,2,A
36557,7368.541667,2000,2,3,A
36558,6560.208333,2000,2,4,A
