;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:57:26 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14191000 WILLAMETTE RIVER AT SALEM, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14191000
;#            TS   parameter     Description
;#        117154       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;# 
;USGS 14191000_flow_WILLAMETTE RIVER AT SALEM, OR_23791093 
day_index,Q_cfs,Year,Month,Day,Quality
36524,18135.416667,2000,1,1,A
36525,18775.000000,2000,1,2,A
36526,20862.500000,2000,1,3,A
36527,25329.166667,2000,1,4,A
36528,36337.500000,2000,1,5,A
36529,37441.666667,2000,1,6,A
36530,34210.416667,2000,1,7,A
36531,31052.083333,2000,1,8,A
36532,34616.666667,2000,1,9,A
36533,43218.750000,2000,1,10,A
36534,60562.500000,2000,1,11,A
36535,77047.916667,2000,1,12,A
36536,79497.916667,2000,1,13,A
36537,84383.333333,2000,1,14,A
36538,89287.500000,2000,1,15,A
36539,86839.583333,2000,1,16,A
36540,79066.666667,2000,1,17,A
36541,70993.750000,2000,1,18,A
36542,63739.583333,2000,1,19,A
36543,60708.333333,2000,1,20,A
36544,58650.000000,2000,1,21,A
36545,56091.666667,2000,1,22,A
36546,52064.583333,2000,1,23,A
36547,49352.083333,2000,1,24,A
36548,56068.750000,2000,1,25,A
36549,58393.750000,2000,1,26,A
36550,52745.833333,2000,1,27,A
36551,45937.500000,2000,1,28,A
36552,39775.000000,2000,1,29,A
36553,34016.666667,2000,1,30,A
36554,29522.916667,2000,1,31,A
36555,30487.500000,2000,2,1,A
36556,45264.583333,2000,2,2,A
36557,47054.166667,2000,2,3,A
36558,41675.000000,2000,2,4,A
36559,36654.166667,2000,2,5,A
36560,33133.333333,2000,2,6,A
36561,30560.416667,2000,2,7,A
36562,29108.333333,2000,2,8,A
36563,31750.000000,2000,2,9,A
36564,30983.333333,2000,2,10,A
36565,28933.333333,2000,2,11,A
36566,33495.833333,2000,2,12,A
36567,39608.333333,2000,2,13,A
36568,43543.750000,2000,2,14,A
36569,51533.333333,2000,2,15,A
36570,51868.750000,2000,2,16,A
36571,44508.333333,2000,2,17,A
36572,36981.250000,2000,2,18,A
36573,29595.833333,2000,2,19,A
36574,25020.833333,2000,2,20,A
36575,22575.000000,2000,2,21,A
36576,21612.765957,2000,2,22,A
36577,23279.166667,2000,2,23,A
36578,23929.166667,2000,2,24,A
36579,22025.000000,2000,2,25,A
36580,24712.500000,2000,2,26,A
36581,38716.666667,2000,2,27,A
36582,42493.750000,2000,2,28,A
36583,39285.416667,2000,2,29,A
36584,41002.083333,2000,3,1,A
36585,38597.916667,2000,3,2,A
36586,35714.583333,2000,3,3,A
36587,35466.666667,2000,3,4,A
36588,40954.166667,2000,3,5,A
36589,36689.583333,2000,3,6,A
36590,31237.500000,2000,3,7,A
36591,26410.416667,2000,3,8,A
36592,23472.916667,2000,3,9,A
36593,21464.583333,2000,3,10,A
36594,21029.166667,2000,3,11,A
36595,21358.333333,2000,3,12,A
36596,20427.083333,2000,3,13,A
36597,21735.416667,2000,3,14,A
36598,22489.583333,2000,3,15,A
36599,24002.083333,2000,3,16,A
36600,27837.500000,2000,3,17,A
36601,27979.166667,2000,3,18,A
36602,30218.750000,2000,3,19,A
36603,33370.833333,2000,3,20,A
36604,32222.916667,2000,3,21,A
36605,29541.666667,2000,3,22,A
36606,29556.250000,2000,3,23,A
36607,29764.583333,2000,3,24,A
36608,28572.916667,2000,3,25,A
36609,25729.166667,2000,3,26,A
36610,24287.500000,2000,3,27,A
36611,23908.333333,2000,3,28,A
36612,22102.083333,2000,3,29,A
36613,19833.333333,2000,3,30,A
36614,19952.083333,2000,3,31,A
36615,19179.166667,2000,4,1,A
36616,18304.347826,2000,4,2,A
36617,17754.166667,2000,4,3,A
36618,17862.500000,2000,4,4,A
36619,19014.583333,2000,4,5,A
36620,19612.500000,2000,4,6,A
36621,20637.500000,2000,4,7,A
36622,21406.250000,2000,4,8,A
36623,20650.000000,2000,4,9,A
36624,20218.750000,2000,4,10,A
36625,21254.166667,2000,4,11,A
36626,21779.166667,2000,4,12,A
36627,22439.583333,2000,4,13,A
36628,26172.916667,2000,4,14,A
36629,26625.000000,2000,4,15,A
36630,27106.250000,2000,4,16,A
36631,26814.583333,2000,4,17,A
36632,24852.083333,2000,4,18,A
36633,23079.166667,2000,4,19,A
36634,21281.250000,2000,4,20,A
36635,19770.833333,2000,4,21,A
36636,18537.500000,2000,4,22,A
36637,18554.166667,2000,4,23,A
36638,18281.250000,2000,4,24,A
36639,18777.083333,2000,4,25,A
36640,20277.083333,2000,4,26,A
36641,20833.333333,2000,4,27,A
36642,21464.583333,2000,4,28,A
36643,22033.333333,2000,4,29,A
36644,21737.500000,2000,4,30,A
36645,20150.000000,2000,5,1,A
36646,19441.666667,2000,5,2,A
36647,18587.500000,2000,5,3,A
36648,18222.916667,2000,5,4,A
36649,17925.000000,2000,5,5,A
36650,17435.416667,2000,5,6,A
36651,17831.250000,2000,5,7,A
36652,17406.250000,2000,5,8,A
36653,18210.416667,2000,5,9,A
36654,22650.000000,2000,5,10,A
36655,26164.583333,2000,5,11,A
36656,33497.916667,2000,5,12,A
36657,36677.083333,2000,5,13,A
36658,32820.833333,2000,5,14,A
36659,29279.166667,2000,5,15,A
36660,27297.916667,2000,5,16,A
36661,26122.916667,2000,5,17,A
36662,25020.833333,2000,5,18,A
36663,23997.916667,2000,5,19,A
36664,22581.250000,2000,5,20,A
36665,21420.833333,2000,5,21,A
36666,20189.583333,2000,5,22,A
36667,19129.166667,2000,5,23,A
36668,18485.416667,2000,5,24,A
36669,17989.583333,2000,5,25,A
36670,17341.666667,2000,5,26,A
36671,16931.250000,2000,5,27,A
36672,16975.000000,2000,5,28,A
36673,16935.416667,2000,5,29,A
36674,16604.166667,2000,5,30,A
36675,16266.666667,2000,5,31,A
36676,15302.083333,2000,6,1,A
36677,14597.916667,2000,6,2,A
36678,14010.416667,2000,6,3,A
36679,13570.833333,2000,6,4,A
36680,12929.166667,2000,6,5,A
36681,12606.250000,2000,6,6,A
36682,12452.083333,2000,6,7,A
36683,12177.083333,2000,6,8,A
36684,12606.250000,2000,6,9,A
36685,12525.000000,2000,6,10,A
36686,12672.916667,2000,6,11,A
36687,15227.083333,2000,6,12,A
36688,28347.916667,2000,6,13,A
36689,28466.666667,2000,6,14,A
36690,23177.083333,2000,6,15,A
36691,19902.083333,2000,6,16,A
36692,16902.083333,2000,6,17,A
36693,14708.333333,2000,6,18,A
36694,13368.750000,2000,6,19,A
36695,12555.319149,2000,6,20,A
36696,11681.250000,2000,6,21,A
36697,11208.333333,2000,6,22,A
36698,10643.750000,2000,6,23,A
36699,10360.416667,2000,6,24,A
36700,10287.500000,2000,6,25,A
36701,10072.916667,2000,6,26,A
36702,9685.625000,2000,6,27,A
36703,9476.250000,2000,6,28,A
36704,9144.375000,2000,6,29,A
36705,8677.291667,2000,6,30,A
36706,8502.291667,2000,7,1,A
36707,8301.875000,2000,7,2,A
36708,8221.041667,2000,7,3,A
36709,8192.500000,2000,7,4,A
36710,8140.416667,2000,7,5,A
36711,7985.416667,2000,7,6,A
36712,7769.166667,2000,7,7,A
36713,7603.541667,2000,7,8,A
36714,7648.125000,2000,7,9,A
36715,7752.708333,2000,7,10,A
36716,7637.083333,2000,7,11,A
36717,7431.458333,2000,7,12,A
36718,7256.666667,2000,7,13,A
36719,7200.833333,2000,7,14,A
36720,7072.708333,2000,7,15,A
36721,7156.250000,2000,7,16,A
36722,7513.958333,2000,7,17,A
36723,7663.125000,2000,7,18,A
36724,7653.541667,2000,7,19,A
36725,7625.833333,2000,7,20,A
36726,7574.166667,2000,7,21,A
36727,7518.125000,2000,7,22,A
36728,7510.625000,2000,7,23,A
36729,7535.000000,2000,7,24,A
36730,7412.500000,2000,7,25,A
36731,7287.291667,2000,7,26,A
36732,7249.375000,2000,7,27,A
36733,7220.625000,2000,7,28,A
36734,7158.750000,2000,7,29,A
36735,7118.125000,2000,7,30,A
36736,7121.666667,2000,7,31,A
36737,7023.125000,2000,8,1,A
36738,7132.500000,2000,8,2,A
36739,7138.125000,2000,8,3,A
36740,7127.291667,2000,8,4,A
36741,7103.333333,2000,8,5,A
36742,7103.125000,2000,8,6,A
36743,7126.666667,2000,8,7,A
36744,7070.000000,2000,8,8,A
36745,7017.500000,2000,8,9,A
36746,6976.250000,2000,8,10,A
36747,7026.666667,2000,8,11,A
36748,7063.958333,2000,8,12,A
36749,6994.583333,2000,8,13,A
36750,7077.500000,2000,8,14,A
36751,6972.708333,2000,8,15,A
36752,6993.333333,2000,8,16,A
36753,6965.833333,2000,8,17,A
36754,6934.166667,2000,8,18,A
36755,6993.958333,2000,8,19,A
36756,7016.250000,2000,8,20,A
36757,7035.833333,2000,8,21,A
36758,6945.625000,2000,8,22,A
36759,6836.041667,2000,8,23,A
36760,6819.166667,2000,8,24,A
36761,6803.125000,2000,8,25,A
36762,6850.833333,2000,8,26,A
36763,6895.416667,2000,8,27,A
36764,6899.375000,2000,8,28,A
36765,6892.916667,2000,8,29,A
36766,6896.458333,2000,8,30,A
36767,6922.708333,2000,8,31,A
36768,6955.000000,2000,9,1,A
36769,7041.041667,2000,9,2,A
36770,7305.416667,2000,9,3,A
36771,7433.958333,2000,9,4,A
36772,7335.000000,2000,9,5,A
36773,7319.166667,2000,9,6,A
36774,7324.166667,2000,9,7,A
36775,7235.416667,2000,9,8,A
36776,7421.666667,2000,9,9,A
36777,7675.833333,2000,9,10,A
36778,7845.625000,2000,9,11,A
36779,8382.708333,2000,9,12,A
36780,8668.541667,2000,9,13,A
36781,8791.041667,2000,9,14,A
36782,9073.125000,2000,9,15,A
36783,9231.666667,2000,9,16,A
36784,9414.375000,2000,9,17,A
36785,9716.250000,2000,9,18,A
36786,9868.125000,2000,9,19,A
36787,9933.125000,2000,9,20,A
36788,9970.625000,2000,9,21,A
36789,9962.500000,2000,9,22,A
36790,9939.375000,2000,9,23,A
36791,9914.375000,2000,9,24,A
36792,10030.625000,2000,9,25,A
36793,9983.125000,2000,9,26,A
36794,9991.875000,2000,9,27,A
36795,9983.750000,2000,9,28,A
36796,10018.541667,2000,9,29,A
36797,10131.250000,2000,9,30,A
36798,10252.083333,2000,10,1,A
36799,11141.666667,2000,10,2,A
36800,10900.000000,2000,10,3,A
36801,10639.583333,2000,10,4,A
36802,10600.000000,2000,10,5,A
36803,10635.416667,2000,10,6,A
36804,10650.000000,2000,10,7,A
36805,10720.833333,2000,10,8,A
36806,10987.500000,2000,10,9,A
36807,11187.500000,2000,10,10,A
36808,11193.750000,2000,10,11,A
36809,11310.416667,2000,10,12,A
36810,11245.833333,2000,10,13,A
36811,11245.833333,2000,10,14,A
36812,11295.833333,2000,10,15,A
36813,11508.333333,2000,10,16,A
36814,11775.000000,2000,10,17,A
36815,12033.333333,2000,10,18,A
36816,12250.000000,2000,10,19,A
36817,12543.750000,2000,10,20,A
36818,13793.750000,2000,10,21,A
36819,14895.833333,2000,10,22,A
36820,13927.083333,2000,10,23,A
36821,13320.833333,2000,10,24,A
36822,13283.333333,2000,10,25,A
36823,13066.666667,2000,10,26,A
36824,12906.250000,2000,10,27,A
36825,13079.166667,2000,10,28,A
36826,14004.166667,2000,10,29,A
36827,14197.916667,2000,10,30,A
36828,13912.500000,2000,10,31,A
36829,13479.166667,2000,11,1,A
36830,13100.000000,2000,11,2,A
36831,12160.416667,2000,11,3,A
36832,11735.416667,2000,11,4,A
36833,11810.416667,2000,11,5,A
36834,11920.833333,2000,11,6,A
36835,12041.666667,2000,11,7,A
36836,12545.833333,2000,11,8,A
36837,13804.166667,2000,11,9,A
36838,15077.083333,2000,11,10,A
36839,15627.083333,2000,11,11,A
36840,14810.416667,2000,11,12,A
36841,14412.500000,2000,11,13,A
36842,14010.416667,2000,11,14,A
36843,13781.250000,2000,11,15,A
36844,13547.916667,2000,11,16,A
36845,13087.500000,2000,11,17,A
36846,12385.416667,2000,11,18,A
36847,12158.333333,2000,11,19,A
36848,11881.250000,2000,11,20,A
36849,11706.250000,2000,11,21,A
36850,11662.500000,2000,11,22,A
36851,11862.500000,2000,11,23,A
36852,12404.166667,2000,11,24,A
