;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:58:33 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14198400 BULL CREEK NEAR WILHOIT, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14198400
;#            TS   parameter     Description
;#        117166       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;#    92  Daily mean calculated from data on this day matches published daily mean within 5 percent
;#    93  Daily mean calculated from data on this day matches published daily mean within 10 percent
;# 
;USGS 14198400_flow_BULL CREEK NEAR WILHOIT, OR_23801710 
day_index,Q_cfs,Year,Month,Day,Quality
36524,0.512917,2000,1,1,A
36525,0.520000,2000,1,2,A
36526,0.909583,2000,1,3,A
36527,8.211458,2000,1,4,A
36528,8.868750,2000,1,5,A
36529,5.041667,2000,1,6,A
36530,3.435417,2000,1,7,A
36531,3.450000,2000,1,8,A
36532,6.509375,2000,1,9,A
36533,9.800000,2000,1,10,A
36534,8.857292,2000,1,11,A
36535,4.975000,2000,1,12,A
36536,6.483333,2000,1,13,A
36537,14.000000,2000,1,14,A
36538,12.953125,2000,1,15,A
36539,9.029167,2000,1,16,A
36540,6.931250,2000,1,17,A
36541,4.790625,2000,1,18,A
36542,3.915625,2000,1,19,A
36543,5.111458,2000,1,20,A
36544,5.704167,2000,1,21,A
36545,4.462500,2000,1,22,A
36546,3.515625,2000,1,23,A
36547,3.162500,2000,1,24,A
36548,4.539583,2000,1,25,A
36549,5.528125,2000,1,26,A
36550,3.916667,2000,1,27,A
36551,2.721875,2000,1,28,A
36552,2.089583,2000,1,29,A
36553,1.796875,2000,1,30,A
36554,1.583333,2000,1,31,A
36555,10.416667,2000,2,1,A
36556,20.187500,2000,2,2,A
36557,9.727083,2000,2,3,A
36558,5.989583,2000,2,4,A
36559,4.296875,2000,2,5,A
36560,3.711458,2000,2,6,A
36561,3.107292,2000,2,7,A
36562,3.611458,2000,2,8,A
