;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 19:00:08 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14200100 DRIFT CREEK NEAR SILVERTON, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14200100
;#            TS   parameter     Description
;#        117176       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;# 
;USGS 14200100_flow_DRIFT CREEK NEAR SILVERTON, OR_ 
day_index,Q_cfs,Year,Month,Day,Quality
41778,38.462500,2014,5,21,A
41779,35.054167,2014,5,22,A
41780,32.890625,2014,5,23,A
41781,30.554167,2014,5,24,A
41782,28.081250,2014,5,25,A
41783,26.416667,2014,5,26,A
41784,24.302083,2014,5,27,A
41785,22.722917,2014,5,28,A
41786,23.010417,2014,5,29,A
41787,20.467708,2014,5,30,A
41788,18.461458,2014,5,31,A
41789,17.491667,2014,6,1,A
41790,16.418750,2014,6,2,A
41791,15.675000,2014,6,3,A
41792,14.851042,2014,6,4,A
41793,13.618750,2014,6,5,A
41794,12.194792,2014,6,6,A
41795,11.204167,2014,6,7,A
41796,10.743750,2014,6,8,A
41797,9.974375,2014,6,9,A
41798,9.360000,2014,6,10,A
41799,8.653750,2014,6,11,A
41800,8.537396,2014,6,12,A
41801,10.932083,2014,6,13,A
41802,10.908958,2014,6,14,A
41803,10.113333,2014,6,15,A
41804,10.797917,2014,6,16,A
41805,10.710625,2014,6,17,A
41806,9.478333,2014,6,18,A
41807,8.823750,2014,6,19,A
41808,7.868438,2014,6,20,A
41809,7.367292,2014,6,21,A
41810,6.847917,2014,6,22,A
41811,6.647083,2014,6,23,A
41812,5.903958,2014,6,24,A
41813,6.106667,2014,6,25,A
41814,9.983750,2014,6,26,A
41815,14.742292,2014,6,27,A
41816,15.304167,2014,6,28,A
41817,12.450000,2014,6,29,A
41818,10.889583,2014,6,30,A
41819,10.058125,2014,7,1,A
41820,7.025833,2014,7,2,A
41821,5.854375,2014,7,3,A
41822,5.755833,2014,7,4,A
41823,4.965417,2014,7,5,A
41824,3.803958,2014,7,6,A
41825,3.903854,2014,7,7,A
41826,3.817812,2014,7,8,A
41827,3.506562,2014,7,9,A
41828,2.719063,2014,7,10,A
41829,2.775938,2014,7,11,A
41830,2.975938,2014,7,12,A
41831,2.925521,2014,7,13,A
41832,3.236042,2014,7,14,A
41833,3.019688,2014,7,15,A
41834,2.490313,2014,7,16,A
41835,1.749583,2014,7,17,A
41836,1.861563,2014,7,18,A
41837,2.030417,2014,7,19,A
41838,1.942813,2014,7,20,A
41839,2.045000,2014,7,21,A
41840,2.615625,2014,7,22,A
41841,3.664583,2014,7,23,A
41842,5.433437,2014,7,24,A
41843,3.956250,2014,7,25,A
41844,3.035938,2014,7,26,A
41845,2.413438,2014,7,27,A
41846,1.951563,2014,7,28,A
41847,1.563438,2014,7,29,A
41848,1.328229,2014,7,30,A
41849,0.971979,2014,7,31,A
41850,0.786250,2014,8,1,A
41851,1.144375,2014,8,2,A
41852,0.998229,2014,8,3,A
41853,1.001667,2014,8,4,A
41854,0.930313,2014,8,5,A
41855,0.767604,2014,8,6,A
41856,0.364896,2014,8,7,A
41857,0.808229,2014,8,8,A
41858,0.759896,2014,8,9,A
