;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 19:00:25 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14200700 ABIQUA CREEK AT SILVERTON, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14200700
;#            TS   parameter     Description
;#        117182       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;# 
;USGS 14200700_flow_ABIQUA CREEK AT SILVERTON, OR_ 
day_index,Q_cfs,Year,Month,Day,Quality
41800,53.142708,2014,6,12,A
41801,75.960417,2014,6,13,A
41802,73.261458,2014,6,14,A
41803,63.004167,2014,6,15,A
41804,68.952083,2014,6,16,A
41805,91.085417,2014,6,17,A
41806,71.195833,2014,6,18,A
41807,61.752083,2014,6,19,A
41808,58.746875,2014,6,20,A
41809,55.617708,2014,6,21,A
41810,49.635417,2014,6,22,A
41811,46.459375,2014,6,23,A
41812,43.561458,2014,6,24,A
41813,40.788542,2014,6,25,A
41814,50.755208,2014,6,26,A
41815,100.692708,2014,6,27,A
41816,122.520833,2014,6,28,A
41817,112.208333,2014,6,29,A
41818,88.580208,2014,6,30,A
41819,71.041667,2014,7,1,A
41820,61.765625,2014,7,2,A
41821,55.553125,2014,7,3,A
41822,50.867708,2014,7,4,A
41823,47.163542,2014,7,5,A
41824,43.596875,2014,7,6,A
41825,34.901042,2014,7,7,A
41826,29.841667,2014,7,8,A
41827,26.968750,2014,7,9,A
41828,25.188542,2014,7,10,A
41829,23.079167,2014,7,11,A
41830,24.082292,2014,7,12,A
41831,25.740625,2014,7,13,A
41832,26.645833,2014,7,14,A
41833,23.682292,2014,7,15,A
