;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 19:01:05 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14201500 BUTTE CREEK AT MONITOR, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14201500
;#            TS   parameter     Description
;#        117191       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;# 
;USGS 14201500_flow_BUTTE CREEK AT MONITOR, OR_ 
day_index,Q_cfs,Year,Month,Day,Quality
41662,93.082292,2014,1,25,A
41663,89.120833,2014,1,26,A
41664,86.163542,2014,1,27,A
41665,85.287500,2014,1,28,A
41666,188.959375,2014,1,29,A
41667,226.041667,2014,1,30,A
41668,206.354167,2014,1,31,A
41669,186.437500,2014,2,1,A
41670,168.687500,2014,2,2,A
41671,154.166667,2014,2,3,A
41672,141.625000,2014,2,4,A
41673,128.072917,2014,2,5,A
41674,118.177083,2014,2,6,A
41675,118.406250,2014,2,7,A
41676,118.791667,2014,2,8,A
41677,187.083333,2014,2,9,A
41678,235.010417,2014,2,10,A
41679,612.614583,2014,2,11,A
41680,1486.635417,2014,2,12,A
41681,1318.489583,2014,2,13,A
41682,1354.552083,2014,2,14,A
41683,1368.854167,2014,2,15,A
41684,1257.427083,2014,2,16,A
41685,1041.072917,2014,2,17,A
41686,1213.614583,2014,2,18,A
41687,1276.354167,2014,2,19,A
41688,925.291667,2014,2,20,A
41689,757.093750,2014,2,21,A
41690,597.916667,2014,2,22,A
41691,481.166667,2014,2,23,A
41692,422.656250,2014,2,24,A
41693,380.135417,2014,2,25,A
41694,341.187500,2014,2,26,A
41695,323.521739,2014,2,27,A
41696,296.135417,2014,2,28,A
41697,281.531250,2014,3,1,A
41698,389.958333,2014,3,2,A
41699,670.041667,2014,3,3,A
41700,652.697917,2014,3,4,A
41701,813.593750,2014,3,5,A
41702,1177.291667,2014,3,6,A
41703,928.239583,2014,3,7,A
41704,679.125000,2014,3,8,A
41705,1045.934783,2014,3,9,A
41706,950.958333,2014,3,10,A
41707,713.520833,2014,3,11,A
41708,545.156250,2014,3,12,A
41709,438.312500,2014,3,13,A
41710,389.125000,2014,3,14,A
41711,331.895833,2014,3,15,A
41712,291.156250,2014,3,16,A
41713,410.375000,2014,3,17,A
41714,341.625000,2014,3,18,A
41715,308.041667,2014,3,19,A
41716,280.937500,2014,3,20,A
41717,248.947917,2014,3,21,A
41718,222.104167,2014,3,22,A
41719,198.177083,2014,3,23,A
41720,179.452632,2014,3,24,A
41721,171.778947,2014,3,25,A
41722,213.687500,2014,3,26,A
41723,327.020833,2014,3,27,A
41724,687.368421,2014,3,28,A
41725,1142.531250,2014,3,29,A
41726,839.312500,2014,3,30,A
41727,611.375000,2014,3,31,A
41728,481.458333,2014,4,1,A
41729,394.927083,2014,4,2,A
41730,332.895833,2014,4,3,A
41731,342.177083,2014,4,4,A
41732,324.708333,2014,4,5,A
41733,372.125000,2014,4,6,A
41734,349.364583,2014,4,7,A
41735,310.822917,2014,4,8,A
41736,287.427083,2014,4,9,A
41737,246.260417,2014,4,10,A
41738,212.979167,2014,4,11,A
41739,188.677083,2014,4,12,A
41740,167.500000,2014,4,13,A
41741,148.625000,2014,4,14,A
41742,136.093750,2014,4,15,A
41743,126.562500,2014,4,16,A
41744,129.010417,2014,4,17,A
41745,140.093750,2014,4,18,A
41746,121.218750,2014,4,19,A
41747,120.645833,2014,4,20,A
41748,108.333333,2014,4,21,A
41749,135.979167,2014,4,22,A
41750,199.666667,2014,4,23,A
41751,692.864583,2014,4,24,A
41752,656.925532,2014,4,25,A
41753,482.156250,2014,4,26,A
41754,463.322917,2014,4,27,A
41755,428.520833,2014,4,28,A
41756,364.416667,2014,4,29,A
41757,311.604167,2014,4,30,A
41758,267.614583,2014,5,1,A
41759,226.416667,2014,5,2,A
41760,197.906250,2014,5,3,A
41761,236.020833,2014,5,4,A
41762,236.000000,2014,5,5,A
41763,208.541667,2014,5,6,A
41764,184.625000,2014,5,7,A
41765,186.135417,2014,5,8,A
41766,468.239583,2014,5,9,A
41767,596.645833,2014,5,10,A
41768,468.270833,2014,5,11,A
41769,366.041667,2014,5,12,A
41770,300.177083,2014,5,13,A
41771,249.250000,2014,5,14,A
41772,207.916667,2014,5,15,A
41773,177.250000,2014,5,16,A
41774,156.302083,2014,5,17,A
41775,155.625000,2014,5,18,A
41776,194.916667,2014,5,19,A
41777,150.500000,2014,5,20,A
41778,128.916667,2014,5,21,A
41779,115.593750,2014,5,22,A
41780,105.906250,2014,5,23,A
41781,98.565625,2014,5,24,A
41782,89.235417,2014,5,25,A
41783,82.463542,2014,5,26,A
41784,76.938542,2014,5,27,A
41785,72.181250,2014,5,28,A
41786,70.093750,2014,5,29,A
41787,64.360417,2014,5,30,A
41788,60.315625,2014,5,31,A
41789,57.711458,2014,6,1,A
41790,53.314583,2014,6,2,A
41791,48.296875,2014,6,3,A
41792,46.634375,2014,6,4,A
41793,44.452083,2014,6,5,A
41794,42.095833,2014,6,6,A
41795,39.166667,2014,6,7,A
41796,38.472917,2014,6,8,A
41797,35.405208,2014,6,9,A
41798,32.705208,2014,6,10,A
41799,30.395652,2014,6,11,A
41800,30.834375,2014,6,12,A
41801,42.012500,2014,6,13,A
41802,42.837500,2014,6,14,A
41803,37.336458,2014,6,15,A
41804,40.931250,2014,6,16,A
41805,68.101042,2014,6,17,A
41806,47.827083,2014,6,18,A
41807,38.555208,2014,6,19,A
41808,36.423958,2014,6,20,A
41809,35.514583,2014,6,21,A
41810,33.077083,2014,6,22,A
41811,29.061458,2014,6,23,A
41812,26.791667,2014,6,24,A
41813,26.076842,2014,6,25,A
41814,32.468750,2014,6,26,A
41815,52.397917,2014,6,27,A
41816,66.556250,2014,6,28,A
41817,58.655789,2014,6,29,A
41818,46.734375,2014,6,30,A
41819,39.528125,2014,7,1,A
41820,35.603125,2014,7,2,A
41821,32.287500,2014,7,3,A
41822,31.065625,2014,7,4,A
41823,27.425000,2014,7,5,A
41824,26.738542,2014,7,6,A
41825,21.648958,2014,7,7,A
41826,17.332292,2014,7,8,A
41827,16.929167,2014,7,9,A
41828,13.878333,2014,7,10,A
41829,13.093750,2014,7,11,A
41830,13.701042,2014,7,12,A
41831,15.425000,2014,7,13,A
41832,13.781875,2014,7,14,A
41833,9.937604,2014,7,15,A
41834,8.042812,2014,7,16,A
41835,6.242500,2014,7,17,A
41836,6.744063,2014,7,18,A
41837,8.788958,2014,7,19,A
41838,11.860313,2014,7,20,A
41839,11.359688,2014,7,21,A
41840,10.687396,2014,7,22,A
41841,12.496875,2014,7,23,A
41842,18.282292,2014,7,24,A
41843,16.080208,2014,7,25,A
41844,14.195833,2014,7,26,A
41845,14.537500,2014,7,27,A
41846,11.007083,2014,7,28,A
41847,8.510104,2014,7,29,A
41848,6.895625,2014,7,30,A
41849,6.448958,2014,7,31,A
41850,5.795625,2014,8,1,A
41851,6.371563,2014,8,2,A
41852,7.159896,2014,8,3,A
41853,5.379896,2014,8,4,A
41854,3.438404,2014,8,5,A
41855,4.129792,2014,8,6,A
41856,3.346667,2014,8,7,A
41857,3.431042,2014,8,8,A
41858,4.977708,2014,8,9,A
41859,7.480208,2014,8,10,A
41860,6.102917,2014,8,11,A
41861,4.764063,2014,8,12,A
41862,5.648854,2014,8,13,A
41863,10.520729,2014,8,14,A
41864,7.383229,2014,8,15,A
41865,6.924896,2014,8,16,A
41866,7.444792,2014,8,17,A
41867,4.833229,2014,8,18,A
41868,3.203646,2014,8,19,A
41869,3.991354,2014,8,20,A
41870,4.927813,2014,8,21,A
41871,4.562188,2014,8,22,A
41872,4.577083,2014,8,23,A
41873,5.515417,2014,8,24,A
41874,4.058421,2014,8,25,A
41875,2.865312,2014,8,26,A
41876,2.923021,2014,8,27,A
41877,2.361562,2014,8,28,A
41878,4.159167,2014,8,29,A
41879,5.648750,2014,8,30,A
41880,9.607396,2014,8,31,A
41881,7.996042,2014,9,1,A
41882,5.356771,2014,9,2,A
41883,5.420000,2014,9,3,A
41884,6.257708,2014,9,4,A
41885,5.690417,2014,9,5,A
41886,4.180313,2014,9,6,A
41887,3.857368,2014,9,7,A
41888,2.897396,2014,9,8,A
41889,2.597500,2014,9,9,A
41890,4.440729,2014,9,10,A
41891,4.382812,2014,9,11,A
41892,3.962812,2014,9,12,A
41893,4.018958,2014,9,13,A
41894,4.547188,2014,9,14,A
41895,5.031458,2014,9,15,A
41896,4.310000,2014,9,16,A
41897,3.994687,2014,9,17,A
41898,4.751250,2014,9,18,A
41899,4.570313,2014,9,19,A
41900,5.620000,2014,9,20,A
41901,6.097708,2014,9,21,A
41902,6.949583,2014,9,22,A
41903,7.200833,2014,9,23,A
41904,16.966771,2014,9,24,A
41905,23.405208,2014,9,25,A
41906,15.435417,2014,9,26,A
41907,13.263542,2014,9,27,A
41908,11.142708,2014,9,28,A
41909,10.308958,2014,9,29,A
41910,10.262708,2014,9,30,A
41911,11.505208,2014,10,1,A
41912,10.915625,2014,10,2,A
41913,9.726042,2014,10,3,A
41914,9.080625,2014,10,4,A
41915,8.787292,2014,10,5,A
41916,8.386979,2014,10,6,A
41917,10.392083,2014,10,7,A
41918,10.062604,2014,10,8,A
41919,10.856250,2014,10,9,A
41920,10.820833,2014,10,10,A
41921,11.960417,2014,10,11,A
41922,13.708333,2014,10,12,A
41923,13.604167,2014,10,13,A
41924,15.661458,2014,10,14,A
41925,30.687500,2014,10,15,A
41926,37.997917,2014,10,16,A
41927,25.221875,2014,10,17,A
41928,22.033333,2014,10,18,A
41929,27.902083,2014,10,19,A
41930,23.748958,2014,10,20,A
41931,29.616667,2014,10,21,A
41932,71.290625,2014,10,22,A
41933,312.531250,2014,10,23,A
41934,162.083333,2014,10,24,A
41935,104.120833,2014,10,25,A
41936,178.380208,2014,10,26,A
41937,168.479167,2014,10,27,A
41938,117.031250,2014,10,28,A
41939,120.645833,2014,10,29,A
41940,100.208333,2014,10,30,A
41941,267.208333,2014,10,31,A
41942,221.541667,2014,11,1,A
41943,153.650000,2014,11,2,A
41944,157.750000,2014,11,3,A
41945,192.312500,2014,11,4,A
41946,197.218750,2014,11,5,A
41947,172.729167,2014,11,6,A
41948,164.489583,2014,11,7,A
41949,132.000000,2014,11,8,A
41950,113.802083,2014,11,9,A
41951,104.260417,2014,11,10,A
41952,87.481250,2014,11,11,A
41953,76.538542,2014,11,12,A
41954,112.984375,2014,11,13,A
41955,240.927083,2014,11,14,A
41956,169.083333,2014,11,15,A
41957,136.437500,2014,11,16,A
41958,115.750000,2014,11,17,A
41959,101.450000,2014,11,18,A
41960,91.000000,2014,11,19,A
41961,96.709375,2014,11,20,A
41962,92.896809,2014,11,21,A
41963,439.531250,2014,11,22,A
41964,359.937500,2014,11,23,A
41965,357.843750,2014,11,24,A
41966,307.479167,2014,11,25,A
41967,297.343750,2014,11,26,A
41968,247.739583,2014,11,27,A
41969,661.500000,2014,11,28,A
41970,835.822917,2014,11,29,A
41971,507.697917,2014,11,30,A
41972,373.343750,2014,12,1,A
41973,304.854167,2014,12,2,A
41974,252.656250,2014,12,3,A
41975,264.583333,2014,12,4,A
41976,339.916667,2014,12,5,A
41977,374.635417,2014,12,6,A
41978,340.229167,2014,12,7,A
41979,285.302083,2014,12,8,A
41980,263.781250,2014,12,9,A
41981,327.135417,2014,12,10,A
41982,396.677083,2014,12,11,A
41983,327.114583,2014,12,12,A
41984,277.500000,2014,12,13,A
41985,236.218750,2014,12,14,A
41986,204.427083,2014,12,15,A
41987,180.385417,2014,12,16,A
41988,159.750000,2014,12,17,A
41989,159.437500,2014,12,18,A
41990,189.125000,2014,12,19,A
41991,509.083333,2014,12,20,A
41992,1525.000000,2014,12,21,A
41993,1230.354167,2014,12,22,A
41994,800.906250,2014,12,23,A
41995,842.364583,2014,12,24,A
41996,732.322917,2014,12,25,A
41997,572.437500,2014,12,26,A
41998,471.635417,2014,12,27,A
41999,474.125000,2014,12,28,A
42000,420.010417,2014,12,29,A
42001,358.312500,2014,12,30,A
42002,314.593750,2014,12,31,A
42003,280.760417,2015,1,1,A
42004,249.791667,2015,1,2,A
42005,224.041667,2015,1,3,A
42006,211.062500,2015,1,4,A
42007,239.500000,2015,1,5,A
42008,235.604167,2015,1,6,A
42009,217.583333,2015,1,7,A
42010,197.885417,2015,1,8,A
42011,179.520833,2015,1,9,A
42012,163.281250,2015,1,10,A
42013,152.125000,2015,1,11,A
42014,146.260417,2015,1,12,A
42015,133.604167,2015,1,13,A
42016,121.052083,2015,1,14,A
42017,115.968750,2015,1,15,A
42018,228.270833,2015,1,16,A
42019,340.479167,2015,1,17,A
42020,1099.416667,2015,1,18,A
42021,736.229167,2015,1,19,A
42022,524.437500,2015,1,20,A
42023,416.562500,2015,1,21,A
42024,350.750000,2015,1,22,A
42025,297.083333,2015,1,23,A
42026,260.843750,2015,1,24,A
42027,227.343750,2015,1,25,A
42028,202.822917,2015,1,26,A
42029,180.125000,2015,1,27,A
42030,161.729167,2015,1,28,A
42031,145.260417,2015,1,29,A
42032,133.489583,2015,1,30,A
42033,126.239583,2015,1,31,A
42034,121.885417,2015,2,1,A
42035,136.437500,2015,2,2,A
42036,138.666667,2015,2,3,A
42037,142.656250,2015,2,4,A
42038,144.833333,2015,2,5,A
42039,289.135417,2015,2,6,A
42040,511.250000,2015,2,7,A
42041,550.041667,2015,2,8,A
42042,587.395833,2015,2,9,A
42043,947.052083,2015,2,10,A
42044,644.989583,2015,2,11,A
42045,480.666667,2015,2,12,A
42046,385.833333,2015,2,13,A
42047,328.864583,2015,2,14,A
42048,279.364583,2015,2,15,A
42049,236.145833,2015,2,16,A
42050,210.250000,2015,2,17,A
42051,189.708333,2015,2,18,A
42052,167.010417,2015,2,19,A
42053,149.437500,2015,2,20,A
42054,134.697917,2015,2,21,A
42055,123.020833,2015,2,22,A
42056,113.416667,2015,2,23,A
42057,105.589583,2015,2,24,A
42058,98.897917,2015,2,25,A
42059,97.831250,2015,2,26,A
42060,109.009375,2015,2,27,A
42061,104.096875,2015,2,28,A
42062,90.364583,2015,3,1,A
42063,85.143750,2015,3,2,A
42064,80.043750,2015,3,3,A
42065,76.336458,2015,3,4,A
42066,72.297917,2015,3,5,A
42067,67.966667,2015,3,6,A
42068,65.175000,2015,3,7,A
42069,62.606522,2015,3,8,A
