;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 19:01:25 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14202000 PUDDING RIVER AT AURORA, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14202000
;#            TS   parameter     Description
;#        117194       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;# 
;USGS 14202000_flow_PUDDING RIVER AT AURORA, OR_23800594 
day_index,Q_cfs,Year,Month,Day,Quality
37600,304.583333,2002,12,12,A
37601,623.916667,2002,12,13,A
37602,1015.458333,2002,12,14,A
37603,1197.708333,2002,12,15,A
37604,1698.541667,2002,12,16,A
37605,2611.875000,2002,12,17,A
37606,2563.541667,2002,12,18,A
37607,2287.500000,2002,12,19,A
37608,1961.875000,2002,12,20,A
37609,1806.041667,2002,12,21,A
37610,2377.916667,2002,12,22,A
37611,2437.291667,2002,12,23,A
37612,2150.833333,2002,12,24,A
37613,1800.833333,2002,12,25,A
37614,1487.083333,2002,12,26,A
37615,1834.347826,2002,12,27,A
37616,2898.333333,2002,12,28,A
37617,3081.666667,2002,12,29,A
37618,3149.583333,2002,12,30,A
37619,3621.458333,2002,12,31,A
37620,1510.416667,2003,1,12,A
37621,1907.083333,2003,1,13,A
37622,2381.458333,2003,1,14,A
37623,2387.291667,2003,1,15,A
37624,2107.916667,2003,1,16,A
37625,1814.375000,2003,1,17,A
37626,1560.625000,2003,1,18,A
37627,1373.958333,2003,1,19,A
37628,1234.791667,2003,1,20,A
37629,1126.875000,2003,1,21,A
37630,1055.208333,2003,1,22,A
37631,1263.958333,2003,1,23,A
37632,1502.916667,2003,1,24,A
37633,1476.458333,2003,1,25,A
37634,1706.250000,2003,1,26,A
37635,2748.750000,2003,1,27,A
37636,2942.500000,2003,1,28,A
37637,2655.833333,2003,1,29,A
37638,3271.041667,2003,1,30,A
37639,5375.000000,2003,1,31,A
37640,1424.791667,2003,2,12,A
37641,1294.166667,2003,2,13,A
37642,1215.208333,2003,2,14,A
37643,1141.041667,2003,2,15,A
37644,1151.458333,2003,2,16,A
37645,1424.583333,2003,2,17,A
37646,2313.333333,2003,2,18,A
37647,2698.125000,2003,2,19,A
37648,2500.000000,2003,2,20,A
37649,2331.666667,2003,2,21,A
37650,2367.083333,2003,2,22,A
37651,2403.750000,2003,2,23,A
37652,2221.041667,2003,2,24,A
37653,1954.375000,2003,2,25,A
37654,1704.166667,2003,2,26,A
37655,1508.750000,2003,2,27,A
37656,1356.666667,2003,2,28,A
37657,5243.125000,2003,3,12,A
37658,4452.916667,2003,3,13,A
37659,3857.916667,2003,3,14,A
37660,3328.750000,2003,3,15,A
37661,2965.000000,2003,3,16,A
37662,2611.875000,2003,3,17,A
37663,2246.458333,2003,3,18,A
37664,1932.083333,2003,3,19,A
37665,1793.750000,2003,3,20,A
37666,1796.041667,2003,3,21,A
37667,2391.041667,2003,3,22,A
37668,3995.208333,2003,3,23,A
37669,4273.541667,2003,3,24,A
37670,3794.791667,2003,3,25,A
37671,3343.333333,2003,3,26,A
37672,3223.125000,2003,3,27,A
37673,2992.500000,2003,3,28,A
37674,2699.166667,2003,3,29,A
37675,2382.083333,2003,3,30,A
37676,2107.083333,2003,3,31,A
37677,2270.000000,2003,4,12,A
37678,2779.375000,2003,4,13,A
37679,3460.625000,2003,4,14,A
37680,3524.583333,2003,4,15,A
37681,2923.125000,2003,4,16,A
37682,2453.541667,2003,4,17,A
37683,2305.833333,2003,4,18,A
37684,2144.583333,2003,4,19,A
37685,1932.500000,2003,4,20,A
37686,1804.791667,2003,4,21,A
37687,1852.916667,2003,4,22,A
37688,1821.041667,2003,4,23,A
37689,2311.250000,2003,4,24,A
37690,2850.000000,2003,4,25,A
37691,2707.083333,2003,4,26,A
37692,2538.541667,2003,4,27,A
37693,2341.458333,2003,4,28,A
37694,2147.500000,2003,4,29,A
37695,2051.041667,2003,4,30,A
37696,1170.208333,2003,5,12,A
37697,1199.375000,2003,5,13,A
37698,1078.541667,2003,5,14,A
