;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 19:01:45 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14203500 TUALATIN RIVER NEAR DILLEY, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14203500
;#            TS   parameter     Description
;#        173548       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;#    92  Daily mean calculated from data on this day matches published daily mean within 5 percent
;# 
;USGS 14203500_flow_TUALATIN RIVER NEAR DILLEY, OR_23805092 
day_index,Q_cfs,Year,Month,Day,Quality
36524,448.177083,2000,1,1,A
36525,464.354167,2000,1,2,A
36526,469.302083,2000,1,3,A
36527,641.614583,2000,1,4,A
36528,896.625000,2000,1,5,A
36529,939.208333,2000,1,6,A
36530,854.479167,2000,1,7,A
36531,802.906250,2000,1,8,A
36532,855.239583,2000,1,9,A
36533,1067.843750,2000,1,10,A
36534,909.875000,2000,1,11,A
36535,874.291667,2000,1,12,A
36536,944.375000,2000,1,13,A
36537,1066.145833,2000,1,14,A
36538,952.343750,2000,1,15,A
36539,881.822917,2000,1,16,A
36540,844.541667,2000,1,17,A
36541,786.583333,2000,1,18,A
36542,907.927083,2000,1,19,A
36543,932.552083,2000,1,20,A
36544,1153.333333,2000,1,21,A
36545,1265.729167,2000,1,22,A
36546,1179.062500,2000,1,23,A
36547,998.739583,2000,1,24,A
36548,769.906250,2000,1,25,A
36549,692.114583,2000,1,26,A
36550,586.114583,2000,1,27,A
36551,522.010417,2000,1,28,A
36552,466.708333,2000,1,29,A
36553,420.666667,2000,1,30,A
36554,387.125000,2000,1,31,A
36555,573.166667,2000,2,1,A
36556,944.729167,2000,2,2,A
36557,833.458333,2000,2,3,A
36558,711.656250,2000,2,4,A
36559,726.562500,2000,2,5,A
36560,694.854167,2000,2,6,A
36561,667.093750,2000,2,7,A
36562,686.145833,2000,2,8,A
36563,695.062500,2000,2,9,A
36564,596.781250,2000,2,10,A
36565,464.385417,2000,2,11,A
36566,417.750000,2000,2,12,A
36567,385.250000,2000,2,13,A
36568,410.895833,2000,2,14,A
36569,464.072917,2000,2,15,A
36570,461.052083,2000,2,16,A
36571,431.375000,2000,2,17,A
36572,395.729167,2000,2,18,A
36573,363.656250,2000,2,19,A
36574,335.125000,2000,2,20,A
36575,312.875000,2000,2,21,A
36576,323.104167,2000,2,22,A
36577,344.333333,2000,2,23,A
36578,323.635417,2000,2,24,A
36579,302.958333,2000,2,25,A
36580,346.437500,2000,2,26,A
36581,572.562500,2000,2,27,A
36582,599.572917,2000,2,28,A
36583,637.677083,2000,2,29,A
36584,734.062500,2000,3,1,A
36585,752.156250,2000,3,2,A
36586,733.114583,2000,3,3,A
36587,731.041667,2000,3,4,A
36588,746.854167,2000,3,5,A
36589,697.885417,2000,3,6,A
36590,646.812500,2000,3,7,A
36591,602.177083,2000,3,8,A
36592,556.187500,2000,3,9,A
36593,495.750000,2000,3,10,A
36594,458.958333,2000,3,11,A
36595,435.208333,2000,3,12,A
36596,412.614583,2000,3,13,A
36597,465.239583,2000,3,14,A
36598,450.906250,2000,3,15,A
36599,464.854167,2000,3,16,A
36600,517.406250,2000,3,17,A
36601,547.822917,2000,3,18,A
36602,586.583333,2000,3,19,A
36603,609.166667,2000,3,20,A
36604,591.739583,2000,3,21,A
36605,553.041667,2000,3,22,A
36606,465.343750,2000,3,23,A
36607,392.885417,2000,3,24,A
36608,353.760417,2000,3,25,A
36609,324.000000,2000,3,26,A
36610,301.781250,2000,3,27,A
36611,292.354167,2000,3,28,A
36612,272.114583,2000,3,29,A
36613,245.614583,2000,3,30,A
36614,205.406250,2000,3,31,A
36615,185.677083,2000,4,1,A
36616,174.913043,2000,4,2,A
36617,168.656250,2000,4,3,A
36618,171.635417,2000,4,4,A
36619,173.406250,2000,4,5,A
36620,182.968750,2000,4,6,A
36621,202.604167,2000,4,7,A
36622,177.770833,2000,4,8,A
36623,170.520833,2000,4,9,A
36624,158.979167,2000,4,10,A
36625,140.083333,2000,4,11,A
36626,133.135417,2000,4,12,A
36627,123.666667,2000,4,13,A
36628,134.739583,2000,4,14,A
36629,129.104167,2000,4,15,A
36630,123.385417,2000,4,16,A
36631,116.604167,2000,4,17,A
36632,110.072917,2000,4,18,A
36633,98.906250,2000,4,19,A
36634,95.354167,2000,4,20,A
36635,92.822917,2000,4,21,A
36636,92.906250,2000,4,22,A
36637,94.302083,2000,4,23,A
36638,97.750000,2000,4,24,A
36639,95.666667,2000,4,25,A
36640,97.281250,2000,4,26,A
36641,92.875000,2000,4,27,A
36642,98.947917,2000,4,28,A
36643,111.135417,2000,4,29,A
36644,101.718750,2000,4,30,A
36645,96.604167,2000,5,1,A
36646,124.239583,2000,5,2,A
36647,138.531250,2000,5,3,A
36648,113.125000,2000,5,4,A
36649,94.114583,2000,5,5,A
36650,96.604167,2000,5,6,A
36651,92.822917,2000,5,7,A
36652,96.250000,2000,5,8,A
36653,122.927083,2000,5,9,A
36654,303.687500,2000,5,10,A
36655,404.031250,2000,5,11,A
36656,383.416667,2000,5,12,A
36657,304.541667,2000,5,13,A
36658,263.906250,2000,5,14,A
36659,217.604167,2000,5,15,A
36660,153.302083,2000,5,16,A
36661,143.875000,2000,5,17,A
36662,148.010417,2000,5,18,A
36663,143.156250,2000,5,19,A
36664,138.322917,2000,5,20,A
36665,133.802083,2000,5,21,A
36666,125.677083,2000,5,22,A
36667,114.208333,2000,5,23,A
36668,111.010417,2000,5,24,A
36669,111.072917,2000,5,25,A
36670,102.260417,2000,5,26,A
36671,104.833333,2000,5,27,A
36672,99.750000,2000,5,28,A
36673,98.343750,2000,5,29,A
