;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-05-03 12:45:07 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14205400 EAST FORK DAIRY CREEK NEAR MEACHAM CORNER, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14205400
;#            TS   parameter     Description
;#        117238       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;# 
;USGS 14205400_flow_EAST FORK DAIRY CREEK NEAR MEACHAM CORNER, OR_23804986 
day_index,Q_cfs,Year,Month,Day,Quality
37382,47.104167,2002,5,8,A
37383,46.437500,2002,5,9,A
37384,45.916667,2002,5,10,A
37385,43.875000,2002,5,11,A
37386,42.770833,2002,5,12,A
37387,42.604167,2002,5,13,A
37388,41.958333,2002,5,14,A
37389,40.270833,2002,5,15,A
37390,39.458333,2002,5,16,A
37391,42.250000,2002,5,17,A
37392,38.979167,2002,5,18,A
37393,39.125000,2002,5,19,A
37394,39.604167,2002,5,20,A
37395,37.708333,2002,5,21,A
37396,36.333333,2002,5,22,A
37397,35.291667,2002,5,23,A
37398,34.583333,2002,5,24,A
37399,34.125000,2002,5,25,A
37400,33.979167,2002,5,26,A
37401,34.895833,2002,5,27,A
37402,38.208333,2002,5,28,A
37403,39.145833,2002,5,29,A
37404,34.375000,2002,5,30,A
37405,32.604167,2002,5,31,A
37406,31.437500,2002,6,1,A
37407,30.541667,2002,6,2,A
37408,29.979167,2002,6,3,A
37409,30.000000,2002,6,4,A
37410,29.437500,2002,6,5,A
37411,28.812500,2002,6,6,A
37412,28.500000,2002,6,7,A
37413,29.687500,2002,6,8,A
37414,29.375000,2002,6,9,A
37415,27.666667,2002,6,10,A
37416,26.833333,2002,6,11,A
37417,25.583333,2002,6,12,A
37418,25.125000,2002,6,13,A
