;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 19:02:48 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14206950 FANNO CREEK AT DURHAM, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14206950
;#            TS   parameter     Description
;#        117250       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     R  Records for these data have been revised. [https://nwis.waterdata.usgs.gov/usa/nwis/revision/?site_no=14206950&ts_ids=117250]
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;# 
;USGS 14206950_flow_FANNO CREEK AT DURHAM, OR_23805270 
day_index,Q_cfs,Year,Month,Day,Quality
36798,44.677083,2000,10,1,A
36799,11.566667,2000,10,2,A
36800,5.569792,2000,10,3,A
36801,4.394792,2000,10,4,A
36802,3.741667,2000,10,5,A
36803,3.286458,2000,10,6,A
36804,4.307292,2000,10,7,A
36805,3.305208,2000,10,8,A
36806,52.617708,2000,10,9,A
36807,86.568750,2000,10,10,A
36808,15.125000,2000,10,11,A
36809,8.280208,2000,10,12,A
36810,19.433333,2000,10,13,A
36811,17.187500,2000,10,14,A
36812,7.935417,2000,10,15,A
36813,6.156250,2000,10,16,A
36814,5.541667,2000,10,17,A
36815,19.052083,2000,10,18,A
36816,10.669792,2000,10,19,A
36817,133.854167,2000,10,20,A
36818,37.375000,2000,10,21,A
36819,18.635417,2000,10,22,A
36820,10.408333,2000,10,23,A
36821,8.207292,2000,10,24,A
36822,7.398958,2000,10,25,A
36823,8.381250,2000,10,26,A
36824,18.323958,2000,10,27,A
36825,90.031250,2000,10,28,A
36826,22.427083,2000,10,29,A
36827,13.697917,2000,10,30,A
36828,11.759375,2000,10,31,A
36829,8.610417,2000,11,1,A
36830,9.205208,2000,11,2,A
36831,7.928125,2000,11,3,A
36832,7.187500,2000,11,4,A
36833,7.358333,2000,11,5,A
36834,9.816667,2000,11,6,A
36835,10.076042,2000,11,7,A
36836,45.544792,2000,11,8,A
36837,20.760417,2000,11,9,A
36838,12.760417,2000,11,10,A
36839,9.086458,2000,11,11,A
36840,8.053125,2000,11,12,A
36841,7.803125,2000,11,13,A
36842,7.400000,2000,11,14,A
36843,7.175000,2000,11,15,A
36844,7.262500,2000,11,16,A
36845,6.975000,2000,11,17,A
36846,6.693750,2000,11,18,A
36847,6.693750,2000,11,19,A
36848,6.900000,2000,11,20,A
36849,6.844792,2000,11,21,A
36850,6.440625,2000,11,22,A
36851,88.368750,2000,11,23,A
36852,69.468750,2000,11,24,A
36853,41.218750,2000,11,25,A
36854,45.770833,2000,11,26,A
36855,62.489583,2000,11,27,A
36856,21.645833,2000,11,28,A
36857,46.229167,2000,11,29,A
36858,70.208333,2000,11,30,A
36859,20.239583,2000,12,1,A
36860,44.197917,2000,12,2,A
36861,21.229167,2000,12,3,A
36862,15.093750,2000,12,4,A
36863,11.333333,2000,12,5,A
36864,9.722917,2000,12,6,A
36865,9.271875,2000,12,7,A
36866,8.814583,2000,12,8,A
36867,11.037500,2000,12,9,A
36868,9.147917,2000,12,10,A
36869,8.162500,2000,12,11,A
36870,7.913542,2000,12,12,A
36871,31.219792,2000,12,13,A
36872,70.012500,2000,12,14,A
36873,90.552083,2000,12,15,A
36874,44.125000,2000,12,16,A
36875,82.329167,2000,12,17,A
36876,26.520833,2000,12,18,A
36877,56.895833,2000,12,19,A
36878,49.729167,2000,12,20,A
36879,66.052083,2000,12,21,A
36880,214.635417,2000,12,22,A
36881,139.416667,2000,12,23,A
36882,61.677083,2000,12,24,A
36883,31.645833,2000,12,25,A
36884,26.083333,2000,12,26,A
