;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 19:03:27 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14208700 OAK GROVE FORK NEAR GOVERNMENT CAMP, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14208700
;#            TS   parameter     Description
;#        117281       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;# 
;USGS 14208700_flow_OAK GROVE FORK NEAR GOVERNMENT CAMP, OR_23810706 
day_index,Q_cfs,Year,Month,Day,Quality
36524,235.312500,2000,1,1,A
36525,246.000000,2000,1,2,A
36526,244.000000,2000,1,3,A
36527,151.270833,2000,1,4,A
36528,205.104167,2000,1,5,A
36529,234.375000,2000,1,6,A
36530,242.645833,2000,1,7,A
36531,186.979167,2000,1,8,A
36532,153.854167,2000,1,9,A
36533,162.145833,2000,1,10,A
36534,190.187500,2000,1,11,A
36535,206.583333,2000,1,12,A
36536,216.916667,2000,1,13,A
36537,217.666667,2000,1,14,A
36538,240.645833,2000,1,15,A
36539,242.416667,2000,1,16,A
36540,249.833333,2000,1,17,A
36541,258.500000,2000,1,18,A
36542,262.833333,2000,1,19,A
36543,262.666667,2000,1,20,A
36544,266.541667,2000,1,21,A
36545,272.854167,2000,1,22,A
36546,276.416667,2000,1,23,A
36547,276.916667,2000,1,24,A
36548,277.333333,2000,1,25,A
36549,280.687500,2000,1,26,A
36550,286.125000,2000,1,27,A
36551,287.083333,2000,1,28,A
36552,290.500000,2000,1,29,A
36553,297.229167,2000,1,30,A
36554,286.854167,2000,1,31,A
36555,173.368750,2000,2,1,A
36556,91.585417,2000,2,2,A
36557,142.333333,2000,2,3,A
36558,171.250000,2000,2,4,A
36559,189.875000,2000,2,5,A
