;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 19:03:47 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14209000 OAK GROVE FORK ABOVE POWERPLANT INTAKE, OR.
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14209000
;#            TS   parameter     Description
;#        117284       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;# 
;USGS 14209000_flow_OAK GROVE FORK ABOVE POWERPLANT INTAKE, OR_23809432 
day_index,Q_cfs,Year,Month,Day,Quality
36524,548.895833,2000,1,1,A
36525,539.979167,2000,1,2,A
36526,536.458333,2000,1,3,A
36527,516.500000,2000,1,4,A
36528,521.020833,2000,1,5,A
36529,546.916667,2000,1,6,A
36530,553.708333,2000,1,7,A
36531,543.437500,2000,1,8,A
36532,512.666667,2000,1,9,A
36533,520.937500,2000,1,10,A
36534,530.000000,2000,1,11,A
36535,501.937500,2000,1,12,A
36536,540.604167,2000,1,13,A
36537,538.187500,2000,1,14,A
36538,567.875000,2000,1,15,A
36539,555.416667,2000,1,16,A
36540,537.875000,2000,1,17,A
36541,541.187500,2000,1,18,A
36542,546.312500,2000,1,19,A
36543,544.500000,2000,1,20,A
36544,546.145833,2000,1,21,A
36545,551.250000,2000,1,22,A
36546,551.687500,2000,1,23,A
36547,552.291667,2000,1,24,A
36548,547.166667,2000,1,25,A
36549,550.833333,2000,1,26,A
36550,555.750000,2000,1,27,A
36551,558.270833,2000,1,28,A
36552,559.875000,2000,1,29,A
36553,569.395833,2000,1,30,A
36554,567.812500,2000,1,31,A
36555,593.708333,2000,2,1,A
36556,544.270833,2000,2,2,A
36557,553.750000,2000,2,3,A
36558,558.562500,2000,2,4,A
36559,561.729167,2000,2,5,A
36560,553.854167,2000,2,6,A
36561,562.291667,2000,2,7,A
36562,567.062500,2000,2,8,A
36563,557.187500,2000,2,9,A
36564,566.979167,2000,2,10,A
36565,557.145833,2000,2,11,A
36566,566.500000,2000,2,12,A
36567,557.666667,2000,2,13,A
36568,564.062500,2000,2,14,A
36569,551.354167,2000,2,15,A
36570,557.979167,2000,2,16,A
36571,552.895833,2000,2,17,A
36572,554.666667,2000,2,18,A
36573,464.312500,2000,2,19,A
36574,462.645833,2000,2,20,A
36575,457.416667,2000,2,21,A
36576,461.916667,2000,2,22,A
36577,463.291667,2000,2,23,A
36578,451.291667,2000,2,24,A
36579,445.541667,2000,2,25,A
36580,476.437500,2000,2,26,A
36581,507.729167,2000,2,27,A
36582,491.791667,2000,2,28,A
36583,496.291667,2000,2,29,A
36584,537.333333,2000,3,1,A
36585,551.000000,2000,3,2,A
36586,555.770833,2000,3,3,A
36587,559.875000,2000,3,4,A
36588,558.458333,2000,3,5,A
36589,548.583333,2000,3,6,A
36590,555.000000,2000,3,7,A
36591,551.270833,2000,3,8,A
36592,540.937500,2000,3,9,A
36593,539.729167,2000,3,10,A
36594,485.958333,2000,3,11,A
36595,471.416667,2000,3,12,A
36596,476.104167,2000,3,13,A
36597,520.750000,2000,3,14,A
36598,510.875000,2000,3,15,A
36599,511.375000,2000,3,16,A
36600,483.729167,2000,3,17,A
36601,495.645833,2000,3,18,A
36602,496.437500,2000,3,19,A
36603,496.729167,2000,3,20,A
36604,487.708333,2000,3,21,A
36605,477.104167,2000,3,22,A
36606,474.104167,2000,3,23,A
36607,501.583333,2000,3,24,A
36608,505.125000,2000,3,25,A
36609,512.000000,2000,3,26,A
36610,496.583333,2000,3,27,A
36611,507.812500,2000,3,28,A
36612,507.250000,2000,3,29,A
36613,503.958333,2000,3,30,A
36614,479.416667,2000,3,31,A
36615,451.395833,2000,4,1,A
36616,502.043478,2000,4,2,A
36617,540.541667,2000,4,3,A
36618,574.604167,2000,4,4,A
36619,576.375000,2000,4,5,A
36620,542.125000,2000,4,6,A
36621,519.958333,2000,4,7,A
36622,517.312500,2000,4,8,A
36623,521.708333,2000,4,9,A
36624,520.500000,2000,4,10,A
36625,527.187500,2000,4,11,A
36626,564.479167,2000,4,12,A
36627,701.416667,2000,4,13,A
36628,738.437500,2000,4,14,A
36629,743.250000,2000,4,15,A
36630,691.854167,2000,4,16,A
36631,648.958333,2000,4,17,A
36632,635.333333,2000,4,18,A
36633,602.645833,2000,4,19,A
36634,593.604167,2000,4,20,A
36635,604.916667,2000,4,21,A
36636,637.062500,2000,4,22,A
36637,586.062500,2000,4,23,A
36638,616.229167,2000,4,24,A
36639,820.812500,2000,4,25,A
36640,800.645833,2000,4,26,A
36641,740.125000,2000,4,27,A
36642,692.583333,2000,4,28,A
36643,654.291667,2000,4,29,A
36644,623.104167,2000,4,30,A
36645,625.000000,2000,5,1,A
36646,650.875000,2000,5,2,A
36647,685.166667,2000,5,3,A
36648,675.916667,2000,5,4,A
36649,647.729167,2000,5,5,A
36650,558.875000,2000,5,6,A
36651,562.083333,2000,5,7,A
36652,596.541667,2000,5,8,A
36653,735.625000,2000,5,9,A
36654,805.812500,2000,5,10,A
36655,789.104167,2000,5,11,A
36656,775.625000,2000,5,12,A
36657,740.833333,2000,5,13,A
36658,692.645833,2000,5,14,A
36659,658.125000,2000,5,15,A
36660,624.229167,2000,5,16,A
36661,593.416667,2000,5,17,A
36662,585.937500,2000,5,18,A
36663,608.854167,2000,5,19,A
36664,655.791667,2000,5,20,A
36665,675.312500,2000,5,21,A
36666,685.916667,2000,5,22,A
36667,665.354167,2000,5,23,A
36668,642.020833,2000,5,24,A
36669,624.395833,2000,5,25,A
36670,613.083333,2000,5,26,A
36671,626.166667,2000,5,27,A
36672,617.937500,2000,5,28,A
36673,598.812500,2000,5,29,A
36674,576.333333,2000,5,30,A
36675,567.229167,2000,5,31,A
36676,571.604167,2000,6,1,A
36677,568.687500,2000,6,2,A
36678,560.333333,2000,6,3,A
36679,581.354167,2000,6,4,A
36680,572.875000,2000,6,5,A
36681,561.729167,2000,6,6,A
36682,557.833333,2000,6,7,A
36683,571.666667,2000,6,8,A
36684,567.104167,2000,6,9,A
36685,558.916667,2000,6,10,A
36686,561.520833,2000,6,11,A
36687,582.500000,2000,6,12,A
36688,552.187500,2000,6,13,A
36689,559.854167,2000,6,14,A
36690,529.875000,2000,6,15,A
36691,560.937500,2000,6,16,A
36692,572.791667,2000,6,17,A
36693,549.479167,2000,6,18,A
36694,485.479167,2000,6,19,A
36695,482.604167,2000,6,20,A
36696,482.750000,2000,6,21,A
36697,469.375000,2000,6,22,A
36698,450.625000,2000,6,23,A
36699,436.229167,2000,6,24,A
36700,353.916667,2000,6,25,A
36701,316.312500,2000,6,26,A
36702,307.645833,2000,6,27,A
36703,300.166667,2000,6,28,A
36704,298.458333,2000,6,29,A
36705,287.083333,2000,6,30,A
36706,279.437500,2000,7,1,A
36707,274.750000,2000,7,2,A
36708,281.020833,2000,7,3,A
36709,281.270833,2000,7,4,A
36710,279.333333,2000,7,5,A
36711,271.312500,2000,7,6,A
36712,267.770833,2000,7,7,A
36713,262.812500,2000,7,8,A
36714,265.645833,2000,7,9,A
36715,267.604167,2000,7,10,A
36716,266.854167,2000,7,11,A
36717,262.770833,2000,7,12,A
36718,259.083333,2000,7,13,A
36719,256.395833,2000,7,14,A
36720,261.687500,2000,7,15,A
36721,264.791667,2000,7,16,A
36722,269.166667,2000,7,17,A
