;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 19:05:56 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14211010 CLACKAMAS RIVER NEAR OREGON CITY, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14211010
;#            TS   parameter     Description
;#        171442       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;# 
;USGS 14211010_flow_CLACKAMAS RIVER NEAR OREGON CITY, OR_23809000 
day_index,Q_cfs,Year,Month,Day,Quality
37049,1531.250000,2001,6,9,A
37050,1515.000000,2001,6,10,A
37051,1537.916667,2001,6,11,A
37052,2562.083333,2001,6,12,A
37053,2234.583333,2001,6,13,A
37054,1953.333333,2001,6,14,A
37055,1780.208333,2001,6,15,A
37056,1635.208333,2001,6,16,A
37057,1548.333333,2001,6,17,A
37058,1478.750000,2001,6,18,A
37059,1419.791667,2001,6,19,A
37060,1333.750000,2001,6,20,A
37061,1295.208333,2001,6,21,A
37062,1246.041667,2001,6,22,A
37063,1237.500000,2001,6,23,A
37064,1239.583333,2001,6,24,A
37065,1426.041667,2001,6,25,A
37066,1288.541667,2001,6,26,A
37067,1417.291667,2001,6,27,A
37068,1815.625000,2001,6,28,A
37069,1505.000000,2001,6,29,A
37070,1360.625000,2001,6,30,A
37071,1289.583333,2001,7,1,A
37072,1210.000000,2001,7,2,A
37073,1155.625000,2001,7,3,A
37074,1117.916667,2001,7,4,A
37075,1097.500000,2001,7,5,A
37076,1073.541667,2001,7,6,A
37077,1033.020833,2001,7,7,A
37078,1020.416667,2001,7,8,A
37079,1000.916667,2001,7,9,A
37080,978.520833,2001,7,10,A
37081,961.063830,2001,7,11,A
37082,949.750000,2001,7,12,A
37083,964.229167,2001,7,13,A
37084,923.708333,2001,7,14,A
37085,908.791667,2001,7,15,A
37086,965.645833,2001,7,16,A
37087,1022.979167,2001,7,17,A
37088,961.187500,2001,7,18,A
37089,966.875000,2001,7,19,A
37090,944.208333,2001,7,20,A
37091,916.833333,2001,7,21,A
37092,902.583333,2001,7,22,A
37093,875.937500,2001,7,23,A
37094,866.812500,2001,7,24,A
37095,871.354167,2001,7,25,A
37096,1026.020833,2001,7,26,A
37097,775.979167,2001,7,27,A
37098,738.583333,2001,7,28,A
37099,769.375000,2001,7,29,A
37100,992.687500,2001,7,30,A
37101,1009.333333,2001,7,31,A
37102,893.520833,2001,8,1,A
37103,845.395833,2001,8,2,A
37104,845.395833,2001,8,3,A
37105,869.250000,2001,8,4,A
37106,839.145833,2001,8,5,A
37107,864.854167,2001,8,6,A
37108,900.916667,2001,8,7,A
37109,0.000000,2001,8,8,Missing
37110,0.000000,2001,8,9,Missing
37111,0.000000,2001,8,10,Missing
37112,789.666667,2001,8,11,A
37113,784.020833,2001,8,12,A
37114,761.979167,2001,8,13,A
37115,722.041667,2001,8,14,A
37116,711.583333,2001,8,15,A
37117,729.125000,2001,8,16,A
37118,691.187500,2001,8,17,A
37119,697.812500,2001,8,18,A
37120,776.020833,2001,8,19,A
37121,795.104167,2001,8,20,A
37122,773.666667,2001,8,21,A
37123,806.520833,2001,8,22,A
37124,836.645833,2001,8,23,A
37125,801.354167,2001,8,24,A
37126,769.729167,2001,8,25,A
37127,730.770833,2001,8,26,A
37128,679.937500,2001,8,27,A
37129,664.583333,2001,8,28,A
37130,725.437500,2001,8,29,A
37131,676.458333,2001,8,30,A
37132,662.520833,2001,8,31,A
37133,657.770833,2001,9,1,A
37134,673.937500,2001,9,2,A
37135,715.541667,2001,9,3,A
37136,687.791667,2001,9,4,A
37137,668.437500,2001,9,5,A
37138,673.916667,2001,9,6,A
37139,638.500000,2001,9,7,A
37140,646.541667,2001,9,8,A
37141,674.416667,2001,9,9,A
37142,698.375000,2001,9,10,A
37143,813.958333,2001,9,11,A
37144,710.270833,2001,9,12,A
37145,661.291667,2001,9,13,A
37146,635.270833,2001,9,14,A
37147,707.791667,2001,9,15,A
37148,772.083333,2001,9,16,A
37149,726.479167,2001,9,17,A
37150,731.270833,2001,9,18,A
37151,735.229167,2001,9,19,A
37152,748.229167,2001,9,20,A
37153,737.375000,2001,9,21,A
37154,732.979167,2001,9,22,A
37155,741.687500,2001,9,23,A
37156,744.437500,2001,9,24,A
37157,796.354167,2001,9,25,A
37158,0.000000,2001,9,26,Missing
37159,0.000000,2001,9,27,Missing
37160,820.354167,2001,9,28,A
37161,796.687500,2001,9,29,A
37162,768.395833,2001,9,30,A
37163,754.625000,2001,10,1,A
37164,761.145833,2001,10,2,A
37165,742.541667,2001,10,3,A
37166,724.416667,2001,10,4,A
37167,704.854167,2001,10,5,A
37168,775.062500,2001,10,6,A
37169,776.065217,2001,10,7,A
37170,782.782609,2001,10,8,A
37171,831.958333,2001,10,9,A
37172,843.145833,2001,10,10,A
37173,1572.083333,2001,10,11,A
37174,1355.187500,2001,10,12,A
37175,931.666667,2001,10,13,A
37176,1025.312500,2001,10,14,A
37177,1005.083333,2001,10,15,A
37178,949.541667,2001,10,16,A
37179,984.687500,2001,10,17,A
37180,967.250000,2001,10,18,A
37181,914.041667,2001,10,19,A
37182,850.312500,2001,10,20,A
37183,888.708333,2001,10,21,A
37184,1161.041667,2001,10,22,A
37185,2905.625000,2001,10,23,A
37186,2401.250000,2001,10,24,A
37187,1804.583333,2001,10,25,A
37188,1545.652174,2001,10,26,A
37189,1281.875000,2001,10,27,A
37190,1297.916667,2001,10,28,A
37191,1270.416667,2001,10,29,A
37192,1805.416667,2001,10,30,A
37193,0.000000,2001,10,31,Missing
37194,4382.291667,2001,11,1,A
37195,3723.333333,2001,11,2,A
37196,2845.416667,2001,11,3,A
37197,2288.958333,2001,11,4,A
37198,0.000000,2001,11,5,Missing
37199,2119.583333,2001,11,6,A
37200,1949.791667,2001,11,7,A
37201,0.000000,2001,11,8,Missing
37202,1449.791667,2001,11,9,A
37203,1401.875000,2001,11,10,A
37204,1375.416667,2001,11,11,A
37205,1407.291667,2001,11,12,A
37206,1811.666667,2001,11,13,A
37207,4890.000000,2001,11,14,A
37208,3707.916667,2001,11,15,A
37209,3360.833333,2001,11,16,A
37210,3908.750000,2001,11,17,A
37211,3380.833333,2001,11,18,A
37212,2893.125000,2001,11,19,A
