;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 13:45:19 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14211400 JOHNSON CREEK AT REGNER ROAD, AT GRESHAM, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14211400
;#            TS   parameter     Description
;#        117324       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     R  Records for these data have been revised. [https://nwis.waterdata.usgs.gov/usa/nwis/revision/?site_no=14211400&ts_ids=117324]
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;#    92  Daily mean calculated from data on this day matches published daily mean within 5 percent
;#    93  Daily mean calculated from data on this day matches published daily mean within 10 percent
;# 
;USGS 14211400_flow_JOHNSON CREEK AT REGNER ROAD, AT GRESHAM, OR_23815070 
day_index,Q_cfs,Year,Month,Day,Quality
36524,20.312500,2000,1,1,A
36525,23.479167,2000,1,2,A
36526,57.916667,2000,1,3,A
36527,127.208333,2000,1,4,A
36528,75.458333,2000,1,5,A
36529,51.708333,2000,1,6,A
36530,48.270833,2000,1,7,A
36531,57.312500,2000,1,8,A
36532,83.479167,2000,1,9,A
36533,142.208333,2000,1,10,A
36534,150.750000,2000,1,11,A
36535,144.729167,2000,1,12,A
36536,234.375000,2000,1,13,A
36537,158.208333,2000,1,14,A
36538,102.375000,2000,1,15,A
36539,96.187500,2000,1,16,A
36540,62.625000,2000,1,17,A
36541,47.312500,2000,1,18,A
36542,37.770833,2000,1,19,A
36543,43.583333,2000,1,20,A
36544,35.812500,2000,1,21,A
36545,30.250000,2000,1,22,A
36546,27.291667,2000,1,23,A
36547,28.395833,2000,1,24,A
36548,47.645833,2000,1,25,A
36549,39.562500,2000,1,26,A
36550,31.604167,2000,1,27,A
36551,28.333333,2000,1,28,A
36552,21.458333,2000,1,29,A
36553,18.854167,2000,1,30,A
36554,24.333333,2000,1,31,A
36555,230.229167,2000,2,1,A
36556,210.166667,2000,2,2,A
36557,106.250000,2000,2,3,A
36558,68.291667,2000,2,4,A
36559,49.354167,2000,2,5,A
36560,44.187500,2000,2,6,A
36561,33.062500,2000,2,7,A
36562,134.708333,2000,2,8,A
36563,103.979167,2000,2,9,A
36564,68.833333,2000,2,10,A
36565,79.020833,2000,2,11,A
36566,95.833333,2000,2,12,A
36567,85.479167,2000,2,13,A
