;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 13:46:00 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14211500 JOHNSON CREEK AT SYCAMORE, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14211500
;#            TS   parameter     Description
;#        117335       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;# 
;USGS 14211500_flow_JOHNSON CREEK AT SYCAMORE, OR_23815066 
day_index,Q_cfs,Year,Month,Day,Quality
36524,46.708333,2000,1,1,A
36525,43.500000,2000,1,2,A
36526,90.137500,2000,1,3,A
36527,186.979167,2000,1,4,A
36528,108.700000,2000,1,5,A
36529,77.291667,2000,1,6,A
36530,73.958333,2000,1,7,A
36531,84.679167,2000,1,8,A
36532,127.095833,2000,1,9,A
36533,201.729167,2000,1,10,A
36534,224.791667,2000,1,11,A
36535,222.166667,2000,1,12,A
36536,350.583333,2000,1,13,A
36537,231.625000,2000,1,14,A
36538,152.479167,2000,1,15,A
36539,148.437500,2000,1,16,A
36540,96.116667,2000,1,17,A
36541,74.708333,2000,1,18,A
36542,61.666667,2000,1,19,A
36543,69.937500,2000,1,20,A
36544,58.708333,2000,1,21,A
36545,48.166667,2000,1,22,A
36546,41.333333,2000,1,23,A
36547,44.541667,2000,1,24,A
36548,74.145833,2000,1,25,A
36549,60.458333,2000,1,26,A
36550,48.166667,2000,1,27,A
36551,41.604167,2000,1,28,A
36552,35.000000,2000,1,29,A
36553,31.312500,2000,1,30,A
36554,41.437500,2000,1,31,A
36555,305.437500,2000,2,1,A
36556,285.875000,2000,2,2,A
36557,146.375000,2000,2,3,A
36558,97.733333,2000,2,4,A
36559,76.375000,2000,2,5,A
36560,72.333333,2000,2,6,A
36561,52.145833,2000,2,7,A
36562,182.908333,2000,2,8,A
36563,144.166667,2000,2,9,A
36564,97.200000,2000,2,10,A
36565,115.312500,2000,2,11,A
36566,139.041667,2000,2,12,A
36567,118.770833,2000,2,13,A
36568,200.562500,2000,2,14,A
36569,150.729167,2000,2,15,A
36570,104.825000,2000,2,16,A
36571,77.687500,2000,2,17,A
36572,58.520833,2000,2,18,A
36573,47.395833,2000,2,19,A
36574,39.416667,2000,2,20,A
36575,36.479167,2000,2,21,A
36576,64.125000,2000,2,22,A
36577,53.083333,2000,2,23,A
36578,39.916667,2000,2,24,A
36579,42.833333,2000,2,25,A
36580,129.458333,2000,2,26,A
36581,201.416667,2000,2,27,A
36582,122.104167,2000,2,28,A
36583,160.229167,2000,2,29,A
36584,97.762500,2000,3,1,A
36585,103.270833,2000,3,2,A
36586,78.395833,2000,3,3,A
