;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 14:55:42 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14145500 MF WILLAMETTE RIVER ABV SALT CRK, NEAR OAKRIDGE,OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14145500
;#            TS   parameter     Description
;#        116857       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14145500_temp_MF WILLAMETTE RIVER ABV SALT CRK, NEAR OAKRIDGE,OR_23751940 
day_index,temp_C,Year,Month,Day,Quality
39720,13.315217,2008,10,1,A
39721,13.447917,2008,10,2,A
39722,13.406250,2008,10,3,A
39723,13.435417,2008,10,4,A
39724,13.547917,2008,10,5,A
39725,13.575000,2008,10,6,A
39726,13.606250,2008,10,7,A
39727,13.683333,2008,10,8,A
39728,13.939583,2008,10,9,A
39729,13.960417,2008,10,10,A
39730,13.266667,2008,10,11,A
39731,12.754167,2008,10,12,A
39732,12.910417,2008,10,13,A
39733,12.910417,2008,10,14,A
39734,12.945833,2008,10,15,A
39735,13.420833,2008,10,16,A
39736,14.083333,2008,10,17,A
39737,14.008333,2008,10,18,A
39738,13.997917,2008,10,19,A
39739,14.139583,2008,10,20,A
39740,14.077083,2008,10,21,A
39741,14.035417,2008,10,22,A
39742,13.872917,2008,10,23,A
39743,13.845833,2008,10,24,A
39744,13.793750,2008,10,25,A
39745,13.825000,2008,10,26,A
39746,13.762500,2008,10,27,A
39747,13.804167,2008,10,28,A
39748,13.825000,2008,10,29,A
39749,13.768750,2008,10,30,A
39750,13.783333,2008,10,31,A
39751,13.668750,2008,11,1,A
39752,13.590000,2008,11,2,A
39753,13.464583,2008,11,3,A
39754,13.360417,2008,11,4,A
39755,13.381250,2008,11,5,A
39756,13.356250,2008,11,6,A
39757,13.277083,2008,11,7,A
39758,13.150000,2008,11,8,A
39759,12.975000,2008,11,9,A
39760,12.777083,2008,11,10,A
39761,12.493750,2008,11,11,A
39762,12.508333,2008,11,12,A
39763,12.277083,2008,11,13,A
39764,11.939583,2008,11,14,A
39765,11.768750,2008,11,15,A
39766,11.581250,2008,11,16,A
39767,11.420833,2008,11,17,A
39768,11.193750,2008,11,18,A
39769,11.060417,2008,11,19,A
39770,10.947917,2008,11,20,A
39771,10.668750,2008,11,21,A
39772,10.381250,2008,11,22,A
39773,10.331250,2008,11,23,A
39774,10.156250,2008,11,24,A
39775,9.875000,2008,11,25,A
39776,9.725000,2008,11,26,A
39777,9.543750,2008,11,27,A
39778,9.429167,2008,11,28,A
39779,9.464583,2008,11,29,A
39780,9.525000,2008,11,30,A
39781,9.329167,2008,12,1,A
39782,9.189583,2008,12,2,A
39783,9.212500,2008,12,3,A
39784,9.035417,2008,12,4,A
39785,8.775000,2008,12,5,A
39786,8.470833,2008,12,6,A
39787,8.316667,2008,12,7,A
39788,8.170833,2008,12,8,A
39789,8.025000,2008,12,9,A
39790,7.929167,2008,12,10,A
39791,7.797917,2008,12,11,A
39792,7.595833,2008,12,12,A
39793,7.379167,2008,12,13,A
39794,7.218750,2008,12,14,A
39795,6.562500,2008,12,15,A
39796,6.270833,2008,12,16,A
39797,6.195833,2008,12,17,A
39798,6.008333,2008,12,18,A
39799,5.839583,2008,12,19,A
39800,5.743750,2008,12,20,A
39801,5.695833,2008,12,21,A
39802,5.558333,2008,12,22,A
39803,5.510417,2008,12,23,A
39804,5.393750,2008,12,24,A
39805,5.295833,2008,12,25,A
39806,5.270833,2008,12,26,A
39807,5.206250,2008,12,27,A
39808,5.389583,2008,12,28,A
39809,5.318750,2008,12,29,A
39810,5.166667,2008,12,30,A
