;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 14:56:04 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14148000 MF WILLAMETTE RIVER BLW N FORK, NR OAKRIDGE, OR.
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14148000
;#            TS   parameter     Description
;#        116864       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14148000_temp_MF WILLAMETTE RIVER BLW N FORK, NR OAKRIDGE, OR_23751880 
day_index,temp_C,Year,Month,Day,Quality
39764,9.208333,2008,11,14,A
39765,9.297917,2008,11,15,A
39766,9.664583,2008,11,16,A
39767,9.875000,2008,11,17,A
39768,9.964583,2008,11,18,A
39769,9.997917,2008,11,19,A
39770,9.860417,2008,11,20,A
39771,9.362500,2008,11,21,A
39772,9.293750,2008,11,22,A
39773,8.804167,2008,11,23,A
39774,8.668750,2008,11,24,A
39775,8.743750,2008,11,25,A
39776,8.885417,2008,11,26,A
39777,8.502083,2008,11,27,A
39778,8.722917,2008,11,28,A
39779,8.870833,2008,11,29,A
39780,8.572917,2008,11,30,A
39781,8.158333,2008,12,1,A
39782,8.631250,2008,12,2,A
39783,8.302083,2008,12,3,A
39784,7.297917,2008,12,4,A
39785,6.450000,2008,12,5,A
39786,5.885417,2008,12,6,A
39787,6.122917,2008,12,7,A
39788,6.835417,2008,12,8,A
39789,6.168750,2008,12,9,A
39790,5.814583,2008,12,10,A
39791,5.950000,2008,12,11,A
39792,6.191667,2008,12,12,A
39793,5.279167,2008,12,13,A
39794,5.043750,2008,12,14,A
39795,4.345833,2008,12,15,A
39796,3.435417,2008,12,16,A
39797,3.625000,2008,12,17,A
39798,3.895833,2008,12,18,A
39799,3.820833,2008,12,19,A
39800,3.679167,2008,12,20,A
39801,3.802083,2008,12,21,A
39802,3.895833,2008,12,22,A
39803,3.989583,2008,12,23,A
39804,3.847917,2008,12,24,A
39805,3.664583,2008,12,25,A
39806,3.968750,2008,12,26,A
39807,4.200000,2008,12,27,A
39808,4.400000,2008,12,28,A
39809,5.264583,2008,12,29,A
39810,5.358333,2008,12,30,A
39811,5.506250,2008,12,31,A
39812,5.560417,2009,1,1,A
39813,5.554167,2009,1,2,A
39814,4.941667,2009,1,3,A
39815,4.464583,2009,1,4,A
39816,5.033333,2009,1,5,A
39817,5.610417,2009,1,6,A
39818,5.835417,2009,1,7,A
39819,5.843750,2009,1,8,A
39820,5.395833,2009,1,9,A
39821,5.189583,2009,1,10,A
39822,5.472917,2009,1,11,A
39823,5.502083,2009,1,12,A
39824,5.160417,2009,1,13,A
39825,5.020833,2009,1,14,A
39826,4.875000,2009,1,15,A
39827,4.700000,2009,1,16,A
39828,4.645833,2009,1,17,A
39829,4.879167,2009,1,18,A
39830,4.735417,2009,1,19,A
39831,4.664583,2009,1,20,A
39832,4.668750,2009,1,21,A
39833,5.272917,2009,1,22,A
39834,5.354167,2009,1,23,A
39835,5.385417,2009,1,24,A
39836,4.964583,2009,1,25,A
39837,4.502083,2009,1,26,A
39838,3.420833,2009,1,27,A
39839,4.193750,2009,1,28,A
39840,4.531250,2009,1,29,A
39841,4.397917,2009,1,30,A
39842,4.591667,2009,1,31,A
39843,4.281250,2009,2,1,A
39844,4.277083,2009,2,2,A
39845,4.491667,2009,2,3,A
39846,4.683333,2009,2,4,A
39847,5.050000,2009,2,5,A
39848,5.556250,2009,2,6,A
39849,5.556250,2009,2,7,A
39850,4.531250,2009,2,8,A
39851,4.564583,2009,2,9,A
39852,3.768750,2009,2,10,A
39853,3.977083,2009,2,11,A
39854,4.416667,2009,2,12,A
39855,4.400000,2009,2,13,A
39856,4.279167,2009,2,14,A
39857,4.733333,2009,2,15,A
39858,4.983333,2009,2,16,A
39859,5.547917,2009,2,17,A
39860,4.872917,2009,2,18,A
39861,4.510417,2009,2,19,A
39862,4.681250,2009,2,20,A
39863,4.804167,2009,2,21,A
39864,5.804167,2009,2,22,A
39865,6.058333,2009,2,23,A
39866,5.741667,2009,2,24,A
39867,5.929167,2009,2,25,A
39868,5.147917,2009,2,26,A
39869,4.785417,2009,2,27,A
39870,5.077083,2009,2,28,A
39871,5.695833,2009,3,1,A
39872,6.339583,2009,3,2,A
39873,5.981250,2009,3,3,A
39874,5.185417,2009,3,4,A
39875,5.145833,2009,3,5,A
