;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 14:58:37 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14150000 MIDDLE FORK WILLAMETTE RIVER NEAR DEXTER, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14150000
;#            TS   parameter     Description
;#        116881       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14150000_temp_MIDDLE FORK WILLAMETTE RIVER NEAR DEXTER, OR_23751830 
day_index,temp_C,Year,Month,Day,Quality
39354,17.216304,2007,10,1,A
39355,16.842222,2007,10,2,A
39356,16.551042,2007,10,3,A
39357,16.365625,2007,10,4,A
39358,16.159375,2007,10,5,A
39359,15.908333,2007,10,6,A
39360,16.016667,2007,10,7,A
39361,15.922917,2007,10,8,A
39362,15.832292,2007,10,9,A
39363,15.809375,2007,10,10,A
39364,15.498958,2007,10,11,A
39365,15.517708,2007,10,12,A
39366,15.291667,2007,10,13,A
39367,15.407292,2007,10,14,A
39368,15.281250,2007,10,15,A
39369,15.084375,2007,10,16,A
39370,14.793750,2007,10,17,A
39371,14.698958,2007,10,18,A
39372,14.709375,2007,10,19,A
39373,14.407292,2007,10,20,A
39374,14.269792,2007,10,21,A
39375,14.120833,2007,10,22,A
39376,14.033333,2007,10,23,A
39377,14.006250,2007,10,24,A
39378,13.690625,2007,10,25,A
39379,13.472917,2007,10,26,A
39380,13.135417,2007,10,27,A
39381,13.153125,2007,10,28,A
39382,12.960417,2007,10,29,A
39383,13.050000,2007,10,30,A
39384,12.966667,2007,10,31,A
39385,12.796875,2007,11,1,A
39386,12.723958,2007,11,2,A
39387,12.462500,2007,11,3,A
39388,12.301000,2007,11,4,A
39389,12.222917,2007,11,5,A
39390,12.198958,2007,11,6,A
39391,11.962500,2007,11,7,A
39392,11.940625,2007,11,8,A
39393,12.007292,2007,11,9,A
39394,12.042708,2007,11,10,A
39395,11.901042,2007,11,11,A
39396,11.730208,2007,11,12,A
39397,11.595833,2007,11,13,A
39398,11.365625,2007,11,14,A
39399,11.407292,2007,11,15,A
39400,11.427083,2007,11,16,A
39401,11.476042,2007,11,17,A
39402,11.329167,2007,11,18,A
39403,10.963542,2007,11,19,A
39404,10.652083,2007,11,20,A
39405,10.360417,2007,11,21,A
39406,9.979167,2007,11,22,A
39407,9.598958,2007,11,23,A
39408,9.291667,2007,11,24,A
39409,9.102083,2007,11,25,A
39410,8.794792,2007,11,26,A
39411,8.777083,2007,11,27,A
39412,8.628125,2007,11,28,A
39413,8.493750,2007,11,29,A
39414,8.332292,2007,11,30,A
39415,8.189583,2007,12,1,A
39416,8.046875,2007,12,2,A
39417,8.400000,2007,12,3,A
39418,8.590625,2007,12,4,A
39419,8.587500,2007,12,5,A
39420,8.453125,2007,12,6,A
39421,8.222917,2007,12,7,A
39422,8.026042,2007,12,8,A
39423,7.796875,2007,12,9,A
39424,7.597917,2007,12,10,A
39425,7.383333,2007,12,11,A
39426,7.255208,2007,12,12,A
39427,7.111458,2007,12,13,A
39428,7.113542,2007,12,14,A
39429,7.050000,2007,12,15,A
39430,6.938542,2007,12,16,A
39431,6.932292,2007,12,17,A
39432,6.873958,2007,12,18,A
39433,6.905208,2007,12,19,A
39434,6.900000,2007,12,20,A
39435,6.769792,2007,12,21,A
39436,6.604167,2007,12,22,A
39437,6.622917,2007,12,23,A
39438,6.629167,2007,12,24,A
39439,6.385417,2007,12,25,A
39440,6.209375,2007,12,26,A
39441,6.030208,2007,12,27,A
39442,6.007292,2007,12,28,A
39443,5.997917,2007,12,29,A
39444,5.946875,2007,12,30,A
39445,5.712500,2007,12,31,A
39446,5.466667,2008,1,1,A
39447,5.471875,2008,1,2,A
39448,5.543750,2008,1,3,A
39449,5.639583,2008,1,4,A
39450,5.539583,2008,1,5,A
39451,5.354167,2008,1,6,A
39452,5.254167,2008,1,7,A
39453,5.261458,2008,1,8,A
39454,5.234375,2008,1,9,A
39455,5.307292,2008,1,10,A
39456,5.434375,2008,1,11,A
39457,5.459375,2008,1,12,A
39458,5.389583,2008,1,13,A
39459,5.345833,2008,1,14,A
39460,5.396875,2008,1,15,A
