;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 14:59:00 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14150800 WINBERRY CREEK NEAR LOWELL,OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14150800
;#            TS   parameter     Description
;#        116896       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14150800_temp_WINBERRY CREEK NEAR LOWELL,OR_23752606 
day_index,temp_C,Year,Month,Day,Quality
39763,9.887500,2008,11,13,A
39764,7.943750,2008,11,14,A
39765,7.587500,2008,11,15,A
39766,7.708333,2008,11,16,A
39767,8.143750,2008,11,17,A
39768,8.329167,2008,11,18,A
39769,8.804167,2008,11,19,A
39770,8.200000,2008,11,20,A
39771,6.679167,2008,11,21,A
39772,7.143750,2008,11,22,A
39773,5.212500,2008,11,23,A
39774,4.779167,2008,11,24,A
39775,5.812500,2008,11,25,A
39776,6.993750,2008,11,26,A
39777,6.287500,2008,11,27,A
39778,7.189583,2008,11,28,A
39779,7.693750,2008,11,29,A
39780,6.795833,2008,11,30,A
39781,5.727083,2008,12,1,A
39782,7.595833,2008,12,2,A
39783,6.345833,2008,12,3,A
39784,5.810417,2008,12,4,A
39785,3.631250,2008,12,5,A
39786,3.135417,2008,12,6,A
39787,3.652083,2008,12,7,A
39788,5.466667,2008,12,8,A
39789,3.906250,2008,12,9,A
39790,3.666667,2008,12,10,A
39791,4.358333,2008,12,11,A
39792,4.916667,2008,12,12,A
39793,3.641667,2008,12,13,A
39794,3.397917,2008,12,14,A
39795,2.995833,2008,12,15,A
39796,0.783333,2008,12,16,A
39797,0.487500,2008,12,17,A
39798,1.462500,2008,12,18,A
39799,1.662500,2008,12,19,A
39800,1.843750,2008,12,20,A
39801,2.970833,2008,12,21,A
39802,4.239583,2008,12,22,A
39803,4.433333,2008,12,23,A
39804,4.368750,2008,12,24,A
39805,4.458333,2008,12,25,A
39806,4.614583,2008,12,26,A
39807,4.831250,2008,12,27,A
39808,5.816667,2008,12,28,A
39809,6.389583,2008,12,29,A
39810,6.158333,2008,12,30,A
39811,6.214583,2008,12,31,A
39812,6.320833,2009,1,1,A
39813,6.247917,2009,1,2,A
39814,5.258333,2009,1,3,A
39815,4.525000,2009,1,4,A
39816,5.462500,2009,1,5,A
39817,6.339583,2009,1,6,A
39818,6.816667,2009,1,7,A
39819,6.745833,2009,1,8,A
39820,5.733333,2009,1,9,A
39821,5.537500,2009,1,10,A
39822,6.127083,2009,1,11,A
39823,5.868750,2009,1,12,A
39824,5.237500,2009,1,13,A
39825,4.966667,2009,1,14,A
39826,4.781250,2009,1,15,A
39827,4.727083,2009,1,16,A
39828,4.497917,2009,1,17,A
39829,4.579167,2009,1,18,A
39830,4.314583,2009,1,19,A
39831,4.143750,2009,1,20,A
39832,4.193750,2009,1,21,A
39833,5.383333,2009,1,22,A
39834,5.543750,2009,1,23,A
39835,5.387500,2009,1,24,A
39836,4.566667,2009,1,25,A
39837,3.485417,2009,1,26,A
39838,2.468750,2009,1,27,A
39839,3.616667,2009,1,28,A
39840,3.200000,2009,1,29,A
39841,3.185417,2009,1,30,A
39842,4.193750,2009,1,31,A
39843,3.335417,2009,2,1,A
39844,3.325000,2009,2,2,A
39845,3.900000,2009,2,3,A
39846,4.431250,2009,2,4,A
39847,5.235417,2009,2,5,A
39848,6.256250,2009,2,6,A
39849,6.450000,2009,2,7,A
39850,4.718750,2009,2,8,A
39851,4.364583,2009,2,9,A
39852,3.222917,2009,2,10,A
39853,3.664583,2009,2,11,A
39854,3.733333,2009,2,12,A
39855,3.810417,2009,2,13,A
39856,3.268750,2009,2,14,A
39857,4.039583,2009,2,15,A
39858,4.658333,2009,2,16,A
39859,5.462500,2009,2,17,A
39860,4.279167,2009,2,18,A
