;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 14:59:23 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14151000 FALL CREEK BLW WINBERRY CREEK, NEAR FALL CREEK, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14151000
;#            TS   parameter     Description
;#        116904       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14151000_temp_FALL CREEK BLW WINBERRY CREEK, NEAR FALL CREEK, OR_23752598 
day_index,temp_C,Year,Month,Day,Quality
39354,15.264130,2007,10,1,A
39355,15.339583,2007,10,2,A
39356,15.564583,2007,10,3,A
39357,15.475000,2007,10,4,A
39358,15.396875,2007,10,5,A
39359,15.452083,2007,10,6,A
39360,15.495833,2007,10,7,A
39361,15.476042,2007,10,8,A
39362,15.490625,2007,10,9,A
39363,15.483333,2007,10,10,A
39364,15.434375,2007,10,11,A
39365,15.346875,2007,10,12,A
39366,15.300000,2007,10,13,A
39367,15.290625,2007,10,14,A
39368,15.253125,2007,10,15,A
39369,15.200000,2007,10,16,A
39370,15.043750,2007,10,17,A
39371,14.728125,2007,10,18,A
39372,14.186458,2007,10,19,A
39373,13.042708,2007,10,20,A
39374,12.208333,2007,10,21,A
39375,11.890625,2007,10,22,A
39376,11.831250,2007,10,23,A
39377,11.820833,2007,10,24,A
39378,11.802083,2007,10,25,A
39379,11.741667,2007,10,26,A
39380,11.806250,2007,10,27,A
39381,11.835417,2007,10,28,A
39382,11.765625,2007,10,29,A
39383,11.723958,2007,10,30,A
39384,11.646875,2007,10,31,A
39385,11.643750,2007,11,1,A
39386,11.783333,2007,11,2,A
39387,12.079167,2007,11,3,A
39388,12.100000,2007,11,4,A
39389,12.051042,2007,11,5,A
39390,12.010417,2007,11,6,A
39391,11.964583,2007,11,7,A
39392,11.900000,2007,11,8,A
