;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 14:59:54 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14152000 MIDDLE FORK WILLAMETTE RIVER AT JASPER, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14152000
;#            TS   parameter     Description
;#        116909       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14152000_temp_MIDDLE FORK WILLAMETTE RIVER AT JASPER, OR_23751778 
day_index,temp_C,Year,Month,Day,Quality
39354,15.973333,2007,10,1,A
39355,16.110870,2007,10,2,A
39356,16.048000,2007,10,3,A
39357,15.554167,2007,10,4,A
39358,15.370833,2007,10,5,A
39359,15.266667,2007,10,6,A
39360,15.927083,2007,10,7,A
39361,15.791667,2007,10,8,A
39362,15.429167,2007,10,9,A
39363,15.502083,2007,10,10,A
39364,14.902083,2007,10,11,A
39365,15.155102,2007,10,12,A
39366,14.845833,2007,10,13,A
39367,15.064583,2007,10,14,A
39368,14.900000,2007,10,15,A
39369,14.568750,2007,10,16,A
39370,14.033333,2007,10,17,A
39371,14.181250,2007,10,18,A
39372,13.581250,2007,10,19,A
39373,12.814583,2007,10,20,A
39374,12.920833,2007,10,21,A
39375,13.018750,2007,10,22,A
39376,13.208333,2007,10,23,A
39377,12.964583,2007,10,24,A
39378,12.572917,2007,10,25,A
39379,12.162500,2007,10,26,A
39380,11.966667,2007,10,27,A
39381,12.179167,2007,10,28,A
39382,12.050000,2007,10,29,A
39383,12.395833,2007,10,30,A
39384,12.366667,2007,10,31,A
39385,12.058333,2007,11,1,A
39386,11.933333,2007,11,2,A
39387,11.675000,2007,11,3,A
39388,11.693750,2007,11,4,A
39389,11.702083,2007,11,5,A
39390,11.706250,2007,11,6,A
39391,11.508333,2007,11,7,A
39392,11.577083,2007,11,8,A
39393,11.785417,2007,11,9,A
39394,11.856250,2007,11,10,A
39395,11.547917,2007,11,11,A
39396,11.422917,2007,11,12,A
39397,11.052083,2007,11,13,A
39398,10.562500,2007,11,14,A
39399,10.947917,2007,11,15,A
39400,10.964583,2007,11,16,A
39401,10.860417,2007,11,17,A
39402,10.383333,2007,11,18,A
39403,9.689583,2007,11,19,A
39404,9.470833,2007,11,20,A
39405,9.070833,2007,11,21,A
39406,8.812500,2007,11,22,A
39407,8.647917,2007,11,23,A
39408,8.572917,2007,11,24,A
39409,8.468750,2007,11,25,A
39410,8.297917,2007,11,26,A
39411,8.345833,2007,11,27,A
39412,8.066667,2007,11,28,A
39413,7.954167,2007,11,29,A
39414,7.585417,2007,11,30,A
39415,7.616667,2007,12,1,A
39416,7.681250,2007,12,2,A
39417,8.468750,2007,12,3,A
39418,8.727083,2007,12,4,A
39419,8.675000,2007,12,5,A
39420,8.504167,2007,12,6,A
39421,8.122917,2007,12,7,A
39422,7.770833,2007,12,8,A
39423,7.304167,2007,12,9,A
39424,7.108333,2007,12,10,A
39425,6.743750,2007,12,11,A
39426,6.743750,2007,12,12,A
39427,6.487500,2007,12,13,A
39428,6.608333,2007,12,14,A
39429,6.552083,2007,12,15,A
39430,6.350000,2007,12,16,A
39431,6.433333,2007,12,17,A
39432,6.743750,2007,12,18,A
39433,6.752083,2007,12,19,A
39434,6.570833,2007,12,20,A
39435,6.368750,2007,12,21,A
39436,6.277083,2007,12,22,A
39437,6.739583,2007,12,23,A
39438,7.093750,2007,12,24,A
39439,6.487500,2007,12,25,A
39440,6.318750,2007,12,26,A
39441,6.050000,2007,12,27,A
39442,6.095833,2007,12,28,A
39443,6.212500,2007,12,29,A
39444,6.106250,2007,12,30,A
39445,5.681250,2007,12,31,A
39446,5.512500,2008,1,1,A
39447,5.647917,2008,1,2,A
39448,5.906250,2008,1,3,A
39449,6.168750,2008,1,4,A
39450,5.902083,2008,1,5,A
39451,5.531250,2008,1,6,A
39452,5.472917,2008,1,7,A
39453,5.693750,2008,1,8,A
39454,5.897917,2008,1,9,A
39455,6.445833,2008,1,10,A
39456,6.808333,2008,1,11,A
39457,6.945833,2008,1,12,A
39458,6.556250,2008,1,13,A
39459,6.329167,2008,1,14,A
39460,5.925000,2008,1,15,A
39461,5.533333,2008,1,16,A
39462,5.325000,2008,1,17,A
39463,5.281250,2008,1,18,A
39464,5.406250,2008,1,19,A
39465,5.539583,2008,1,20,A
