;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:00:15 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14153500 COAST FORK WILLAMETTE R BLW COTTAGE GROVE DAM, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14153500
;#            TS   parameter     Description
;#        116925       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14153500_temp_COAST FORK WILLAMETTE R BLW COTTAGE GROVE DAM, OR_23759308 
day_index,temp_C,Year,Month,Day,Quality
39354,16.843478,2007,10,1,A
39355,16.625000,2007,10,2,A
39356,16.351042,2007,10,3,A
39357,16.068750,2007,10,4,A
39358,15.681250,2007,10,5,A
39359,15.225000,2007,10,6,A
39360,15.182292,2007,10,7,A
39361,15.046875,2007,10,8,A
39362,14.994792,2007,10,9,A
39363,15.056250,2007,10,10,A
39364,14.894792,2007,10,11,A
39365,14.768750,2007,10,12,A
39366,14.559375,2007,10,13,A
39367,14.588542,2007,10,14,A
39368,14.735417,2007,10,15,A
39369,14.611458,2007,10,16,A
39370,14.295833,2007,10,17,A
39371,14.025000,2007,10,18,A
39372,13.939583,2007,10,19,A
39373,13.409375,2007,10,20,A
39374,12.537500,2007,10,21,A
39375,12.178125,2007,10,22,A
39376,12.264583,2007,10,23,A
39377,12.285417,2007,10,24,A
39378,12.089583,2007,10,25,A
39379,12.047917,2007,10,26,A
39380,11.744792,2007,10,27,A
39381,11.512500,2007,10,28,A
39382,11.419792,2007,10,29,A
39383,11.357292,2007,10,30,A
39384,11.365625,2007,10,31,A
39385,11.262500,2007,11,1,A
39386,11.117708,2007,11,2,A
39387,10.918750,2007,11,3,A
39388,10.819000,2007,11,4,A
39389,10.833333,2007,11,5,A
39390,10.743750,2007,11,6,A
39391,10.620833,2007,11,7,A
39392,10.572917,2007,11,8,A
39393,10.812500,2007,11,9,A
39394,11.063542,2007,11,10,A
39395,11.067708,2007,11,11,A
39396,10.840625,2007,11,12,A
39397,10.569792,2007,11,13,A
39398,10.154167,2007,11,14,A
39399,9.955208,2007,11,15,A
39400,10.030208,2007,11,16,A
39401,10.402083,2007,11,17,A
39402,10.437500,2007,11,18,A
39403,9.992708,2007,11,19,A
39404,9.179167,2007,11,20,A
39405,8.766667,2007,11,21,A
39406,8.243750,2007,11,22,A
39407,7.828125,2007,11,23,A
39408,7.296875,2007,11,24,A
39409,6.792708,2007,11,25,A
39410,6.702083,2007,11,26,A
39411,6.657292,2007,11,27,A
39412,6.425000,2007,11,28,A
39413,6.409375,2007,11,29,A
39414,6.220833,2007,11,30,A
39415,6.087500,2007,12,1,A
39416,5.863542,2007,12,2,A
39417,7.170833,2007,12,3,A
39418,8.113542,2007,12,4,A
39419,8.580208,2007,12,5,A
39420,8.647917,2007,12,6,A
39421,8.538542,2007,12,7,A
39422,8.262500,2007,12,8,A
39423,7.850000,2007,12,9,A
39424,7.362500,2007,12,10,A
39425,7.015625,2007,12,11,A
39426,6.601042,2007,12,12,A
39427,6.242708,2007,12,13,A
39428,6.205208,2007,12,14,A
39429,6.207292,2007,12,15,A
39430,6.046875,2007,12,16,A
39431,6.018750,2007,12,17,A
39432,6.166667,2007,12,18,A
39433,6.431250,2007,12,19,A
39434,6.517708,2007,12,20,A
39435,6.529167,2007,12,21,A
39436,6.492708,2007,12,22,A
39437,6.791667,2007,12,23,A
39438,7.460417,2007,12,24,A
39439,7.119792,2007,12,25,A
39440,6.485417,2007,12,26,A
39441,6.000000,2007,12,27,A
39442,5.980208,2007,12,28,A
39443,6.256250,2007,12,29,A
39444,6.484375,2007,12,30,A
39445,6.376042,2007,12,31,A
39446,6.005263,2008,1,1,A
39447,5.822917,2008,1,2,A
39448,6.162500,2008,1,3,A
39449,6.929167,2008,1,4,A
39450,6.598958,2008,1,5,A
39451,6.343750,2008,1,6,A
39452,6.163542,2008,1,7,A
39453,6.145833,2008,1,8,A
39454,6.553125,2008,1,9,A
39455,7.208333,2008,1,10,A
39456,7.688542,2008,1,11,A
39457,7.977083,2008,1,12,A
39458,7.906250,2008,1,13,A
39459,7.421875,2008,1,14,A
39460,6.829167,2008,1,15,A
39461,6.217708,2008,1,16,A
39462,5.723958,2008,1,17,A
39463,5.307292,2008,1,18,A
39464,5.179167,2008,1,19,A
39465,5.303125,2008,1,20,A
39466,5.203125,2008,1,21,A
39467,4.929167,2008,1,22,A
39468,3.967708,2008,1,23,A
39469,3.300000,2008,1,24,A
39470,3.776042,2008,1,25,A
39471,3.323958,2008,1,26,A
39472,3.546875,2008,1,27,A
39473,3.923958,2008,1,28,A
39474,3.968750,2008,1,29,A
39475,4.126042,2008,1,30,A
39476,4.608333,2008,1,31,A
39477,5.241667,2008,2,1,A
39478,5.421875,2008,2,2,A
39479,5.654167,2008,2,3,A
39480,6.044792,2008,2,4,A
39481,6.077083,2008,2,5,A
39482,6.035417,2008,2,6,A
39483,6.344792,2008,2,7,A
39484,6.544792,2008,2,8,A
39485,6.636458,2008,2,9,A
39486,7.109375,2008,2,10,A
39487,7.078125,2008,2,11,A
39488,7.682292,2008,2,12,A
39489,7.482292,2008,2,13,A
39490,7.162500,2008,2,14,A
39491,6.956250,2008,2,15,A
39492,6.940625,2008,2,16,A
39493,6.943750,2008,2,17,A
39494,6.952083,2008,2,18,A
39495,7.113542,2008,2,19,A
39496,7.104167,2008,2,20,A
39497,7.247917,2008,2,21,A
39498,7.503125,2008,2,22,A
39499,7.419792,2008,2,23,A
39500,7.201042,2008,2,24,A
39501,7.410417,2008,2,25,A
39502,7.577083,2008,2,26,A
39503,7.669792,2008,2,27,A
39504,7.537500,2008,2,28,A
39505,7.884375,2008,2,29,A
39506,8.021875,2008,3,1,A
39507,7.873958,2008,3,2,A
39508,8.218750,2008,3,3,A
39509,7.927083,2008,3,4,A
39510,7.711458,2008,3,5,A
39511,7.735417,2008,3,6,A
39512,7.370833,2008,3,7,A
39513,7.735417,2008,3,8,A
39514,7.573913,2008,3,9,A
39515,7.503125,2008,3,10,A
39516,7.550000,2008,3,11,A
39517,7.596875,2008,3,12,A
39518,8.112500,2008,3,13,A
39519,8.973958,2008,3,14,A
39520,9.048958,2008,3,15,A
39521,8.519792,2008,3,16,A
39522,8.191667,2008,3,17,A
39523,8.438542,2008,3,18,A
39524,8.537500,2008,3,19,A
39525,8.698958,2008,3,20,A
39526,8.211458,2008,3,21,A
39527,7.991667,2008,3,22,A
39528,8.362500,2008,3,23,A
39529,8.404167,2008,3,24,A
39530,8.728125,2008,3,25,A
39531,8.776042,2008,3,26,A
39532,8.550000,2008,3,27,A
39533,8.447917,2008,3,28,A
39534,8.305208,2008,3,29,A
39535,7.805208,2008,3,30,A
39536,7.726042,2008,3,31,A
39537,7.690625,2008,4,1,A
39538,7.661458,2008,4,2,A
39539,7.789583,2008,4,3,A
39540,8.067708,2008,4,4,A
39541,8.618750,2008,4,5,A
39542,8.797917,2008,4,6,A
39543,8.854167,2008,4,7,A
39544,8.757292,2008,4,8,A
39545,8.772917,2008,4,9,A
39546,8.797917,2008,4,10,A
39547,8.961458,2008,4,11,A
39548,9.090625,2008,4,12,A
39549,9.026042,2008,4,13,A
39550,8.671875,2008,4,14,A
39551,8.840625,2008,4,15,A
39552,9.092708,2008,4,16,A
39553,9.115625,2008,4,17,A
39554,8.925000,2008,4,18,A
39555,8.842708,2008,4,19,A
39556,8.902083,2008,4,20,A
39557,9.104167,2008,4,21,A
39558,9.119792,2008,4,22,A
39559,9.718750,2008,4,23,A
39560,10.327083,2008,4,24,A
39561,9.950000,2008,4,25,A
39562,9.600000,2008,4,26,A
39563,9.566667,2008,4,27,A
39564,9.629167,2008,4,28,A
39565,9.494792,2008,4,29,A
39566,9.556250,2008,4,30,A
39567,9.728125,2008,5,1,A
39568,9.639583,2008,5,2,A
39569,9.669792,2008,5,3,A
39570,9.727083,2008,5,4,A
39571,9.854167,2008,5,5,A
