;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:00:39 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14154500 ROW RIVER ABOVE PITCHER CREEK, NEAR DORENA, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14154500
;#            TS   parameter     Description
;#        116931       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14154500_temp_ROW RIVER ABOVE PITCHER CREEK, NEAR DORENA, OR_23759452 
day_index,temp_C,Year,Month,Day,Quality
40030,18.678125,2009,8,7,A
40031,18.721875,2009,8,8,A
40032,19.853125,2009,8,9,A
40033,20.694792,2009,8,10,A
40034,21.308333,2009,8,11,A
40035,21.896875,2009,8,12,A
40036,20.933333,2009,8,13,A
40037,19.426042,2009,8,14,A
40038,18.675000,2009,8,15,A
40039,18.532292,2009,8,16,A
40040,18.940625,2009,8,17,A
40041,20.152083,2009,8,18,A
40042,21.238542,2009,8,19,A
40043,21.631250,2009,8,20,A
40044,20.889583,2009,8,21,A
40045,20.106250,2009,8,22,A
40046,19.467708,2009,8,23,A
40047,18.828125,2009,8,24,A
40048,18.741667,2009,8,25,A
40049,19.180208,2009,8,26,A
40050,19.889583,2009,8,27,A
40051,19.121875,2009,8,28,A
40052,19.059375,2009,8,29,A
40053,19.322917,2009,8,30,A
40054,19.797917,2009,8,31,A
40055,20.033333,2009,9,1,A
40056,19.936458,2009,9,2,A
40057,20.101042,2009,9,3,A
40058,19.162500,2009,9,4,A
40059,18.320833,2009,9,5,A
40060,17.038542,2009,9,6,A
40061,16.472917,2009,9,7,A
40062,16.340625,2009,9,8,A
40063,16.618750,2009,9,9,A
40064,17.485417,2009,9,10,A
40065,18.520833,2009,9,11,A
40066,19.495833,2009,9,12,A
40067,19.903125,2009,9,13,A
40068,19.132292,2009,9,14,A
40069,19.058333,2009,9,15,A
40070,18.713542,2009,9,16,A
40071,18.847917,2009,9,17,A
40072,18.160417,2009,9,18,A
40073,17.607292,2009,9,19,A
40074,17.129167,2009,9,20,A
40075,16.372917,2009,9,21,A
40076,15.965625,2009,9,22,A
40077,15.859375,2009,9,23,A
40078,16.182292,2009,9,24,A
40079,15.634375,2009,9,25,A
40080,15.589583,2009,9,26,A
40081,15.275000,2009,9,27,A
40082,14.743750,2009,9,28,A
