;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:01:53 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14155500 ROW RIVER NEAR COTTAGE GROVE, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14155500
;#            TS   parameter     Description
;#        116938       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14155500_temp_ROW RIVER NEAR COTTAGE GROVE, OR_23759440 
day_index,temp_C,Year,Month,Day,Quality
39354,17.428261,2007,10,1,A
39355,16.890625,2007,10,2,A
39356,16.283333,2007,10,3,A
39357,16.006250,2007,10,4,A
39358,15.683333,2007,10,5,A
39359,15.273958,2007,10,6,A
39360,15.034375,2007,10,7,A
39361,14.902083,2007,10,8,A
39362,14.923958,2007,10,9,A
39363,15.156250,2007,10,10,A
39364,15.059375,2007,10,11,A
39365,15.133333,2007,10,12,A
39366,14.946875,2007,10,13,A
39367,14.941667,2007,10,14,A
39368,14.796875,2007,10,15,A
39369,14.713542,2007,10,16,A
39370,14.601042,2007,10,17,A
39371,14.496875,2007,10,18,A
39372,13.818750,2007,10,19,A
39373,12.693750,2007,10,20,A
39374,12.016667,2007,10,21,A
39375,11.646875,2007,10,22,A
39376,11.501042,2007,10,23,A
39377,11.610417,2007,10,24,A
39378,11.975000,2007,10,25,A
39379,12.116667,2007,10,26,A
39380,11.794792,2007,10,27,A
39381,11.600000,2007,10,28,A
39382,11.382292,2007,10,29,A
39383,11.294792,2007,10,30,A
39384,11.279167,2007,10,31,A
39385,11.094792,2007,11,1,A
39386,10.978125,2007,11,2,A
39387,10.808333,2007,11,3,A
39388,10.718000,2007,11,4,A
39389,10.633333,2007,11,5,A
39390,10.494792,2007,11,6,A
39391,10.303125,2007,11,7,A
39392,10.265625,2007,11,8,A
39393,10.375000,2007,11,9,A
39394,10.546875,2007,11,10,A
39395,10.164583,2007,11,11,A
39396,10.268750,2007,11,12,A
39397,10.007292,2007,11,13,A
39398,9.736458,2007,11,14,A
39399,9.187500,2007,11,15,A
39400,9.467708,2007,11,16,A
39401,9.680208,2007,11,17,A
39402,9.865625,2007,11,18,A
39403,9.011458,2007,11,19,A
39404,8.601042,2007,11,20,A
39405,8.116667,2007,11,21,A
39406,7.598958,2007,11,22,A
39407,6.946875,2007,11,23,A
39408,6.307292,2007,11,24,A
39409,5.706250,2007,11,25,A
39410,5.663542,2007,11,26,A
