;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:03:24 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14158740 MCKENZIE RIVER BL PAYNE CR, NR BELKNAP SPRINGS, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14158740
;#            TS   parameter     Description
;#        164257       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14158740_temp_MCKENZIE RIVER BL PAYNE CR, NR BELKNAP SPRINGS, OR_ 
day_index,temp_C,Year,Month,Day,Quality
42612,5.531707,2016,9,1,A
42613,5.405208,2016,9,2,A
42614,5.421875,2016,9,3,A
42615,5.255208,2016,9,4,A
42616,5.344792,2016,9,5,A
42617,5.251042,2016,9,6,A
42618,5.460417,2016,9,7,A
42619,5.432292,2016,9,8,A
42620,5.395833,2016,9,9,A
42621,5.418750,2016,9,10,A
42622,5.430208,2016,9,11,A
42623,5.350000,2016,9,12,A
42624,5.355208,2016,9,13,A
42625,5.292708,2016,9,14,A
42626,5.351042,2016,9,15,A
42627,5.368750,2016,9,16,A
42628,5.343750,2016,9,17,A
42629,5.423958,2016,9,18,A
42630,5.391667,2016,9,19,A
42631,5.376042,2016,9,20,A
42632,5.203125,2016,9,21,A
42633,5.202083,2016,9,22,A
42634,5.195833,2016,9,23,A
42635,5.386458,2016,9,24,A
42636,5.358333,2016,9,25,A
42637,5.437500,2016,9,26,A
42638,5.412500,2016,9,27,A
42639,5.409375,2016,9,28,A
42640,5.362500,2016,9,29,A
42641,5.325000,2016,9,30,A
42642,5.159375,2016,10,1,A
42643,5.131250,2016,10,2,A
42644,5.165625,2016,10,3,A
42645,5.192708,2016,10,4,A
42646,5.203125,2016,10,5,A
