;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:05:28 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14161500 LOOKOUT CREEK NEAR BLUE RIVER, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14161500
;#            TS   parameter     Description
;#        116980       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14161500_temp_LOOKOUT CREEK NEAR BLUE RIVER, OR_23773411 
day_index,temp_C,Year,Month,Day,Quality
41002,4.506250,2012,4,5,A
41003,4.625000,2012,4,6,A
41004,4.745833,2012,4,7,A
41005,5.336957,2012,4,8,A
41006,5.554737,2012,4,9,A
41007,5.531250,2012,4,10,A
41008,5.552083,2012,4,11,A
41009,5.173958,2012,4,12,A
41010,5.190526,2012,4,13,A
41011,5.848958,2012,4,14,A
41012,5.965625,2012,4,15,A
41013,5.704082,2012,4,16,A
41014,5.256566,2012,4,17,A
41015,5.642268,2012,4,18,A
41016,5.600000,2012,4,19,A
41017,5.931250,2012,4,20,A
41018,6.150000,2012,4,21,A
41019,6.411224,2012,4,22,A
41020,6.563918,2012,4,23,A
41021,6.248958,2012,4,24,A
41022,6.324211,2012,4,25,A
41023,5.912500,2012,4,26,A
41024,5.645833,2012,4,27,A
41025,6.261702,2012,4,28,A
41026,6.951042,2012,4,29,A
41027,6.750000,2012,4,30,A
41028,5.820430,2012,5,1,A
41029,5.846875,2012,5,2,A
41030,6.130588,2012,5,3,A
41031,5.917857,2012,5,4,A
41032,5.800000,2012,5,5,A
41033,6.297468,2012,5,6,A
41034,7.229630,2012,5,7,A
41035,7.796875,2012,5,8,A
41036,7.423958,2012,5,9,A
41037,6.528125,2012,5,10,A
41038,6.926042,2012,5,11,A
41039,7.834375,2012,5,12,A
41040,8.653608,2012,5,13,A
41041,9.063918,2012,5,14,A
41042,9.163542,2012,5,15,A
41043,9.177011,2012,5,16,A
41044,8.721795,2012,5,17,A
41045,7.990000,2012,5,18,A
41046,7.672917,2012,5,19,A
41047,8.690722,2012,5,20,A
41048,8.572917,2012,5,21,A
41049,8.040625,2012,5,22,A
41050,7.672632,2012,5,23,A
41051,7.044681,2012,5,24,A
41052,7.128125,2012,5,25,A
41053,7.913542,2012,5,26,A
41054,8.546875,2012,5,27,A
41055,8.757292,2012,5,28,A
41056,8.868750,2012,5,29,A
41057,9.338542,2012,5,30,A
41058,10.032292,2012,5,31,A
41059,10.640625,2012,6,1,A
41060,10.714583,2012,6,2,A
41061,9.827083,2012,6,3,A
41062,9.261458,2012,6,4,A
41063,8.335417,2012,6,5,A
41064,8.555208,2012,6,6,A
41065,8.366667,2012,6,7,A
41066,7.883333,2012,6,8,A
41067,7.368750,2012,6,9,A
41068,8.068750,2012,6,10,A
41069,8.719792,2012,6,11,A
41070,8.933333,2012,6,12,A
41071,9.641667,2012,6,13,A
41072,9.778125,2012,6,14,A
41073,10.085714,2012,6,15,A
41074,11.005208,2012,6,16,A
41075,11.828125,2012,6,17,A
41076,10.605208,2012,6,18,A
41077,9.598958,2012,6,19,A
41078,10.146875,2012,6,20,A
41079,11.204167,2012,6,21,A
41080,10.706250,2012,6,22,A
41081,10.392708,2012,6,23,A
41082,10.068750,2012,6,24,A
41083,9.483333,2012,6,25,A
41084,9.506250,2012,6,26,A
41085,9.853125,2012,6,27,A
41086,10.403125,2012,6,28,A
41087,10.738542,2012,6,29,A
41088,10.840625,2012,6,30,A
41089,11.639583,2012,7,1,A
41090,12.221875,2012,7,2,A
41091,11.748958,2012,7,3,A
41092,11.495833,2012,7,4,A
41093,11.976042,2012,7,5,A
41094,12.656250,2012,7,6,A
41095,13.348958,2012,7,7,A
41096,14.044792,2012,7,8,A
41097,14.548958,2012,7,9,A
41098,14.523958,2012,7,10,A
41099,14.732292,2012,7,11,A
41100,14.914583,2012,7,12,A
41101,14.858333,2012,7,13,A
41102,14.617708,2012,7,14,A
41103,14.720833,2012,7,15,A
41104,13.553125,2012,7,16,A
41105,13.620833,2012,7,17,A
41106,13.646875,2012,7,18,A
41107,14.167708,2012,7,19,A
41108,14.471875,2012,7,20,A
41109,14.566667,2012,7,21,A
41110,14.513542,2012,7,22,A
41111,13.927083,2012,7,23,A
41112,14.189583,2012,7,24,A
41113,14.779167,2012,7,25,A
41114,15.256250,2012,7,26,A
41115,15.339583,2012,7,27,A
41116,14.825000,2012,7,28,A
41117,14.865625,2012,7,29,A
41118,15.050000,2012,7,30,A
41119,15.053125,2012,7,31,A
41120,14.890625,2012,8,1,A
41121,14.840625,2012,8,2,A
41122,14.966667,2012,8,3,A
41123,15.475000,2012,8,4,A
41124,15.857292,2012,8,5,A
41125,16.113542,2012,8,6,A
41126,16.339583,2012,8,7,A
41127,16.210417,2012,8,8,A
41128,15.696875,2012,8,9,A
41129,15.711458,2012,8,10,A
41130,15.697917,2012,8,11,A
41131,16.100000,2012,8,12,A
41132,16.569792,2012,8,13,A
41133,16.530208,2012,8,14,A
41134,16.773958,2012,8,15,A
41135,16.843750,2012,8,16,A
41136,16.916667,2012,8,17,A
41137,16.995833,2012,8,18,A
41138,16.579167,2012,8,19,A
41139,15.729167,2012,8,20,A
41140,16.167708,2012,8,21,A
41141,15.683333,2012,8,22,A
41142,15.146316,2012,8,23,A
41143,14.462500,2012,8,24,A
41144,14.498958,2012,8,25,A
41145,14.691667,2012,8,26,A
41146,14.689583,2012,8,27,A
41147,14.936458,2012,8,28,A
41148,14.454167,2012,8,29,A
41149,14.062500,2012,8,30,A
41150,14.147917,2012,8,31,A
41151,13.698958,2012,9,1,A
41152,13.281250,2012,9,2,A
41153,13.490625,2012,9,3,A
41154,13.760417,2012,9,4,A
41155,14.115625,2012,9,5,A
41156,14.203125,2012,9,6,A
41157,14.266667,2012,9,7,A
41158,14.187500,2012,9,8,A
41159,14.158333,2012,9,9,A
41160,13.677083,2012,9,10,A
41161,12.463542,2012,9,11,A
41162,12.347917,2012,9,12,A
41163,12.476042,2012,9,13,A
41164,13.187500,2012,9,14,A
41165,13.528125,2012,9,15,A
41166,13.076042,2012,9,16,A
41167,12.931250,2012,9,17,A
41168,13.072917,2012,9,18,A
41169,13.378125,2012,9,19,A
41170,13.306250,2012,9,20,A
41171,13.489583,2012,9,21,A
41172,13.462500,2012,9,22,A
41173,13.123958,2012,9,23,A
41174,12.469792,2012,9,24,A
41175,12.557292,2012,9,25,A
41176,12.147917,2012,9,26,A
41177,12.171875,2012,9,27,A
41178,12.880208,2012,9,28,A
41179,12.710417,2012,9,29,A
41180,12.543750,2012,9,30,A
41181,12.155208,2012,10,1,A
41182,12.012500,2012,10,2,A
41183,10.906250,2012,10,3,A
41184,9.875000,2012,10,4,A
41185,9.456250,2012,10,5,A
41186,9.062500,2012,10,6,A
41187,8.877083,2012,10,7,A
41188,8.880208,2012,10,8,A
41189,8.845833,2012,10,9,A
41190,9.084375,2012,10,10,A
41191,9.227083,2012,10,11,A
41192,9.096875,2012,10,12,A
