;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:06:25 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14163150 MCKENZIE RIVER BLW LEABURG DAM, NR LEABURG, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14163150
;#            TS   parameter     Description
;#        212633       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;# 
;USGS 14163150_temp_MCKENZIE RIVER BLW LEABURG DAM, NR LEABURG, OR_23772857 
day_index,temp_C,Year,Month,Day,Quality
42926,14.377083,2017,7,12,A
42927,14.156250,2017,7,13,A
42928,14.515625,2017,7,14,A
42929,14.619792,2017,7,15,A
42930,14.403125,2017,7,16,A
42931,13.864583,2017,7,17,A
42932,13.951042,2017,7,18,A
42933,14.175000,2017,7,19,A
42934,14.016667,2017,7,20,A
42935,13.857292,2017,7,21,A
42936,14.183333,2017,7,22,A
42937,14.790625,2017,7,23,A
42938,14.902083,2017,7,24,A
42939,15.113542,2017,7,25,A
42940,14.923958,2017,7,26,A
42941,14.889583,2017,7,27,A
42942,14.768750,2017,7,28,A
42943,14.578125,2017,7,29,A
42944,14.670833,2017,7,30,A
42945,14.906250,2017,7,31,A
42946,15.343750,2017,8,1,A
42947,15.190625,2017,8,2,A
42948,14.631250,2017,8,3,A
42949,14.488542,2017,8,4,A
42950,14.247917,2017,8,5,A
42951,13.329167,2017,8,6,A
42952,13.822917,2017,8,7,A
42953,14.557292,2017,8,8,A
42954,14.349462,2017,8,9,A
42955,14.213542,2017,8,10,A
42956,14.034375,2017,8,11,A
42957,13.857292,2017,8,12,A
42958,13.183333,2017,8,13,A
42959,12.816667,2017,8,14,A
42960,12.643750,2017,8,15,A
42961,13.142708,2017,8,16,A
42962,13.518750,2017,8,17,A
42963,13.367708,2017,8,18,A
42964,13.395833,2017,8,19,A
42965,13.222917,2017,8,20,A
42966,13.007292,2017,8,21,A
42967,12.901042,2017,8,22,A
42968,12.802083,2017,8,23,A
42969,12.732292,2017,8,24,A
42970,12.872917,2017,8,25,A
42971,12.764583,2017,8,26,A
42972,12.742708,2017,8,27,A
42973,12.717708,2017,8,28,A
42974,12.272917,2017,8,29,A
42975,12.469792,2017,8,30,A
42976,12.588542,2017,8,31,A
42977,12.665625,2017,9,1,A
42978,12.178125,2017,9,2,A
42979,11.911458,2017,9,3,A
42980,11.576042,2017,9,4,A
42981,11.773958,2017,9,5,A
42982,11.936458,2017,9,6,A
42983,12.277660,2017,9,7,A
42984,12.361458,2017,9,8,A
42985,12.955208,2017,9,9,A
42986,13.023958,2017,9,10,A
42987,12.801042,2017,9,11,A
42988,12.769792,2017,9,12,A
42989,12.500000,2017,9,13,A
42990,12.122917,2017,9,14,A
42991,11.189583,2017,9,15,A
42992,10.687500,2017,9,16,A
42993,10.684375,2017,9,17,A
42994,10.871875,2017,9,18,A
42995,10.340625,2017,9,19,A
42996,10.073958,2017,9,20,A
42997,9.821875,2017,9,21,A
42998,10.081250,2017,9,22,A
42999,10.198958,2017,9,23,A
43000,10.455208,2017,9,24,A
43001,10.394792,2017,9,25,A
43002,10.890625,2017,9,26,A
43003,11.331250,2017,9,27,A
43004,11.248958,2017,9,28,A
43005,10.922917,2017,9,29,A
43006,10.575000,2017,9,30,A
43007,10.458333,2017,10,1,A
43008,10.043750,2017,10,2,A
43009,9.461458,2017,10,3,A
43010,9.351042,2017,10,4,A
43011,9.405208,2017,10,5,A
43012,9.508333,2017,10,6,A
43013,9.728125,2017,10,7,A
43014,9.953125,2017,10,8,A
