;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:06:44 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14163900 MCKENZIE RIVER NEAR WALTERVILLE, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14163900
;#            TS   parameter     Description
;#        212641       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14163900_temp_MCKENZIE RIVER NEAR WALTERVILLE, OR_23772801 
day_index,temp_C,Year,Month,Day,Quality
42925,14.771429,2017,7,11,A
42926,14.809574,2017,7,12,A
42927,14.714894,2017,7,13,A
42928,15.228125,2017,7,14,A
42929,15.341489,2017,7,15,A
42930,15.125263,2017,7,16,A
42931,14.756989,2017,7,17,A
42932,14.760417,2017,7,18,A
42933,14.933333,2017,7,19,A
42934,14.897917,2017,7,20,A
42935,14.729787,2017,7,21,A
42936,15.130526,2017,7,22,A
42937,15.737234,2017,7,23,A
42938,15.784211,2017,7,24,A
42939,16.083333,2017,7,25,A
42940,15.853125,2017,7,26,A
42941,15.870833,2017,7,27,A
42942,15.704167,2017,7,28,A
42943,15.476042,2017,7,29,A
42944,15.564583,2017,7,30,A
42945,15.661053,2017,7,31,A
42946,15.836559,2017,8,1,A
42947,15.947917,2017,8,2,A
42948,15.420000,2017,8,3,A
42949,15.169474,2017,8,4,A
42950,14.855789,2017,8,5,A
42951,14.044211,2017,8,6,A
42952,14.196875,2017,8,7,A
42953,15.160417,2017,8,8,A
42954,15.024211,2017,8,9,A
42955,14.903297,2017,8,10,A
42956,14.560417,2017,8,11,A
42957,14.618750,2017,8,12,A
42958,13.747368,2017,8,13,A
42959,13.154167,2017,8,14,A
42960,13.149474,2017,8,15,A
42961,13.431579,2017,8,16,A
42962,14.012500,2017,8,17,A
42963,13.841489,2017,8,18,A
42964,13.870526,2017,8,19,A
42965,13.671579,2017,8,20,A
42966,13.461458,2017,8,21,A
42967,13.346809,2017,8,22,A
42968,13.255789,2017,8,23,A
42969,13.097917,2017,8,24,A
42970,13.182105,2017,8,25,A
42971,13.165263,2017,8,26,A
42972,13.146316,2017,8,27,A
42973,13.185263,2017,8,28,A
42974,12.719792,2017,8,29,A
42975,12.768085,2017,8,30,A
42976,13.005208,2017,8,31,A
42977,13.384043,2017,9,1,A
42978,12.766316,2017,9,2,A
42979,12.481250,2017,9,3,A
42980,12.145745,2017,9,4,A
42981,12.265625,2017,9,5,A
42982,12.409474,2017,9,6,A
42983,12.730208,2017,9,7,A
42984,12.821978,2017,9,8,A
42985,13.446809,2017,9,9,A
42986,13.733333,2017,9,10,A
42987,13.438947,2017,9,11,A
42988,13.435106,2017,9,12,A
42989,13.059140,2017,9,13,A
42990,12.715625,2017,9,14,A
42991,11.839583,2017,9,15,A
42992,11.086458,2017,9,16,A
42993,10.941053,2017,9,17,A
42994,11.220430,2017,9,18,A
42995,10.932292,2017,9,19,A
42996,10.485263,2017,9,20,A
42997,10.156842,2017,9,21,A
42998,10.480000,2017,9,22,A
42999,10.638542,2017,9,23,A
43000,10.861053,2017,9,24,A
43001,10.878723,2017,9,25,A
43002,11.194737,2017,9,26,A
43003,11.845833,2017,9,27,A
