;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:07:12 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14164700 CEDAR CREEK AT SPRINGFIELD, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14164700
;#            TS   parameter     Description
;#        210627       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14164700_temp_CEDAR CREEK AT SPRINGFIELD, OR_23774369 
day_index,temp_C,Year,Month,Day,Quality
42924,20.935000,2017,7,10,A
42925,19.061458,2017,7,11,A
42926,19.093750,2017,7,12,A
42927,18.589583,2017,7,13,A
42928,18.777083,2017,7,14,A
42929,19.392708,2017,7,15,A
42930,19.012500,2017,7,16,A
42931,18.382292,2017,7,17,A
42932,18.708333,2017,7,18,A
42933,18.804167,2017,7,19,A
42934,18.801042,2017,7,20,A
42935,18.730208,2017,7,21,A
42936,19.383333,2017,7,22,A
42937,20.541667,2017,7,23,A
42938,20.533333,2017,7,24,A
42939,20.930208,2017,7,25,A
42940,20.919792,2017,7,26,A
42941,20.853125,2017,7,27,A
42942,20.292708,2017,7,28,A
42943,20.097917,2017,7,29,A
42944,19.652083,2017,7,30,A
42945,20.341667,2017,7,31,A
42946,20.862500,2017,8,1,A
42947,21.046875,2017,8,2,A
42948,22.317708,2017,8,3,A
42949,21.680208,2017,8,4,A
42950,20.541667,2017,8,5,A
42951,19.095833,2017,8,6,A
42952,19.473958,2017,8,7,A
42953,20.126596,2017,8,8,A
42954,20.246875,2017,8,9,A
42955,20.395833,2017,8,10,A
42956,20.002083,2017,8,11,A
42957,19.250000,2017,8,12,A
42958,17.960417,2017,8,13,A
42959,16.910417,2017,8,14,A
42960,16.428125,2017,8,15,A
42961,16.823958,2017,8,16,A
42962,17.820833,2017,8,17,A
42963,17.704167,2017,8,18,A
42964,17.896875,2017,8,19,A
42965,17.407292,2017,8,20,A
42966,17.011458,2017,8,21,A
42967,17.189583,2017,8,22,A
42968,17.103125,2017,8,23,A
42969,16.753125,2017,8,24,A
42970,15.931250,2017,8,25,A
42971,16.041667,2017,8,26,A
42972,16.541667,2017,8,27,A
42973,17.065625,2017,8,28,A
42974,17.083333,2017,8,29,A
42975,16.631250,2017,8,30,A
42976,16.684375,2017,8,31,A
42977,17.107292,2017,9,1,A
42978,17.038542,2017,9,2,A
42979,16.839583,2017,9,3,A
42980,16.981250,2017,9,4,A
42981,17.100000,2017,9,5,A
42982,16.534375,2017,9,6,A
42983,16.911458,2017,9,7,A
42984,16.468750,2017,9,8,A
42985,16.525000,2017,9,9,A
42986,16.943750,2017,9,10,A
42987,16.327083,2017,9,11,A
42988,16.312903,2017,9,12,A
42989,15.946875,2017,9,13,A
42990,15.207292,2017,9,14,A
42991,14.554167,2017,9,15,A
42992,14.112500,2017,9,16,A
42993,13.661458,2017,9,17,A
42994,14.038542,2017,9,18,A
42995,13.791667,2017,9,19,A
42996,13.964583,2017,9,20,A
42997,13.383333,2017,9,21,A
42998,13.019792,2017,9,22,A
42999,13.040625,2017,9,23,A
43000,13.012500,2017,9,24,A
43001,13.610417,2017,9,25,A
43002,14.019792,2017,9,26,A
43003,14.676042,2017,9,27,A
43004,14.850000,2017,9,28,A
43005,14.807292,2017,9,29,A
43006,13.542708,2017,9,30,A
43007,13.343750,2017,10,1,A
43008,12.637500,2017,10,2,A
43009,11.583333,2017,10,3,A
43010,11.514583,2017,10,4,A
43011,11.479167,2017,10,5,A
43012,11.564583,2017,10,6,A
43013,12.489583,2017,10,7,A
43014,12.094792,2017,10,8,A
43015,11.426042,2017,10,9,A
43016,11.146316,2017,10,10,A
43017,10.889583,2017,10,11,A
43018,10.252083,2017,10,12,A
43019,11.140625,2017,10,13,A
43020,10.203125,2017,10,14,A
43021,10.396875,2017,10,15,A
43022,10.658333,2017,10,16,A
43023,11.119792,2017,10,17,A
43024,11.773958,2017,10,18,A
43025,12.164583,2017,10,19,A
43026,11.533333,2017,10,20,A
43027,11.344792,2017,10,21,A
43028,12.241667,2017,10,22,A
43029,11.529167,2017,10,23,A
43030,11.465625,2017,10,24,A
43031,11.665625,2017,10,25,A
43032,12.201042,2017,10,26,A
43033,12.297917,2017,10,27,A
43034,12.192708,2017,10,28,A
43035,12.206250,2017,10,29,A
43036,11.970833,2017,10,30,A
43037,10.567708,2017,10,31,A
43038,10.320833,2017,11,1,A
43039,10.879167,2017,11,2,A
43040,10.633333,2017,11,3,A
43041,9.544792,2017,11,4,A
43042,9.555000,2017,11,5,A
43043,9.112500,2017,11,6,A
43044,8.883333,2017,11,7,A
43045,9.211458,2017,11,8,A
43046,10.142708,2017,11,9,A
43047,10.555208,2017,11,10,A
43048,10.665625,2017,11,11,A
43049,11.193750,2017,11,12,A
43050,11.209375,2017,11,13,A
43051,10.426042,2017,11,14,A
43052,10.269792,2017,11,15,A
43053,9.611458,2017,11,16,A
43054,9.457292,2017,11,17,A
43055,8.969792,2017,11,18,A
43056,8.728125,2017,11,19,A
43057,10.112500,2017,11,20,A
43058,11.008333,2017,11,21,A
43059,11.561458,2017,11,22,A
43060,11.858333,2017,11,23,A
43061,10.386458,2017,11,24,A
43062,9.487500,2017,11,25,A
43063,9.987500,2017,11,26,A
43064,10.023958,2017,11,27,A
43065,9.153125,2017,11,28,A
43066,9.308333,2017,11,29,A
43067,8.992708,2017,11,30,A
43068,9.573958,2017,12,1,A
43069,9.401042,2017,12,2,A
43070,9.114583,2017,12,3,A
43071,8.679167,2017,12,4,A
43072,8.225000,2017,12,5,A
43073,8.013542,2017,12,6,A
43074,7.610417,2017,12,7,A
43075,7.498958,2017,12,8,A
43076,7.476042,2017,12,9,A
43077,7.388542,2017,12,10,A
43078,7.183333,2017,12,11,A
43079,7.074737,2017,12,12,A
43080,7.070833,2017,12,13,A
43081,7.103125,2017,12,14,A
43082,7.248958,2017,12,15,A
43083,7.892708,2017,12,16,A
43084,7.973958,2017,12,17,A
43085,8.382292,2017,12,18,A
43086,8.995833,2017,12,19,A
43087,7.487500,2017,12,20,A
43088,6.858333,2017,12,21,A
43089,7.015625,2017,12,22,A
43090,7.734375,2017,12,23,A
43091,7.610417,2017,12,24,A
43092,7.581250,2017,12,25,A
43093,7.302083,2017,12,26,A
43094,7.954167,2017,12,27,A
43095,8.186458,2017,12,28,A
43096,9.287500,2017,12,29,A
43097,9.407292,2017,12,30,A
43098,7.408333,2017,12,31,A
43099,7.230208,2018,1,1,A
43100,7.490625,2018,1,2,A
43101,7.656250,2018,1,3,A
43102,7.943750,2018,1,4,A
43103,8.666667,2018,1,5,A
43104,9.063542,2018,1,6,A
43105,8.422917,2018,1,7,A
43106,8.536458,2018,1,8,A
43107,8.680208,2018,1,9,A
43108,8.535417,2018,1,10,A
43109,9.167368,2018,1,11,A
43110,9.301042,2018,1,12,A
43111,8.713542,2018,1,13,A
43112,8.515625,2018,1,14,A
43113,8.834375,2018,1,15,A
43114,9.064583,2018,1,16,A
43115,9.486458,2018,1,17,A
43116,9.554167,2018,1,18,A
43117,8.401042,2018,1,19,A
43118,8.358333,2018,1,20,A
43119,8.341667,2018,1,21,A
43120,8.553125,2018,1,22,A
43121,8.213542,2018,1,23,A
43122,8.606250,2018,1,24,A
43123,7.581250,2018,1,25,A
43124,7.879167,2018,1,26,A
43125,8.494792,2018,1,27,A
43126,9.233333,2018,1,28,A
43127,9.054167,2018,1,29,A
43128,8.990625,2018,1,30,A
43129,8.282292,2018,1,31,A
43130,8.636458,2018,2,1,A
43131,9.763542,2018,2,2,A
43132,10.436458,2018,2,3,A
43133,9.997917,2018,2,4,A
43134,10.423958,2018,2,5,A
43135,9.266667,2018,2,6,A
43136,9.035417,2018,2,7,A
43137,9.423958,2018,2,8,A
43138,10.013542,2018,2,9,A
43139,9.138542,2018,2,10,A
43140,8.142708,2018,2,11,A
43141,7.933333,2018,2,12,A
43142,7.261458,2018,2,13,A
43143,7.666667,2018,2,14,A
43144,7.676042,2018,2,15,A
43145,8.004167,2018,2,16,A
43146,8.739583,2018,2,17,A
43147,8.084375,2018,2,18,A
43148,6.690625,2018,2,19,A
43149,6.479167,2018,2,20,A
43150,6.546875,2018,2,21,A
43151,5.986458,2018,2,22,A
43152,5.644792,2018,2,23,A
43153,6.782292,2018,2,24,A
43154,6.619792,2018,2,25,A
43155,6.640625,2018,2,26,A
43156,6.673958,2018,2,27,A
43157,7.266667,2018,2,28,A
43158,7.320833,2018,3,1,A
43159,7.348958,2018,3,2,A
43160,7.412500,2018,3,3,A
43161,7.687500,2018,3,4,A
43162,8.198958,2018,3,5,A
43163,8.166667,2018,3,6,A
43164,8.388542,2018,3,7,A
43165,8.693750,2018,3,8,A
43166,9.241667,2018,3,9,A
43167,8.853125,2018,3,10,A
43168,9.493478,2018,3,11,A
43169,10.119792,2018,3,12,A
43170,10.155208,2018,3,13,A
43171,9.525000,2018,3,14,A
43172,8.743750,2018,3,15,A
43173,8.782292,2018,3,16,A
43174,8.959375,2018,3,17,A
43175,9.261458,2018,3,18,A
43176,9.364583,2018,3,19,A
43177,9.538542,2018,3,20,A
43178,10.143750,2018,3,21,A
43179,9.368750,2018,3,22,A
43180,7.162500,2018,3,23,A
43181,7.031250,2018,3,24,A
43182,8.107292,2018,3,25,A
43183,8.168750,2018,3,26,A
43184,9.042708,2018,3,27,A
43185,10.390625,2018,3,28,A
43186,10.127083,2018,3,29,A
43187,10.247917,2018,3,30,A
