;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:08:15 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14166000 WILLAMETTE RIVER AT HARRISBURG, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14166000
;#            TS   parameter     Description
;#        117024       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14166000_temp_WILLAMETTE RIVER AT HARRISBURG, OR_23763337 
day_index,temp_C,Year,Month,Day,Quality
39354,13.954348,2007,10,1,A
39355,13.962500,2007,10,2,A
39356,14.218750,2007,10,3,A
39357,13.702083,2007,10,4,A
39358,13.264583,2007,10,5,A
39359,12.822917,2007,10,6,A
39360,13.408333,2007,10,7,A
39361,14.108333,2007,10,8,A
39362,13.947917,2007,10,9,A
39363,13.606250,2007,10,10,A
39364,13.006250,2007,10,11,A
39365,12.979167,2007,10,12,A
39366,13.075000,2007,10,13,A
39367,13.254167,2007,10,14,A
39368,13.320833,2007,10,15,A
39369,12.658333,2007,10,16,A
39370,12.064583,2007,10,17,A
39371,11.833333,2007,10,18,A
39372,12.404167,2007,10,19,A
39373,11.585417,2007,10,20,A
39374,11.350000,2007,10,21,A
39375,11.702083,2007,10,22,A
39376,11.931250,2007,10,23,A
39377,11.868750,2007,10,24,A
39378,11.162500,2007,10,25,A
39379,10.197917,2007,10,26,A
39380,9.983333,2007,10,27,A
39381,10.147917,2007,10,28,A
39382,10.347917,2007,10,29,A
39383,10.597917,2007,10,30,A
39384,10.612500,2007,10,31,A
39385,10.408333,2007,11,1,A
39386,9.835417,2007,11,2,A
39387,9.645833,2007,11,3,A
39388,9.479167,2007,11,4,A
39389,9.910417,2007,11,5,A
39390,9.914583,2007,11,6,A
39391,9.856250,2007,11,7,A
39392,9.981250,2007,11,8,A
39393,10.206250,2007,11,9,A
39394,10.862500,2007,11,10,A
39395,10.422917,2007,11,11,A
39396,10.058333,2007,11,12,A
39397,9.745833,2007,11,13,A
39398,8.968750,2007,11,14,A
39399,9.697917,2007,11,15,A
39400,10.195833,2007,11,16,A
39401,10.377083,2007,11,17,A
39402,10.035417,2007,11,18,A
39403,9.329412,2007,11,19,A
39404,8.870833,2007,11,20,A
39405,8.395833,2007,11,21,A
39406,7.885417,2007,11,22,A
39407,7.502083,2007,11,23,A
39408,7.389583,2007,11,24,A
39409,7.395833,2007,11,25,A
39410,7.408333,2007,11,26,A
39411,7.591667,2007,11,27,A
