;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:08:57 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14169000 LONG TOM RIVER NEAR ALVADORE, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14169000
;#            TS   parameter     Description
;#        117036       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14169000_temp_LONG TOM RIVER NEAR ALVADORE, OR_23763139 
day_index,temp_C,Year,Month,Day,Quality
39354,15.215217,2007,10,1,A
39355,15.408333,2007,10,2,A
39356,15.181250,2007,10,3,A
39357,14.868041,2007,10,4,A
39358,14.736458,2007,10,5,A
39359,14.456250,2007,10,6,A
39360,14.380208,2007,10,7,A
39361,14.320833,2007,10,8,A
39362,14.265625,2007,10,9,A
39363,14.189583,2007,10,10,A
39364,14.091667,2007,10,11,A
39365,14.069792,2007,10,12,A
39366,13.990625,2007,10,13,A
39367,14.040625,2007,10,14,A
39368,14.194792,2007,10,15,A
39369,14.188542,2007,10,16,A
39370,13.487500,2007,10,17,A
39371,13.037500,2007,10,18,A
39372,13.152041,2007,10,19,A
39373,12.590625,2007,10,20,A
39374,12.356250,2007,10,21,A
39375,12.346392,2007,10,22,A
39376,12.703125,2007,10,23,A
39377,13.117708,2007,10,24,A
39378,12.783333,2007,10,25,A
39379,11.223958,2007,10,26,A
39380,10.522917,2007,10,27,A
39381,10.447917,2007,10,28,A
39382,10.233333,2007,10,29,A
39383,10.342708,2007,10,30,A
39384,10.154167,2007,10,31,A
39385,10.115625,2007,11,1,A
39386,9.943750,2007,11,2,A
39387,9.859375,2007,11,3,A
39388,9.780208,2007,11,4,A
39389,9.591667,2007,11,5,A
39390,9.731250,2007,11,6,A
39391,9.566667,2007,11,7,A
39392,9.625000,2007,11,8,A
39393,9.902083,2007,11,9,A
39394,10.042708,2007,11,10,A
39395,9.850000,2007,11,11,A
39396,9.775000,2007,11,12,A
39397,9.566667,2007,11,13,A
39398,9.200000,2007,11,14,A
39399,9.396875,2007,11,15,A
39400,9.761458,2007,11,16,A
39401,10.506250,2007,11,17,A
39402,10.145833,2007,11,18,A
39403,8.908247,2007,11,19,A
39404,8.660417,2007,11,20,A
39405,7.308333,2007,11,21,A
39406,5.632292,2007,11,22,A
39407,4.737500,2007,11,23,A
39408,4.350000,2007,11,24,A
39409,3.709375,2007,11,25,A
39410,3.520833,2007,11,26,A
39411,3.527083,2007,11,27,A
39412,3.540625,2007,11,28,A
39413,3.967708,2007,11,29,A
39414,4.134375,2007,11,30,A
39415,4.208333,2007,12,1,A
39416,4.987500,2007,12,2,A
39417,7.814583,2007,12,3,A
39418,9.540625,2007,12,4,A
39419,9.589583,2007,12,5,A
39420,9.757292,2007,12,6,A
39421,9.264583,2007,12,7,A
39422,8.569072,2007,12,8,A
39423,7.139583,2007,12,9,A
39424,5.563542,2007,12,10,A
39425,3.766667,2007,12,11,A
39426,3.429167,2007,12,12,A
39427,3.941667,2007,12,13,A
39428,4.138542,2007,12,14,A
39429,4.966667,2007,12,15,A
39430,5.078125,2007,12,16,A
39431,5.310417,2007,12,17,A
39432,5.862500,2007,12,18,A
39433,6.412245,2007,12,19,A
39434,6.047959,2007,12,20,A
39435,5.639583,2007,12,21,A
39436,5.273958,2007,12,22,A
39437,5.792708,2007,12,23,A
39438,6.957292,2007,12,24,A
39439,5.868750,2007,12,25,A
39440,5.006250,2007,12,26,A
