;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:09:15 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14170000 LONG TOM RIVER AT MONROE, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14170000
;#            TS   parameter     Description
;#        224260       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14170000_temp_LONG TOM RIVER AT MONROE, OR_23763075 
day_index,temp_C,Year,Month,Day,Quality
43723,17.864583,2019,9,17,A
43724,17.487500,2019,9,18,A
43725,17.244792,2019,9,19,A
43726,17.651042,2019,9,20,A
43727,18.160417,2019,9,21,A
43728,18.538542,2019,9,22,A
43729,18.088542,2019,9,23,A
43730,18.837500,2019,9,24,A
43731,19.048958,2019,9,25,A
43732,18.868750,2019,9,26,A
43733,18.609375,2019,9,27,A
43734,17.511458,2019,9,28,A
43735,16.166667,2019,9,29,A
43736,15.318750,2019,9,30,A
43737,14.710417,2019,10,1,A
43738,14.225000,2019,10,2,A
43739,13.944792,2019,10,3,A
43740,14.714583,2019,10,4,A
43741,15.204167,2019,10,5,A
43742,15.279167,2019,10,6,A
43743,15.292708,2019,10,7,A
43744,15.797917,2019,10,8,A
43745,14.722917,2019,10,9,A
43746,14.579167,2019,10,10,A
43747,14.420833,2019,10,11,A
43748,14.025000,2019,10,12,A
43749,14.041667,2019,10,13,A
43750,13.466667,2019,10,14,A
43751,13.244792,2019,10,15,A
43752,13.385417,2019,10,16,A
43753,13.707292,2019,10,17,A
43754,13.453125,2019,10,18,A
43755,13.381250,2019,10,19,A
43756,13.030208,2019,10,20,A
43757,13.191667,2019,10,21,A
43758,13.808333,2019,10,22,A
43759,13.642708,2019,10,23,A
43760,13.344792,2019,10,24,A
43761,13.509375,2019,10,25,A
43762,13.040625,2019,10,26,A
43763,12.361458,2019,10,27,A
43764,11.754167,2019,10,28,A
43765,11.011458,2019,10,29,A
43766,9.634375,2019,10,30,A
43767,8.744792,2019,10,31,A
43768,8.215625,2019,11,1,A
43769,8.128125,2019,11,2,A
