;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:10:23 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14174000 WILLAMETTE RIVER AT ALBANY, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14174000
;#            TS   parameter     Description
;#        117049       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14174000_temp_WILLAMETTE RIVER AT ALBANY, OR_23762845 
day_index,temp_C,Year,Month,Day,Quality
39354,14.300000,2007,10,1,A
39355,14.333333,2007,10,2,A
39356,14.384722,2007,10,3,A
39357,14.342857,2007,10,4,A
39358,13.878571,2007,10,5,A
39359,13.463889,2007,10,6,A
39360,13.456944,2007,10,7,A
39361,14.138571,2007,10,8,A
39362,14.160563,2007,10,9,A
39363,14.194203,2007,10,10,A
39364,13.630986,2007,10,11,A
39365,13.425714,2007,10,12,A
39366,13.463768,2007,10,13,A
39367,13.520833,2007,10,14,A
39368,13.895775,2007,10,15,A
39369,13.602857,2007,10,16,A
39370,12.833803,2007,10,17,A
39371,12.723529,2007,10,18,A
39372,12.954286,2007,10,19,A
39373,11.879167,2007,10,20,A
39374,11.320909,2007,10,21,A
39375,11.346018,2007,10,22,A
39376,11.891667,2007,10,23,A
39377,12.085915,2007,10,24,A
39378,11.633803,2007,10,25,A
39379,10.675000,2007,10,26,A
39380,10.218056,2007,10,27,A
39381,10.205556,2007,10,28,A
39382,10.412500,2007,10,29,A
39383,10.443662,2007,10,30,A
39384,10.416901,2007,10,31,A
39385,10.469444,2007,11,1,A
39386,10.052778,2007,11,2,A
