;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:11:07 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14179000 BREITENBUSH R ABV FRENCH CR NR DETROIT, OR.
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14179000
;#            TS   parameter     Description
;#        117055       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14179000_temp_BREITENBUSH R ABV FRENCH CR NR DETROIT, OR_23780701 
day_index,temp_C,Year,Month,Day,Quality
39354,8.754348,2007,10,1,A
39355,8.833333,2007,10,2,A
39356,8.727083,2007,10,3,A
39357,7.760417,2007,10,4,A
39358,7.716667,2007,10,5,A
39359,7.416667,2007,10,6,A
39360,8.237500,2007,10,7,A
39361,9.043750,2007,10,8,A
39362,8.677083,2007,10,9,A
39363,8.766667,2007,10,10,A
39364,8.360000,2007,10,11,A
39365,8.356250,2007,10,12,A
39366,8.562500,2007,10,13,A
39367,7.850000,2007,10,14,A
39368,8.472917,2007,10,15,A
39369,8.214583,2007,10,16,A
39370,7.470833,2007,10,17,A
39371,7.454167,2007,10,18,A
39372,8.054167,2007,10,19,A
39373,6.627083,2007,10,20,A
39374,6.870833,2007,10,21,A
39375,6.787500,2007,10,22,A
39376,7.131250,2007,10,23,A
39377,7.606250,2007,10,24,A
39378,6.752083,2007,10,25,A
39379,5.822917,2007,10,26,A
39380,5.587500,2007,10,27,A
39381,5.820833,2007,10,28,A
39382,6.341667,2007,10,29,A
39383,6.983333,2007,10,30,A
39384,5.522917,2007,10,31,A
39385,5.683333,2007,11,1,A
39386,5.222917,2007,11,2,A
39387,4.937500,2007,11,3,A
39388,5.400000,2007,11,4,A
39389,5.479167,2007,11,5,A
39390,5.472917,2007,11,6,A
39391,5.397917,2007,11,7,A
39392,5.500000,2007,11,8,A
39393,5.939583,2007,11,9,A
39394,6.947917,2007,11,10,A
39395,6.266667,2007,11,11,A
39396,6.066667,2007,11,12,A
39397,6.256250,2007,11,13,A
39398,5.264583,2007,11,14,A
39399,6.666667,2007,11,15,A
39400,7.304167,2007,11,16,A
39401,7.679167,2007,11,17,A
39402,6.685417,2007,11,18,A
39403,5.641667,2007,11,19,A
39404,5.510417,2007,11,20,A
39405,5.041667,2007,11,21,A
39406,4.358333,2007,11,22,A
39407,3.829167,2007,11,23,A
39408,4.108333,2007,11,24,A
39409,4.031250,2007,11,25,A
39410,3.766667,2007,11,26,A
39411,4.245833,2007,11,27,A
39412,4.283333,2007,11,28,A
39413,3.929167,2007,11,29,A
39414,4.441667,2007,11,30,A
39415,3.916667,2007,12,1,A
39416,3.535417,2007,12,2,A
39417,5.043750,2007,12,3,A
39418,5.740426,2007,12,4,A
39419,5.827083,2007,12,5,A
39420,5.795652,2007,12,6,A
39421,5.658333,2007,12,7,A
39422,4.983333,2007,12,8,A
39423,4.054167,2007,12,9,A
39424,4.293750,2007,12,10,A
39425,3.676596,2007,12,11,A
39426,4.402083,2007,12,12,A
39427,4.137500,2007,12,13,A
39428,4.097917,2007,12,14,A
39429,4.575000,2007,12,15,A
39430,4.404167,2007,12,16,A
39431,4.110417,2007,12,17,A
39432,4.443750,2007,12,18,A
39433,4.927083,2007,12,19,A
39434,4.350000,2007,12,20,A
39435,4.312500,2007,12,21,A
39436,3.733333,2007,12,22,A
39437,4.368750,2007,12,23,A
39438,4.550000,2007,12,24,A
39439,3.970833,2007,12,25,A
39440,3.400000,2007,12,26,A
39441,3.168750,2007,12,27,A
39442,3.152083,2007,12,28,A
39443,3.785417,2007,12,29,A
39444,3.131250,2007,12,30,A
39445,3.160417,2007,12,31,A
39446,3.004167,2008,1,1,A
39447,3.514583,2008,1,2,A
39448,3.962500,2008,1,3,A
39449,4.175000,2008,1,4,A
39450,3.566667,2008,1,5,A
39451,3.139583,2008,1,6,A
39452,2.968750,2008,1,7,A
39453,1.800000,2008,1,8,A
39454,2.935417,2008,1,9,A
39455,3.360417,2008,1,10,A
