;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:11:33 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14180300 BLOWOUT CREEK NEAR DETROIT, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14180300
;#            TS   parameter     Description
;#        117061       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14180300_temp_BLOWOUT CREEK NEAR DETROIT, OR_23780557 
day_index,temp_C,Year,Month,Day,Quality
39354,9.530435,2007,10,1,A
39355,9.754167,2007,10,2,A
39356,9.422917,2007,10,3,A
39357,8.514583,2007,10,4,A
39358,8.293750,2007,10,5,A
39359,8.139583,2007,10,6,A
39360,9.202083,2007,10,7,A
39361,10.016667,2007,10,8,A
39362,9.545833,2007,10,9,A
39363,9.804167,2007,10,10,A
39364,9.084444,2007,10,11,A
39365,9.243750,2007,10,12,A
39366,8.941667,2007,10,13,A
39367,8.433333,2007,10,14,A
39368,8.927083,2007,10,15,A
39369,8.689583,2007,10,16,A
39370,7.927083,2007,10,17,A
39371,7.885417,2007,10,18,A
39372,8.291667,2007,10,19,A
39373,7.031250,2007,10,20,A
39374,7.310417,2007,10,21,A
39375,6.979167,2007,10,22,A
39376,7.466667,2007,10,23,A
39377,7.818750,2007,10,24,A
39378,6.841667,2007,10,25,A
39379,5.404167,2007,10,26,A
39380,5.222917,2007,10,27,A
39381,5.675000,2007,10,28,A
39382,6.185417,2007,10,29,A
39383,6.972917,2007,10,30,A
39384,5.472917,2007,10,31,A
39385,5.579167,2007,11,1,A
39386,5.854167,2007,11,2,A
39387,4.995833,2007,11,3,A
39388,5.286000,2007,11,4,A
39389,5.316667,2007,11,5,A
39390,5.229167,2007,11,6,A
