;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:12:39 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14182500 LITTLE NORTH SANTIAM RIVER NEAR MEHAMA, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14182500
;#            TS   parameter     Description
;#        163385       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;# 
;USGS 14182500_temp_LITTLE NORTH SANTIAM RIVER NEAR MEHAMA, OR_23780805 
day_index,temp_C,Year,Month,Day,Quality
39354,11.474074,2007,10,1,A
39355,11.196000,2007,10,2,A
39356,10.566071,2007,10,3,A
39357,9.183333,2007,10,4,A
39358,9.076364,2007,10,5,A
39359,8.866102,2007,10,6,A
39360,9.730769,2007,10,7,A
39361,10.716667,2007,10,8,A
39362,10.847170,2007,10,9,A
39363,10.755102,2007,10,10,A
39364,10.259649,2007,10,11,A
39365,10.303704,2007,10,12,A
39366,10.432692,2007,10,13,A
39367,10.280303,2007,10,14,A
39368,10.310169,2007,10,15,A
39369,10.007273,2007,10,16,A
39370,9.469231,2007,10,17,A
39371,8.850000,2007,10,18,A
39372,9.442857,2007,10,19,A
39373,8.339655,2007,10,20,A
39374,8.660000,2007,10,21,A
39375,8.614035,2007,10,22,A
39376,9.260345,2007,10,23,A
39377,9.442857,2007,10,24,A
39378,8.651667,2007,10,25,A
39379,7.156364,2007,10,26,A
39380,7.263793,2007,10,27,A
39381,7.410169,2007,10,28,A
39382,7.800000,2007,10,29,A
39383,8.467241,2007,10,30,A
39384,7.532653,2007,10,31,A
39385,7.523333,2007,11,1,A
39386,6.759615,2007,11,2,A
39387,6.390909,2007,11,3,A
39388,6.651786,2007,11,4,A
39389,7.356140,2007,11,5,A
39390,7.392593,2007,11,6,A
39391,6.913208,2007,11,7,A
39392,6.783019,2007,11,8,A
39393,7.348214,2007,11,9,A
39394,8.525862,2007,11,10,A
39395,8.125862,2007,11,11,A
39396,7.787097,2007,11,12,A
39397,7.709091,2007,11,13,A
39398,6.681818,2007,11,14,A
39399,8.150000,2007,11,15,A
39400,8.698437,2007,11,16,A
39401,9.040909,2007,11,17,A
39402,8.141071,2007,11,18,A
39403,6.647368,2007,11,19,A
39404,6.524074,2007,11,20,A
39405,6.238983,2007,11,21,A
39406,5.618966,2007,11,22,A
39407,5.043333,2007,11,23,A
39408,5.214286,2007,11,24,A
39409,4.857143,2007,11,25,A
39410,4.551786,2007,11,26,A
39411,5.698246,2007,11,27,A
39412,5.332692,2007,11,28,A
39413,5.494828,2007,11,29,A
39414,5.635714,2007,11,30,A
39415,5.425000,2007,12,1,A
39416,5.567273,2007,12,2,A
39417,6.856140,2007,12,3,A
39418,7.564286,2007,12,4,A
39419,7.501961,2007,12,5,A
39420,7.352727,2007,12,6,A
39421,6.826786,2007,12,7,A
39422,6.098246,2007,12,8,A
39423,5.010345,2007,12,9,A
39424,5.166129,2007,12,10,A
39425,4.529091,2007,12,11,A
39426,5.256604,2007,12,12,A
39427,4.759649,2007,12,13,A
39428,4.940351,2007,12,14,A
39429,5.816364,2007,12,15,A
39430,5.596296,2007,12,16,A
39431,5.705263,2007,12,17,A
39432,5.727119,2007,12,18,A
39433,6.103448,2007,12,19,A
39434,5.374545,2007,12,20,A
39435,5.523529,2007,12,21,A
39436,5.388679,2007,12,22,A
39437,6.021818,2007,12,23,A
39438,5.762963,2007,12,24,A
39439,5.312727,2007,12,25,A
39440,4.442188,2007,12,26,A
39441,4.510938,2007,12,27,A
39442,4.650000,2007,12,28,A
39443,5.270000,2007,12,29,A
39444,5.190741,2007,12,30,A
39445,5.021818,2007,12,31,A
39446,5.096667,2008,1,1,A
39447,5.501852,2008,1,2,A
39448,5.811667,2008,1,3,A
39449,6.152459,2008,1,4,A
39450,5.571186,2008,1,5,A
39451,4.734426,2008,1,6,A
39452,4.776667,2008,1,7,A
39453,4.840299,2008,1,8,A
39454,5.337113,2008,1,9,A
39455,5.750000,2008,1,10,A
39456,5.974026,2008,1,11,A
39457,6.183333,2008,1,12,A
39458,5.853704,2008,1,13,A
39459,5.578571,2008,1,14,A
39460,5.135000,2008,1,15,A
39461,4.369643,2008,1,16,A
39462,4.271930,2008,1,17,A
39463,4.896226,2008,1,18,A
39464,4.703448,2008,1,19,A
39465,4.587931,2008,1,20,A
39466,2.830000,2008,1,21,A
39467,2.093846,2008,1,22,A
39468,2.432759,2008,1,23,A
39469,2.414754,2008,1,24,A
39470,2.372414,2008,1,25,A
39471,3.088333,2008,1,26,A
39472,2.793103,2008,1,27,A
39473,3.145614,2008,1,28,A
39474,3.209836,2008,1,29,A
39475,2.496923,2008,1,30,A
39476,3.391525,2008,1,31,A
39477,3.830508,2008,2,1,A
39478,3.173846,2008,2,2,A
39479,3.660606,2008,2,3,A
39480,4.350000,2008,2,4,A
39481,4.487838,2008,2,5,A
39482,4.476712,2008,2,6,A
39483,4.702703,2008,2,7,A
39484,5.017391,2008,2,8,A
39485,5.398630,2008,2,9,A
39486,5.382857,2008,2,10,A
39487,5.386111,2008,2,11,A
39488,5.500000,2008,2,12,A
39489,5.328571,2008,2,13,A
39490,5.031507,2008,2,14,A
39491,5.138028,2008,2,15,A
39492,5.198592,2008,2,16,A
39493,4.864286,2008,2,17,A
39494,4.867143,2008,2,18,A
39495,4.898571,2008,2,19,A
39496,5.673611,2008,2,20,A
39497,5.226389,2008,2,21,A
39498,5.180556,2008,2,22,A
39499,5.153521,2008,2,23,A
39500,5.694444,2008,2,24,A
39501,5.802778,2008,2,25,A
39502,5.285714,2008,2,26,A
39503,5.655714,2008,2,27,A
39504,5.470423,2008,2,28,A
39505,5.815493,2008,2,29,A
39506,5.212676,2008,3,1,A
39507,5.141667,2008,3,2,A
39508,4.852857,2008,3,3,A
39509,5.376389,2008,3,4,A
39510,4.880282,2008,3,5,A
39511,5.009722,2008,3,6,A
39512,5.228169,2008,3,7,A
39513,6.041667,2008,3,8,A
39514,5.649254,2008,3,9,A
39515,6.285915,2008,3,10,A
39516,5.943077,2008,3,11,A
39517,5.480882,2008,3,12,A
39518,5.731429,2008,3,13,A
39519,5.138889,2008,3,14,A
39520,4.831944,2008,3,15,A
39521,5.435211,2008,3,16,A
39522,5.527536,2008,3,17,A
39523,5.691429,2008,3,18,A
39524,5.143478,2008,3,19,A
39525,4.975714,2008,3,20,A
39526,4.905556,2008,3,21,A
39527,5.444615,2008,3,22,A
39528,5.790164,2008,3,23,A
39529,5.550746,2008,3,24,A
39530,4.891429,2008,3,25,A
39531,4.320000,2008,3,26,A
39532,4.159091,2008,3,27,A
39533,4.192857,2008,3,28,A
39534,4.147222,2008,3,29,A
39535,4.562500,2008,3,30,A
39536,4.777465,2008,3,31,A
39537,4.960294,2008,4,1,A
39538,5.484286,2008,4,2,A
39539,5.877778,2008,4,3,A
39540,5.500000,2008,4,4,A
39541,5.150000,2008,4,5,A
39542,5.738889,2008,4,6,A
39543,5.269014,2008,4,7,A
39544,5.425000,2008,4,8,A
39545,6.022973,2008,4,9,A
39546,6.293056,2008,4,10,A
39547,6.751429,2008,4,11,A
39548,7.350704,2008,4,12,A
39549,6.454930,2008,4,13,A
39550,5.466176,2008,4,14,A
39551,4.907042,2008,4,15,A
39552,5.680882,2008,4,16,A
39553,6.595775,2008,4,17,A
39554,6.159155,2008,4,18,A
39555,4.701408,2008,4,19,A
39556,4.242857,2008,4,20,A
39557,4.318056,2008,4,21,A
39558,4.898571,2008,4,22,A
39559,5.424286,2008,4,23,A
39560,5.097222,2008,4,24,A
39561,6.390141,2008,4,25,A
39562,7.257746,2008,4,26,A
39563,7.331507,2008,4,27,A
39564,6.575714,2008,4,28,A
39565,5.635211,2008,4,29,A
39566,5.257576,2008,4,30,A
39567,6.383099,2008,5,1,A
39568,7.311268,2008,5,2,A
39569,7.137143,2008,5,3,A
39570,7.273611,2008,5,4,A
39571,7.637681,2008,5,5,A
39572,6.747059,2008,5,6,A
39573,6.185075,2008,5,7,A
39574,6.209091,2008,5,8,A
39575,7.151429,2008,5,9,A
39576,7.145455,2008,5,10,A
39577,6.686567,2008,5,11,A
39578,6.556923,2008,5,12,A
39579,6.710000,2008,5,13,A
39580,6.846970,2008,5,14,A
39581,7.402899,2008,5,15,A
39582,7.184507,2008,5,16,A
39583,7.148529,2008,5,17,A
39584,7.086567,2008,5,18,A
39585,7.189706,2008,5,19,A
39586,6.571014,2008,5,20,A
39587,5.960870,2008,5,21,A
39588,5.842029,2008,5,22,A
39589,6.100000,2008,5,23,A
39590,7.310769,2008,5,24,A
39591,7.131034,2008,5,25,A
39592,7.083333,2008,5,26,A
39593,7.256140,2008,5,27,A
39594,7.039286,2008,5,28,A
39595,7.024590,2008,5,29,A
39596,8.276786,2008,5,30,A
39597,7.876271,2008,5,31,A
39598,7.481667,2008,6,1,A
39599,7.935385,2008,6,2,A
39600,7.733333,2008,6,3,A
39601,6.757143,2008,6,4,A
39602,6.522951,2008,6,5,A
39603,6.676786,2008,6,6,A
39604,6.520690,2008,6,7,A
39605,7.627778,2008,6,8,A
39606,7.810714,2008,6,9,A
39607,6.640351,2008,6,10,A
39608,6.688136,2008,6,11,A
39609,8.060656,2008,6,12,A
39610,9.148148,2008,6,13,A
39611,9.354386,2008,6,14,A
39612,9.117910,2008,6,15,A
39613,9.498551,2008,6,16,A
39614,9.311940,2008,6,17,A
39615,9.210345,2008,6,18,A
39616,9.813636,2008,6,19,A
39617,10.227941,2008,6,20,A
39618,9.616667,2008,6,21,A
39619,9.678788,2008,6,22,A
39620,9.695588,2008,6,23,A
39621,10.086567,2008,6,24,A
39622,10.852727,2008,6,25,A
39623,10.797959,2008,6,26,A
39624,11.535417,2008,6,27,A
39625,12.527083,2008,6,28,A
39626,11.891667,2008,6,29,A
39627,11.668750,2008,6,30,A
39628,12.018750,2008,7,1,A
39629,12.514583,2008,7,2,A
39630,13.016667,2008,7,3,A
39631,12.506250,2008,7,4,A
39632,11.845833,2008,7,5,A
39633,13.289583,2008,7,6,A
39634,14.285417,2008,7,7,A
39635,14.904167,2008,7,8,A
39636,15.816667,2008,7,9,A
39637,15.943750,2008,7,10,A
39638,15.316667,2008,7,11,A
39639,15.816667,2008,7,12,A
39640,16.835417,2008,7,13,A
39641,17.150000,2008,7,14,A
