;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:14:05 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14185900 QUARTZVILLE CREEK NEAR CASCADIA, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14185900
;#            TS   parameter     Description
;#        117109       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14185900_temp_QUARTZVILLE CREEK NEAR CASCADIA, OR_23786019 
day_index,temp_C,Year,Month,Day,Quality
39741,7.843750,2008,10,22,A
39742,7.656250,2008,10,23,A
39743,8.253125,2008,10,24,A
39744,7.915625,2008,10,25,A
39745,8.035417,2008,10,26,A
39746,8.245833,2008,10,27,A
39747,8.478125,2008,10,28,A
39748,8.347917,2008,10,29,A
39749,8.371875,2008,10,30,A
39750,9.317708,2008,10,31,A
39751,9.895833,2008,11,1,A
39752,9.718000,2008,11,2,A
39753,8.984375,2008,11,3,A
39754,7.809375,2008,11,4,A
39755,6.912500,2008,11,5,A
39756,7.747917,2008,11,6,A
39757,8.468750,2008,11,7,A
39758,8.565625,2008,11,8,A
39759,8.460417,2008,11,9,A
39760,8.178125,2008,11,10,A
39761,8.112500,2008,11,11,A
39762,9.243750,2008,11,12,A
39763,8.739583,2008,11,13,A
39764,7.398958,2008,11,14,A
39765,7.480208,2008,11,15,A
39766,7.647917,2008,11,16,A
39767,7.812500,2008,11,17,A
39768,7.758333,2008,11,18,A
39769,7.900000,2008,11,19,A
39770,7.246875,2008,11,20,A
39771,6.664583,2008,11,21,A
39772,6.779167,2008,11,22,A
39773,5.570833,2008,11,23,A
39774,5.330208,2008,11,24,A
39775,5.792708,2008,11,25,A
39776,5.796875,2008,11,26,A
39777,5.301042,2008,11,27,A
