;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:15:09 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14187500 SOUTH SANTIAM RIVER AT WATERLOO, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14187500
;#            TS   parameter     Description
;#        226844       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14187500_temp_SOUTH SANTIAM RIVER AT WATERLOO, OR_23785687 
day_index,temp_C,Year,Month,Day,Quality
43738,11.395082,2019,10,2,A
43739,11.551042,2019,10,3,A
43740,11.596875,2019,10,4,A
43741,11.610417,2019,10,5,A
43742,11.531250,2019,10,6,A
43743,11.752083,2019,10,7,A
43744,11.769792,2019,10,8,A
43745,11.218750,2019,10,9,A
43746,10.965625,2019,10,10,A
43747,10.878125,2019,10,11,A
43748,11.061458,2019,10,12,A
43749,11.733333,2019,10,13,A
43750,11.526042,2019,10,14,A
43751,11.475000,2019,10,15,A
43752,11.656250,2019,10,16,A
43753,11.768750,2019,10,17,A
43754,11.600000,2019,10,18,A
43755,11.644792,2019,10,19,A
43756,11.108333,2019,10,20,A
43757,11.694792,2019,10,21,A
43758,12.001042,2019,10,22,A
43759,11.541667,2019,10,23,A
43760,11.182292,2019,10,24,A
43761,11.248958,2019,10,25,A
43762,10.836458,2019,10,26,A
43763,10.170833,2019,10,27,A
43764,9.926042,2019,10,28,A
43765,9.317708,2019,10,29,A
43766,8.589583,2019,10,30,A
43767,8.747917,2019,10,31,A
43768,8.828125,2019,11,1,A
43769,8.927083,2019,11,2,A
43770,9.264000,2019,11,3,A
43771,9.434375,2019,11,4,A
43772,9.393750,2019,11,5,A
43773,9.414583,2019,11,6,A
43774,9.481250,2019,11,7,A
43775,9.551042,2019,11,8,A
43776,10.059375,2019,11,9,A
43777,10.512500,2019,11,10,A
43778,10.704167,2019,11,11,A
43779,10.383333,2019,11,12,A
43780,10.835417,2019,11,13,A
43781,10.731250,2019,11,14,A
43782,10.777083,2019,11,15,A
43783,10.959375,2019,11,16,A
43784,11.005208,2019,11,17,A
43785,11.065625,2019,11,18,A
43786,11.067708,2019,11,19,A
43787,10.569792,2019,11,20,A
43788,9.588542,2019,11,21,A
43789,9.401042,2019,11,22,A
43790,9.251042,2019,11,23,A
43791,9.552083,2019,11,24,A
43792,9.660417,2019,11,25,A
43793,9.025000,2019,11,26,A
43794,8.825000,2019,11,27,A
43795,8.037500,2019,11,28,A
43796,7.461458,2019,11,29,A
43797,7.220833,2019,11,30,A
43798,7.752083,2019,12,1,A
43799,7.895833,2019,12,2,A
43800,7.720536,2019,12,3,A
43801,8.109375,2019,12,4,A
43802,8.060417,2019,12,5,A
43803,8.281250,2019,12,6,A
43804,8.721875,2019,12,7,A
43805,9.063889,2019,12,8,A
43806,8.512847,2019,12,9,A
43807,8.266319,2019,12,10,A
43808,8.576389,2019,12,11,A
43809,8.740972,2019,12,12,A
43810,8.195050,2019,12,13,A
43811,8.103125,2019,12,14,A
43812,7.857292,2019,12,15,A
43813,7.434375,2019,12,16,A
43814,6.973958,2019,12,17,A
43815,7.063542,2019,12,18,A
43816,7.637500,2019,12,19,A
43817,8.397917,2019,12,20,A
43818,8.255208,2019,12,21,A
43819,7.860417,2019,12,22,A
43820,7.543750,2019,12,23,A
43821,6.685417,2019,12,24,A
43822,7.130208,2019,12,25,A
43823,6.882292,2019,12,26,A
43824,6.653125,2019,12,27,A
43825,6.661458,2019,12,28,A
43826,6.857292,2019,12,29,A
43827,7.156250,2019,12,30,A
43828,7.067708,2019,12,31,A
43829,7.763542,2020,1,1,A
43830,7.346875,2020,1,2,A
43831,7.339583,2020,1,3,A
43832,7.366667,2020,1,4,A
43833,7.217708,2020,1,5,A
43834,7.260417,2020,1,6,A
43835,7.486458,2020,1,7,A
43836,7.359375,2020,1,8,A
43837,7.138542,2020,1,9,A
43838,7.226316,2020,1,10,A
43839,7.300000,2020,1,11,A
43840,7.235417,2020,1,12,A
43841,6.968750,2020,1,13,A
43842,6.721875,2020,1,14,A
43843,6.495833,2020,1,15,A
43844,6.631250,2020,1,16,A
43845,6.497917,2020,1,17,A
43846,6.709375,2020,1,18,A
