;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:18:04 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14197900 WILLAMETTE RIVER AT NEWBERG, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14197900
;#            TS   parameter     Description
;#        117163       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14197900_temp_WILLAMETTE RIVER AT NEWBERG, OR_23791305 
day_index,temp_C,Year,Month,Day,Quality
39354,14.182222,2007,10,1,A
39355,14.166667,2007,10,2,A
39356,13.962500,2007,10,3,A
39357,13.868750,2007,10,4,A
39358,13.732609,2007,10,5,A
39359,13.333333,2007,10,6,A
39360,13.097917,2007,10,7,A
39361,13.129167,2007,10,8,A
39362,13.189583,2007,10,9,A
39363,13.354167,2007,10,10,A
39364,13.454167,2007,10,11,A
39365,13.460417,2007,10,12,A
39366,13.333333,2007,10,13,A
39367,13.191667,2007,10,14,A
39368,13.087500,2007,10,15,A
39369,13.075000,2007,10,16,A
39370,12.879167,2007,10,17,A
39371,12.537500,2007,10,18,A
39372,12.637500,2007,10,19,A
39373,12.100000,2007,10,20,A
39374,11.512500,2007,10,21,A
39375,11.402083,2007,10,22,A
39376,11.747917,2007,10,23,A
39377,12.018750,2007,10,24,A
39378,11.736170,2007,10,25,A
39379,11.154348,2007,10,26,A
39380,10.464583,2007,10,27,A
39381,10.255319,2007,10,28,A
39382,10.254167,2007,10,29,A
39383,10.397959,2007,10,30,A
39384,10.344681,2007,10,31,A
39385,10.372917,2007,11,1,A
39386,10.110638,2007,11,2,A
39387,9.935417,2007,11,3,A
39388,9.790000,2007,11,4,A
39389,9.772340,2007,11,5,A
39390,9.936170,2007,11,6,A
39391,9.939583,2007,11,7,A
39392,10.018750,2007,11,8,A
39393,10.062500,2007,11,9,A
39394,10.402083,2007,11,10,A
39395,10.612766,2007,11,11,A
39396,10.521739,2007,11,12,A
39397,10.117391,2007,11,13,A
39398,9.587500,2007,11,14,A
39399,9.352083,2007,11,15,A
39400,9.908333,2007,11,16,A
39401,10.439583,2007,11,17,A
39402,10.440426,2007,11,18,A
39403,9.731250,2007,11,19,A
39404,9.122917,2007,11,20,A
39405,8.617021,2007,11,21,A
39406,7.967391,2007,11,22,A
39407,7.380000,2007,11,23,A
39408,7.016279,2007,11,24,A
39409,6.806667,2007,11,25,A
39410,6.528571,2007,11,26,A
