;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:21:09 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14203500 TUALATIN RIVER NEAR DILLEY, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14203500
;#            TS   parameter     Description
;#        173536       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;# 
;USGS 14203500_temp_TUALATIN RIVER NEAR DILLEY, OR_23805092 
day_index,temp_C,Year,Month,Day,Quality
42453,8.816667,2016,3,26,A
42454,9.263542,2016,3,27,A
42455,8.494792,2016,3,28,A
42456,8.756250,2016,3,29,A
42457,9.506250,2016,3,30,A
42458,10.163542,2016,3,31,A
42459,10.883333,2016,4,1,A
42460,11.470833,2016,4,2,A
42461,11.435417,2016,4,3,A
42462,11.341667,2016,4,4,A
42463,10.639583,2016,4,5,A
42464,10.608333,2016,4,6,A
42465,11.365625,2016,4,7,A
42466,12.568750,2016,4,8,A
42467,12.522917,2016,4,9,A
42468,12.160417,2016,4,10,A
42469,11.875000,2016,4,11,A
42470,11.407292,2016,4,12,A
42471,10.964583,2016,4,13,A
42472,10.400000,2016,4,14,A
42473,10.122917,2016,4,15,A
42474,11.157292,2016,4,16,A
42475,12.361458,2016,4,17,A
42476,13.828125,2016,4,18,A
42477,15.470833,2016,4,19,A
42478,16.369792,2016,4,20,A
42479,15.759375,2016,4,21,A
42480,14.743750,2016,4,22,A
42481,11.954167,2016,4,23,A
42482,11.993750,2016,4,24,A
42483,11.167708,2016,4,25,A
42484,11.196875,2016,4,26,A
42485,11.529167,2016,4,27,A
