;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:21:30 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14205400 EAST FORK DAIRY CREEK NEAR MEACHAM CORNER, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14205400
;#            TS   parameter     Description
;#        117239       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14205400_temp_EAST FORK DAIRY CREEK NEAR MEACHAM CORNER, OR_23804986 
day_index,temp_C,Year,Month,Day,Quality
40953,5.711458,2012,2,16,A
40954,6.690625,2012,2,17,A
40955,6.186458,2012,2,18,A
40956,6.017708,2012,2,19,A
40957,6.378125,2012,2,20,A
40958,7.672917,2012,2,21,A
40959,7.747917,2012,2,22,A
40960,6.521875,2012,2,23,A
40961,6.595833,2012,2,24,A
40962,6.052083,2012,2,25,A
40963,5.742708,2012,2,26,A
40964,5.454167,2012,2,27,A
40965,5.076042,2012,2,28,A
40966,4.071875,2012,2,29,A
40967,4.916667,2012,3,1,A
40968,5.472917,2012,3,2,A
40969,6.061458,2012,3,3,A
40970,6.304167,2012,3,4,A
40971,6.288542,2012,3,5,A
40972,5.686458,2012,3,6,A
40973,5.630208,2012,3,7,A
40974,6.253125,2012,3,8,A
40975,6.655208,2012,3,9,A
40976,7.025000,2012,3,10,A
40977,6.670652,2012,3,11,A
40978,6.084375,2012,3,12,A
40979,5.698958,2012,3,13,A
40980,6.113542,2012,3,14,A
40981,7.339583,2012,3,15,A
40982,7.232292,2012,3,16,A
40983,6.989583,2012,3,17,A
40984,6.567708,2012,3,18,A
40985,6.035417,2012,3,19,A
40986,6.866304,2012,3,20,A
40987,6.282292,2012,3,21,A
40988,5.871875,2012,3,22,A
40989,6.544792,2012,3,23,A
40990,7.473958,2012,3,24,A
40991,7.982292,2012,3,25,A
40992,7.851042,2012,3,26,A
40993,8.095833,2012,3,27,A
40994,7.836458,2012,3,28,A
40995,7.667708,2012,3,29,A
40996,7.911458,2012,3,30,A
40997,7.510417,2012,3,31,A
40998,7.235417,2012,4,1,A
40999,7.993750,2012,4,2,A
41000,7.926042,2012,4,3,A
41001,7.151042,2012,4,4,A
41002,7.194792,2012,4,5,A
41003,7.097917,2012,4,6,A
41004,7.418750,2012,4,7,A
41005,8.794792,2012,4,8,A
41006,8.868750,2012,4,9,A
41007,9.373958,2012,4,10,A
41008,9.275000,2012,4,11,A
41009,8.770833,2012,4,12,A
41010,8.613542,2012,4,13,A
41011,8.688542,2012,4,14,A
41012,8.817708,2012,4,15,A
41013,9.646875,2012,4,16,A
41014,7.691667,2012,4,17,A
41015,8.802083,2012,4,18,A
41016,8.007292,2012,4,19,A
41017,9.073958,2012,4,20,A
41018,10.288542,2012,4,21,A
41019,11.484375,2012,4,22,A
41020,12.412500,2012,4,23,A
41021,11.348958,2012,4,24,A
41022,10.623958,2012,4,25,A
41023,10.060417,2012,4,26,A
41024,8.810417,2012,4,27,A
41025,9.606250,2012,4,28,A
41026,10.411458,2012,4,29,A
41027,10.058333,2012,4,30,A
41028,8.811458,2012,5,1,A
41029,8.362500,2012,5,2,A
41030,8.826042,2012,5,3,A
41031,8.657292,2012,5,4,A
41032,8.075000,2012,5,5,A
41033,8.921875,2012,5,6,A
41034,10.170833,2012,5,7,A
41035,10.820833,2012,5,8,A
41036,9.381250,2012,5,9,A
41037,8.545833,2012,5,10,A
41038,9.461458,2012,5,11,A
41039,10.482292,2012,5,12,A
41040,11.645833,2012,5,13,A
41041,12.717708,2012,5,14,A
41042,12.229167,2012,5,15,A
41043,11.587500,2012,5,16,A
41044,10.266667,2012,5,17,A
41045,9.626042,2012,5,18,A
41046,9.754167,2012,5,19,A
41047,10.460417,2012,5,20,A
41048,10.553125,2012,5,21,A
41049,9.960417,2012,5,22,A
41050,9.952083,2012,5,23,A
41051,9.603125,2012,5,24,A
41052,10.567708,2012,5,25,A
41053,11.469792,2012,5,26,A
41054,10.663542,2012,5,27,A
41055,10.758333,2012,5,28,A
41056,10.498958,2012,5,29,A
41057,11.267708,2012,5,30,A
41058,11.966667,2012,5,31,A
41059,12.254167,2012,6,1,A
41060,12.244792,2012,6,2,A
41061,10.811458,2012,6,3,A
41062,10.555208,2012,6,4,A
41063,10.517708,2012,6,5,A
41064,9.868750,2012,6,6,A
41065,10.812500,2012,6,7,A
41066,10.305208,2012,6,8,A
41067,9.591667,2012,6,9,A
41068,10.581250,2012,6,10,A
41069,11.588542,2012,6,11,A
41070,11.910417,2012,6,12,A
41071,11.651042,2012,6,13,A
41072,11.014583,2012,6,14,A
41073,11.813542,2012,6,15,A
41074,13.566667,2012,6,16,A
41075,13.676042,2012,6,17,A
41076,12.284375,2012,6,18,A
41077,11.415625,2012,6,19,A
41078,12.038542,2012,6,20,A
41079,13.465625,2012,6,21,A
41080,12.737500,2012,6,22,A
41081,11.787500,2012,6,23,A
41082,11.775000,2012,6,24,A
41083,11.593750,2012,6,25,A
41084,11.829167,2012,6,26,A
41085,11.862500,2012,6,27,A
41086,12.273958,2012,6,28,A
41087,12.908333,2012,6,29,A
41088,13.243750,2012,6,30,A
41089,12.803125,2012,7,1,A
41090,12.590625,2012,7,2,A
41091,12.638542,2012,7,3,A
41092,12.330208,2012,7,4,A
41093,13.223958,2012,7,5,A
41094,14.071875,2012,7,6,A
41095,14.792708,2012,7,7,A
41096,15.655208,2012,7,8,A
41097,15.621875,2012,7,9,A
41098,14.947917,2012,7,10,A
41099,15.770833,2012,7,11,A
41100,15.868750,2012,7,12,A
41101,15.276042,2012,7,13,A
