;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:22:29 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14206950 FANNO CREEK AT DURHAM, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14206950
;#            TS   parameter     Description
;#        117251       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14206950_temp_FANNO CREEK AT DURHAM, OR_23805270 
day_index,temp_C,Year,Month,Day,Quality
39354,13.200000,2007,10,1,A
39355,13.741667,2007,10,2,A
39356,13.608333,2007,10,3,A
39357,13.170833,2007,10,4,A
39358,12.470833,2007,10,5,A
39359,12.045833,2007,10,6,A
39360,12.745833,2007,10,7,A
39361,13.175000,2007,10,8,A
39362,12.962500,2007,10,9,A
39363,13.350000,2007,10,10,A
39364,12.983333,2007,10,11,A
39365,12.987500,2007,10,12,A
39366,12.941667,2007,10,13,A
39367,12.645833,2007,10,14,A
39368,12.625000,2007,10,15,A
39369,12.250000,2007,10,16,A
39370,0.000000,2007,10,17,Missing
39371,11.258333,2007,10,18,A
39372,12.095833,2007,10,19,A
39373,10.604167,2007,10,20,A
39374,11.029167,2007,10,21,A
39375,11.679167,2007,10,22,A
39376,11.825000,2007,10,23,A
39377,12.012500,2007,10,24,A
39378,11.008333,2007,10,25,A
39379,9.708333,2007,10,26,A
39380,9.441667,2007,10,27,A
39381,9.254167,2007,10,28,A
39382,9.195833,2007,10,29,A
39383,9.541667,2007,10,30,A
39384,8.729167,2007,10,31,A
39385,8.883333,2007,11,1,A
39386,8.216667,2007,11,2,A
39387,7.712500,2007,11,3,A
39388,8.300000,2007,11,4,A
39389,8.887500,2007,11,5,A
39390,8.837500,2007,11,6,A
39391,8.866667,2007,11,7,A
39392,8.958333,2007,11,8,A
39393,9.350000,2007,11,9,A
39394,10.454167,2007,11,10,A
39395,9.695833,2007,11,11,A
39396,9.558333,2007,11,12,A
39397,8.841667,2007,11,13,A
39398,0.000000,2007,11,14,Missing
39399,9.004167,2007,11,15,A
39400,10.720833,2007,11,16,A
39401,11.304167,2007,11,17,A
39402,10.387500,2007,11,18,A
39403,8.850000,2007,11,19,A
39404,8.729167,2007,11,20,A
39405,7.920833,2007,11,21,A
39406,6.529167,2007,11,22,A
39407,5.391667,2007,11,23,A
39408,4.970833,2007,11,24,A
39409,4.729167,2007,11,25,A
39410,4.312500,2007,11,26,A
39411,4.866667,2007,11,27,A
39412,5.658333,2007,11,28,A
39413,5.908333,2007,11,29,A
39414,6.345833,2007,11,30,A
39415,5.908333,2007,12,1,A
39416,6.158333,2007,12,2,A
39417,9.104167,2007,12,3,A
39418,10.954167,2007,12,4,A
39419,10.062500,2007,12,5,A
39420,9.754167,2007,12,6,A
39421,9.295833,2007,12,7,A
39422,8.254167,2007,12,8,A
39423,6.533333,2007,12,9,A
39424,6.229167,2007,12,10,A
39425,5.537500,2007,12,11,A
39426,5.462500,2007,12,12,A
39427,5.278261,2007,12,13,A
39428,5.491667,2007,12,14,A
39429,6.204167,2007,12,15,A
39430,6.445833,2007,12,16,A
39431,6.750000,2007,12,17,A
39432,7.112500,2007,12,18,A
39433,7.604167,2007,12,19,A
39434,7.387500,2007,12,20,A
39435,6.725000,2007,12,21,A
39436,6.441667,2007,12,22,A
39437,7.641667,2007,12,23,A
39438,7.837500,2007,12,24,A
39439,6.595833,2007,12,25,A
39440,5.766667,2007,12,26,A
39441,5.791667,2007,12,27,A
39442,6.045833,2007,12,28,A
39443,7.058333,2007,12,29,A
39444,6.583333,2007,12,30,A
39445,5.795833,2007,12,31,A
39446,5.554167,2008,1,1,A
39447,5.508333,2008,1,2,A
39448,6.608333,2008,1,3,A
39449,7.304167,2008,1,4,A
39450,6.787500,2008,1,5,A
39451,6.504167,2008,1,6,A
39452,6.425000,2008,1,7,A
39453,5.620833,2008,1,8,A
39454,6.225000,2008,1,9,A
39455,7.100000,2008,1,10,A
39456,8.166667,2008,1,11,A
39457,8.404167,2008,1,12,A
39458,8.066667,2008,1,13,A
39459,7.616667,2008,1,14,A
39460,6.316667,2008,1,15,A
39461,5.658333,2008,1,16,A
39462,4.995833,2008,1,17,A
39463,5.112500,2008,1,18,A
39464,5.208333,2008,1,19,A
39465,5.575000,2008,1,20,A
39466,4.112500,2008,1,21,A
39467,2.487500,2008,1,22,A
39468,1.883333,2008,1,23,A
39469,1.779167,2008,1,24,A
39470,1.970833,2008,1,25,A
39471,2.395833,2008,1,26,A
39472,3.187500,2008,1,27,A
39473,4.112500,2008,1,28,A
39474,4.429167,2008,1,29,A
39475,4.420833,2008,1,30,A
39476,5.216667,2008,1,31,A
39477,5.733333,2008,2,1,A
39478,5.150000,2008,2,2,A
39479,5.366667,2008,2,3,A
39480,5.700000,2008,2,4,A
39481,6.070833,2008,2,5,A
39482,5.866667,2008,2,6,A
39483,5.783333,2008,2,7,A
39484,6.733333,2008,2,8,A
39485,7.487500,2008,2,9,A
39486,8.383333,2008,2,10,A
39487,8.183333,2008,2,11,A
39488,7.737500,2008,2,12,A
39489,7.404167,2008,2,13,A
39490,7.025000,2008,2,14,A
39491,6.870833,2008,2,15,A
39492,6.937500,2008,2,16,A
39493,6.533333,2008,2,17,A
39494,6.812500,2008,2,18,A
39495,6.808333,2008,2,19,A
39496,7.637500,2008,2,20,A
39497,7.545833,2008,2,21,A
39498,7.833333,2008,2,22,A
39499,7.358333,2008,2,23,A
39500,7.958333,2008,2,24,A
39501,8.725000,2008,2,25,A
39502,8.508333,2008,2,26,A
39503,8.670833,2008,2,27,A
39504,0.000000,2008,2,28,Missing
39505,9.629167,2008,2,29,A
39506,9.387500,2008,3,1,A
39507,8.358333,2008,3,2,A
39508,7.808333,2008,3,3,A
39509,7.766667,2008,3,4,A
39510,7.808333,2008,3,5,A
39511,7.666667,2008,3,6,A
39512,7.541667,2008,3,7,A
39513,8.279167,2008,3,8,A
39514,8.743478,2008,3,9,A
39515,9.825000,2008,3,10,A
39516,10.354167,2008,3,11,A
39517,9.870833,2008,3,12,A
39518,9.458333,2008,3,13,A
39519,8.879167,2008,3,14,A
39520,8.875000,2008,3,15,A
39521,8.716667,2008,3,16,A
39522,8.600000,2008,3,17,A
39523,9.487500,2008,3,18,A
39524,9.495833,2008,3,19,A
39525,9.254167,2008,3,20,A
39526,8.487500,2008,3,21,A
39527,8.358333,2008,3,22,A
39528,9.079167,2008,3,23,A
39529,8.912500,2008,3,24,A
39530,8.437500,2008,3,25,A
39531,8.079167,2008,3,26,A
39532,7.758333,2008,3,27,A
39533,7.662500,2008,3,28,A
39534,7.162500,2008,3,29,A
39535,7.004167,2008,3,30,A
39536,7.483333,2008,3,31,A
39537,8.137500,2008,4,1,A
39538,8.666667,2008,4,2,A
39539,9.233333,2008,4,3,A
39540,9.475000,2008,4,4,A
39541,9.658333,2008,4,5,A
39542,9.758333,2008,4,6,A
39543,9.812500,2008,4,7,A
39544,9.870833,2008,4,8,A
39545,9.758333,2008,4,9,A
39546,10.145833,2008,4,10,A
39547,10.545833,2008,4,11,A
39548,12.445833,2008,4,12,A
39549,13.750000,2008,4,13,A
39550,12.829167,2008,4,14,A
39551,0.000000,2008,4,15,Missing
39552,10.325000,2008,4,16,A
39553,10.712500,2008,4,17,A
39554,10.608333,2008,4,18,A
39555,9.470833,2008,4,19,A
39556,8.891667,2008,4,20,A
39557,9.033333,2008,4,21,A
39558,9.012500,2008,4,22,A
39559,8.929167,2008,4,23,A
39560,9.133333,2008,4,24,A
39561,9.579167,2008,4,25,A
39562,10.920833,2008,4,26,A
39563,12.345833,2008,4,27,A
39564,13.287500,2008,4,28,A
39565,12.275000,2008,4,29,A
39566,11.808333,2008,4,30,A
39567,11.625000,2008,5,1,A
39568,12.791667,2008,5,2,A
39569,13.537500,2008,5,3,A
39570,13.475000,2008,5,4,A
39571,14.841667,2008,5,5,A
39572,14.675000,2008,5,6,A
39573,13.141667,2008,5,7,A
39574,12.170833,2008,5,8,A
39575,12.141667,2008,5,9,A
39576,12.687500,2008,5,10,A
39577,12.600000,2008,5,11,A
39578,12.212500,2008,5,12,A
39579,12.470833,2008,5,13,A
39580,13.695833,2008,5,14,A
39581,16.070833,2008,5,15,A
39582,18.233333,2008,5,16,A
39583,19.966667,2008,5,17,A
39584,20.300000,2008,5,18,A
39585,19.945833,2008,5,19,A
39586,18.254167,2008,5,20,A
39587,16.175000,2008,5,21,A
39588,14.170833,2008,5,22,A
39589,13.133333,2008,5,23,A
39590,14.370833,2008,5,24,A
39591,15.112500,2008,5,25,A
39592,14.816667,2008,5,26,A
39593,15.095833,2008,5,27,A
39594,15.037500,2008,5,28,A
39595,14.445833,2008,5,29,A
39596,15.141667,2008,5,30,A
39597,15.770833,2008,5,31,A
39598,15.358333,2008,6,1,A
39599,14.950000,2008,6,2,A
39600,14.508333,2008,6,3,A
39601,14.612500,2008,6,4,A
39602,0.000000,2008,6,5,Missing
39603,12.833333,2008,6,6,A
39604,12.745833,2008,6,7,A
39605,13.870833,2008,6,8,A
39606,14.516667,2008,6,9,A
39607,13.054167,2008,6,10,A
39608,12.925000,2008,6,11,A
39609,13.462500,2008,6,12,A
39610,15.033333,2008,6,13,A
39611,15.504167,2008,6,14,A
39612,15.937500,2008,6,15,A
39613,16.570833,2008,6,16,A
39614,16.300000,2008,6,17,A
39615,15.562500,2008,6,18,A
39616,16.033333,2008,6,19,A
39617,17.245833,2008,6,20,A
39618,17.854167,2008,6,21,A
39619,17.483333,2008,6,22,A
39620,16.637500,2008,6,23,A
39621,16.612500,2008,6,24,A
39622,17.650000,2008,6,25,A
39623,17.104167,2008,6,26,A
39624,18.054167,2008,6,27,A
39625,19.941667,2008,6,28,A
39626,21.425000,2008,6,29,A
39627,21.891667,2008,6,30,A
39628,21.545833,2008,7,1,A
39629,0.000000,2008,7,2,Missing
39630,21.054167,2008,7,3,A
39631,20.558333,2008,7,4,A
39632,19.366667,2008,7,5,A
39633,19.204167,2008,7,6,A
39634,19.116667,2008,7,7,A
39635,19.866667,2008,7,8,A
39636,20.816667,2008,7,9,A
39637,20.620833,2008,7,10,A
39638,19.595833,2008,7,11,A
39639,19.958333,2008,7,12,A
39640,20.816667,2008,7,13,A
39641,21.233333,2008,7,14,A
39642,21.420833,2008,7,15,A
39643,21.083333,2008,7,16,A
39644,20.433333,2008,7,17,A
39645,19.387500,2008,7,18,A
39646,18.304167,2008,7,19,A
39647,18.587500,2008,7,20,A
39648,19.287500,2008,7,21,A
39649,18.416667,2008,7,22,A
39650,17.545833,2008,7,23,A
39651,17.837500,2008,7,24,A
39652,18.912500,2008,7,25,A
39653,19.229167,2008,7,26,A
39654,19.445833,2008,7,27,A
39655,18.812500,2008,7,28,A
39656,18.375000,2008,7,29,A
39657,0.000000,2008,7,30,Missing
39658,17.637500,2008,7,31,A
39659,18.079167,2008,8,1,A
39660,17.358333,2008,8,2,A
39661,16.816667,2008,8,3,A
39662,17.779167,2008,8,4,A
39663,19.412500,2008,8,5,A
39664,20.008333,2008,8,6,A
39665,19.904167,2008,8,7,A
39666,19.950000,2008,8,8,A
39667,19.179167,2008,8,9,A
39668,18.479167,2008,8,10,A
39669,19.275000,2008,8,11,A
39670,19.916667,2008,8,12,A
39671,20.170833,2008,8,13,A
39672,20.883333,2008,8,14,A
39673,22.120833,2008,8,15,A
39674,22.883333,2008,8,16,A
39675,22.920833,2008,8,17,A
39676,20.479167,2008,8,18,A
39677,19.908333,2008,8,19,A
39678,18.720833,2008,8,20,A
39679,18.487500,2008,8,21,A
39680,18.433333,2008,8,22,A
39681,18.862500,2008,8,23,A
39682,19.012500,2008,8,24,A
39683,18.937500,2008,8,25,A
39684,18.025000,2008,8,26,A
39685,18.008333,2008,8,27,A
39686,0.000000,2008,8,28,Missing
39687,18.833333,2008,8,29,A
39688,17.833333,2008,8,30,A
39689,16.087500,2008,8,31,A
39690,15.408333,2008,9,1,A
39691,15.266667,2008,9,2,A
39692,15.550000,2008,9,3,A
39693,15.979167,2008,9,4,A
39694,16.625000,2008,9,5,A
39695,17.237500,2008,9,6,A
39696,17.608333,2008,9,7,A
39697,17.879167,2008,9,8,A
39698,17.791667,2008,9,9,A
39699,16.891667,2008,9,10,A
39700,16.708333,2008,9,11,A
39701,17.133333,2008,9,12,A
39702,16.733333,2008,9,13,A
39703,16.791667,2008,9,14,A
39704,17.033333,2008,9,15,A
39705,17.229167,2008,9,16,A
39706,17.700000,2008,9,17,A
39707,16.825000,2008,9,18,A
39708,16.283333,2008,9,19,A
39709,15.845833,2008,9,20,A
39710,15.629167,2008,9,21,A
39711,15.808333,2008,9,22,A
39712,0.000000,2008,9,23,Missing
39713,14.245833,2008,9,24,A
39714,14.787500,2008,9,25,A
39715,14.300000,2008,9,26,A
39716,14.262500,2008,9,27,A
39717,14.354167,2008,9,28,A
39718,15.258333,2008,9,29,A
39719,15.945833,2008,9,30,A
39720,15.733333,2008,10,1,A
