;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:24:27 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14209500 CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14209500
;#            TS   parameter     Description
;#        253715       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     P  Provisional data subject to revision.
;# 
;USGS 14209500_temp_CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR_23809158 
day_index,temp_C,Year,Month,Day,Quality
43635,10.769444,2019,6,21,P
43636,11.158333,2019,6,22,P
43637,12.004167,2019,6,23,P
43638,12.038542,2019,6,24,P
43639,11.700000,2019,6,25,P
43640,11.320833,2019,6,26,P
43641,10.139583,2019,6,27,P
43642,10.587500,2019,6,28,P
43643,11.226042,2019,6,29,P
43644,11.903125,2019,6,30,P
43645,11.786458,2019,7,1,P
43646,10.877778,2019,7,2,P
43647,10.836458,2019,7,3,P
43648,11.560417,2019,7,4,P
43649,12.359375,2019,7,5,P
43650,12.625000,2019,7,6,P
43651,12.643750,2019,7,7,P
43652,12.342708,2019,7,8,P
43653,11.812500,2019,7,9,P
43654,11.728125,2019,7,10,P
43655,12.635417,2019,7,11,P
43656,13.068750,2019,7,12,P
43657,13.423958,2019,7,13,P
43658,13.314583,2019,7,14,P
43659,12.736458,2019,7,15,P
43660,12.678125,2019,7,16,P
43661,12.581250,2019,7,17,P
43662,12.363542,2019,7,18,P
43663,12.302083,2019,7,19,P
43664,12.220652,2019,7,20,P
43665,12.679167,2019,7,21,P
43666,13.361458,2019,7,22,P
43667,13.608333,2019,7,23,P
43668,13.467708,2019,7,24,P
43669,13.189583,2019,7,25,P
43670,13.453125,2019,7,26,P
43671,13.487500,2019,7,27,P
43672,13.214583,2019,7,28,P
43673,13.257292,2019,7,29,P
43674,13.519792,2019,7,30,P
43675,13.214583,2019,7,31,P
43676,13.434375,2019,8,1,P
43677,13.572917,2019,8,2,P
43678,13.831250,2019,8,3,P
43679,13.975000,2019,8,4,P
43680,14.062500,2019,8,5,P
43681,14.240625,2019,8,6,P
43682,14.322917,2019,8,7,P
43683,13.973958,2019,8,8,P
43684,13.830208,2019,8,9,P
43685,13.098958,2019,8,10,P
43686,12.205208,2019,8,11,P
43687,12.065625,2019,8,12,P
43688,12.606250,2019,8,13,P
43689,12.980208,2019,8,14,P
43690,13.213542,2019,8,15,P
43691,13.206250,2019,8,16,P
43692,12.793750,2019,8,17,P
43693,12.719792,2019,8,18,P
43694,12.805208,2019,8,19,P
43695,12.835417,2019,8,20,P
43696,12.338542,2019,8,21,P
43697,12.067708,2019,8,22,P
43698,12.062500,2019,8,23,P
43699,12.107292,2019,8,24,P
43700,12.472917,2019,8,25,P
43701,12.059375,2019,8,26,P
43702,12.187500,2019,8,27,P
43703,12.546875,2019,8,28,P
43704,12.520833,2019,8,29,P
43705,12.478125,2019,8,30,P
43706,12.561458,2019,8,31,P
43707,12.516667,2019,9,1,P
43708,12.120833,2019,9,2,P
43709,11.986458,2019,9,3,P
43710,12.113542,2019,9,4,P
43711,11.934375,2019,9,5,P
43712,12.069792,2019,9,6,P
43713,11.904167,2019,9,7,P
43714,11.425000,2019,9,8,P
43715,10.958333,2019,9,9,P
43716,10.786316,2019,9,10,P
43717,10.816667,2019,9,11,P
43718,10.934375,2019,9,12,P
43719,11.010417,2019,9,13,P
43720,11.088542,2019,9,14,P
43721,10.570833,2019,9,15,P
43722,10.220833,2019,9,16,P
43723,9.987500,2019,9,17,P
43724,10.363542,2019,9,18,P
43725,10.455208,2019,9,19,P
43726,10.441667,2019,9,20,P
43727,10.613542,2019,9,21,P
43728,10.316667,2019,9,22,P
43729,10.360417,2019,9,23,P
43730,10.828125,2019,9,24,P
43731,10.694792,2019,9,25,P
43732,9.939583,2019,9,26,P
43733,9.877083,2019,9,27,P
43734,9.270833,2019,9,28,P
43735,8.401042,2019,9,29,P
43736,8.058333,2019,9,30,P
43737,7.718750,2019,10,1,P
43738,7.385417,2019,10,2,P
43739,8.181250,2019,10,3,P
43740,8.613542,2019,10,4,P
43741,8.676042,2019,10,5,P
43742,8.346875,2019,10,6,P
43743,8.375000,2019,10,7,P
43744,8.893750,2019,10,8,P
43745,8.326042,2019,10,9,P
43746,7.311458,2019,10,10,P
43747,7.078125,2019,10,11,P
43748,7.334375,2019,10,12,P
43749,8.164583,2019,10,13,P
43750,8.525000,2019,10,14,P
43751,8.228125,2019,10,15,P
43752,8.406250,2019,10,16,P
43753,8.753125,2019,10,17,P
43754,8.551042,2019,10,18,P
43755,8.168750,2019,10,19,P
43756,7.734375,2019,10,20,P
43757,8.311458,2019,10,21,P
43758,8.998958,2019,10,22,P
43759,8.728125,2019,10,23,P
43760,7.673958,2019,10,24,P
43761,7.904167,2019,10,25,P
43762,8.062500,2019,10,26,P
43763,6.990625,2019,10,27,P
43764,5.845833,2019,10,28,P
43765,4.803125,2019,10,29,P
43766,3.976042,2019,10,30,P
43767,4.272917,2019,10,31,P
43768,4.747917,2019,11,1,P
43769,5.017708,2019,11,2,P
43770,5.308000,2019,11,3,P
43771,5.585417,2019,11,4,P
43772,5.648958,2019,11,5,P
43773,5.742708,2019,11,6,P
43774,5.890625,2019,11,7,P
43775,5.813542,2019,11,8,P
43776,5.940625,2019,11,9,P
43777,6.944792,2019,11,10,P
43778,7.238542,2019,11,11,P
43779,6.856250,2019,11,12,P
43780,7.292708,2019,11,13,P
43781,7.173958,2019,11,14,P
43782,6.939583,2019,11,15,P
43783,7.170833,2019,11,16,P
43784,7.331250,2019,11,17,P
43785,7.628125,2019,11,18,P
43786,7.631250,2019,11,19,P
43787,7.323958,2019,11,20,P
43788,6.153125,2019,11,21,P
43789,5.287500,2019,11,22,P
43790,4.847917,2019,11,23,P
43791,5.231250,2019,11,24,P
43792,5.651042,2019,11,25,P
43793,5.145833,2019,11,26,P
43794,4.759375,2019,11,27,P
43795,4.255208,2019,11,28,P
43796,3.593750,2019,11,29,P
43797,2.919792,2019,11,30,P
43798,3.028125,2019,12,1,P
43799,3.567708,2019,12,2,P
43800,3.778125,2019,12,3,P
43801,4.339583,2019,12,4,P
43802,4.615625,2019,12,5,P
43803,4.614583,2019,12,6,P
43804,5.136458,2019,12,7,P
43805,5.663542,2019,12,8,P
43806,5.717708,2019,12,9,P
43807,4.919792,2019,12,10,P
43808,5.167708,2019,12,11,P
43809,5.472917,2019,12,12,P
43810,5.356250,2019,12,13,P
43811,5.380208,2019,12,14,P
43812,5.187500,2019,12,15,P
43813,4.600000,2019,12,16,P
43814,4.075000,2019,12,17,P
43815,4.066667,2019,12,18,P
43816,4.436458,2019,12,19,P
43817,5.879167,2019,12,20,P
43818,6.277083,2019,12,21,P
43819,5.896875,2019,12,22,P
43820,5.725000,2019,12,23,P
43821,4.993750,2019,12,24,P
43822,4.480208,2019,12,25,P
43823,4.334375,2019,12,26,P
43824,4.172917,2019,12,27,P
43825,4.544792,2019,12,28,P
43826,4.842708,2019,12,29,P
43827,4.647917,2019,12,30,P
43828,4.988542,2019,12,31,P
43829,5.939583,2020,1,1,P
43830,5.725000,2020,1,2,P
43831,5.525000,2020,1,3,P
43832,5.331250,2020,1,4,P
43833,4.895833,2020,1,5,P
43834,4.911458,2020,1,6,P
43835,5.591667,2020,1,7,P
43836,5.447917,2020,1,8,P
43837,4.622917,2020,1,9,P
43838,4.633333,2020,1,10,P
43839,4.779167,2020,1,11,P
43840,4.594792,2020,1,12,P
43841,4.059375,2020,1,13,P
43842,3.832292,2020,1,14,P
43843,3.335417,2020,1,15,P
43844,3.712500,2020,1,16,P
43845,3.881250,2020,1,17,P
43846,3.995833,2020,1,18,P
43847,4.213542,2020,1,19,P
43848,4.388542,2020,1,20,P
43849,4.687500,2020,1,21,P
43850,4.800000,2020,1,22,P
43851,5.002083,2020,1,23,P
43852,5.140625,2020,1,24,P
43853,5.246875,2020,1,25,P
43854,5.427083,2020,1,26,P
43855,5.234375,2020,1,27,P
43856,5.364583,2020,1,28,P
43857,5.414583,2020,1,29,P
43858,5.293750,2020,1,30,P
43859,5.840625,2020,1,31,P
43860,5.823958,2020,2,1,P
43861,4.710417,2020,2,2,P
43862,4.130208,2020,2,3,P
43863,3.898958,2020,2,4,P
43864,4.384375,2020,2,5,P
43865,5.356250,2020,2,6,P
43866,5.602083,2020,2,7,P
43867,4.966667,2020,2,8,P
43868,4.616667,2020,2,9,P
43869,4.581250,2020,2,10,P
43870,4.555208,2020,2,11,P
43871,5.014583,2020,2,12,P
43872,4.446875,2020,2,13,P
43873,4.892708,2020,2,14,P
43874,4.972917,2020,2,15,P
43875,4.713542,2020,2,16,P
43876,4.681250,2020,2,17,P
43877,4.258333,2020,2,18,P
43878,3.908333,2020,2,19,P
43879,3.914583,2020,2,20,P
43880,4.040625,2020,2,21,P
43881,4.284375,2020,2,22,P
43882,4.486458,2020,2,23,P
43883,4.465625,2020,2,24,P
43884,4.528125,2020,2,25,P
43885,5.033333,2020,2,26,P
43886,4.875000,2020,2,27,P
43887,4.832292,2020,2,28,P
43888,4.994792,2020,2,29,P
43889,4.639583,2020,3,1,P
43890,4.754167,2020,3,2,P
43891,5.580208,2020,3,3,P
43892,5.958333,2020,3,4,P
43893,5.430208,2020,3,5,P
43894,5.416667,2020,3,6,P
43895,5.667708,2020,3,7,P
43896,5.429348,2020,3,8,P
43897,5.281250,2020,3,9,P
43898,5.002083,2020,3,10,P
43899,5.222917,2020,3,11,P
43900,5.235417,2020,3,12,P
43901,4.651042,2020,3,13,P
43902,4.356250,2020,3,14,P
43903,3.531250,2020,3,15,P
43904,3.763542,2020,3,16,P
43905,4.384375,2020,3,17,P
43906,4.951042,2020,3,18,P
43907,5.202083,2020,3,19,P
43908,5.556250,2020,3,20,P
43909,5.742708,2020,3,21,P
43910,5.650000,2020,3,22,P
43911,5.819792,2020,3,23,P
43912,5.592708,2020,3,24,P
43913,5.214583,2020,3,25,P
43914,5.286458,2020,3,26,P
43915,5.529167,2020,3,27,P
43916,6.105208,2020,3,28,P
43917,6.542708,2020,3,29,P
43918,5.695833,2020,3,30,P
43919,4.214583,2020,3,31,P
43920,4.678125,2020,4,1,P
43921,5.159375,2020,4,2,P
43922,5.225000,2020,4,3,P
43923,5.419792,2020,4,4,P
43924,5.948958,2020,4,5,P
43925,6.252083,2020,4,6,P
43926,6.559375,2020,4,7,P
43927,6.472917,2020,4,8,P
43928,6.715625,2020,4,9,P
43929,6.990625,2020,4,10,P
43930,7.354167,2020,4,11,P
43931,6.414583,2020,4,12,P
43932,6.052083,2020,4,13,P
43933,6.335417,2020,4,14,P
43934,6.944792,2020,4,15,P
43935,7.150000,2020,4,16,P
43936,6.810417,2020,4,17,P
43937,6.692708,2020,4,18,P
43938,7.032292,2020,4,19,P
43939,7.605208,2020,4,20,P
43940,7.844792,2020,4,21,P
43941,7.297917,2020,4,22,P
43942,7.525000,2020,4,23,P
43943,7.258333,2020,4,24,P
43944,7.303125,2020,4,25,P
43945,7.292708,2020,4,26,P
43946,7.880208,2020,4,27,P
43947,8.194792,2020,4,28,P
43948,8.221875,2020,4,29,P
43949,8.214583,2020,4,30,P
43950,7.076042,2020,5,1,P
43951,7.416667,2020,5,2,P
43952,7.179167,2020,5,3,P
43953,7.231250,2020,5,4,P
43954,8.167708,2020,5,5,P
43955,8.506250,2020,5,6,P
43956,7.894792,2020,5,7,P
43957,8.810417,2020,5,8,P
43958,9.693750,2020,5,9,P
43959,10.082292,2020,5,10,P
43960,9.679167,2020,5,11,P
43961,8.934375,2020,5,12,P
43962,8.540625,2020,5,13,P
43963,8.302083,2020,5,14,P
43964,8.735417,2020,5,15,P
43965,8.854167,2020,5,16,P
43966,8.956250,2020,5,17,P
43967,8.908333,2020,5,18,P
43968,8.514583,2020,5,19,P
43969,8.344792,2020,5,20,P
43970,8.397917,2020,5,21,P
43971,7.970833,2020,5,22,P
43972,8.508333,2020,5,23,P
43973,9.281250,2020,5,24,P
43974,9.427083,2020,5,25,P
43975,10.034375,2020,5,26,P
43976,10.988542,2020,5,27,P
43977,11.406250,2020,5,28,P
43978,11.884375,2020,5,29,P
43979,11.542708,2020,5,30,P
43980,10.301042,2020,5,31,P
43981,10.473958,2020,6,1,P
43982,10.546875,2020,6,2,P
43983,10.694792,2020,6,3,P
43984,11.252083,2020,6,4,P
43985,10.971875,2020,6,5,P
43986,10.052083,2020,6,6,P
43987,9.312500,2020,6,7,P
43988,9.132292,2020,6,8,P
43989,9.356250,2020,6,9,P
43990,10.577083,2020,6,10,P
43991,11.633333,2020,6,11,P
43992,11.077083,2020,6,12,P
43993,10.018750,2020,6,13,P
43994,9.706250,2020,6,14,P
43995,9.655208,2020,6,15,P
43996,9.140625,2020,6,16,P
43997,9.512500,2020,6,17,P
43998,10.334375,2020,6,18,P
43999,11.273958,2020,6,19,P
44000,11.502083,2020,6,20,P
44001,11.691667,2020,6,21,P
44002,12.335417,2020,6,22,P
44003,12.916667,2020,6,23,P
44004,13.162500,2020,6,24,P
44005,13.191667,2020,6,25,P
44006,13.657292,2020,6,26,P
44007,13.760417,2020,6,27,P
44008,12.111458,2020,6,28,P
44009,11.145833,2020,6,29,P
44010,11.572917,2020,6,30,P
44011,11.028125,2020,7,1,P
44012,11.312500,2020,7,2,P
44013,12.237500,2020,7,3,P
44014,12.470833,2020,7,4,P
44015,12.782292,2020,7,5,P
44016,12.842708,2020,7,6,P
44017,12.239583,2020,7,7,P
44018,12.116667,2020,7,8,P
44019,12.052083,2020,7,9,P
44020,12.467708,2020,7,10,P
44021,13.270833,2020,7,11,P
44022,13.431250,2020,7,12,P
44023,13.192708,2020,7,13,P
44024,12.964583,2020,7,14,P
44025,13.230208,2020,7,15,P
44026,13.831250,2020,7,16,P
44027,14.096875,2020,7,17,P
44028,13.853125,2020,7,18,P
44029,14.018750,2020,7,19,P
44030,14.333333,2020,7,20,P
44031,14.716667,2020,7,21,P
44032,14.566667,2020,7,22,P
44033,14.265625,2020,7,23,P
44034,13.668750,2020,7,24,P
44035,13.255208,2020,7,25,P
44036,13.567708,2020,7,26,P
44037,13.927083,2020,7,27,P
44038,14.423958,2020,7,28,P
44039,14.436458,2020,7,29,P
44040,14.737500,2020,7,30,P
44041,15.015625,2020,7,31,P
44042,14.663542,2020,8,1,P
44043,14.064583,2020,8,2,P
44044,14.123958,2020,8,3,P
44045,14.022917,2020,8,4,P
44046,14.059375,2020,8,5,P
44047,13.282292,2020,8,6,P
44048,12.532292,2020,8,7,P
44049,12.638542,2020,8,8,P
44050,12.875000,2020,8,9,P
44051,13.208333,2020,8,10,P
44052,13.365625,2020,8,11,P
44053,12.634375,2020,8,12,P
44054,12.001042,2020,8,13,P
44055,11.965625,2020,8,14,P
44056,12.533333,2020,8,15,P
44057,12.965625,2020,8,16,P
44058,13.408333,2020,8,17,P
44059,14.067708,2020,8,18,P
44060,14.165625,2020,8,19,P
44061,14.020833,2020,8,20,P
44062,13.387500,2020,8,21,P
44063,13.246875,2020,8,22,P
44064,13.293750,2020,8,23,P
44065,13.054167,2020,8,24,P
44066,12.578125,2020,8,25,P
44067,12.307292,2020,8,26,P
44068,12.233333,2020,8,27,P
44069,12.094792,2020,8,28,P
44070,11.951042,2020,8,29,P
44071,11.537500,2020,8,30,P
44072,11.754167,2020,8,31,P
44073,12.069792,2020,9,1,P
44074,12.418750,2020,9,2,P
44075,12.423958,2020,9,3,P
44076,12.673958,2020,9,4,P
44077,12.743750,2020,9,5,P
