;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:24:43 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14210000 CLACKAMAS RIVER AT ESTACADA, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14210000
;#            TS   parameter     Description
;#        117300       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;# 
;USGS 14210000_temp_CLACKAMAS RIVER AT ESTACADA, OR_23809080 
day_index,temp_C,Year,Month,Day,Quality
39354,11.702174,2007,10,1,A
39355,11.364583,2007,10,2,A
39356,11.062500,2007,10,3,A
39357,10.860417,2007,10,4,A
39358,10.747917,2007,10,5,A
39359,10.452083,2007,10,6,A
39360,10.402083,2007,10,7,A
39361,10.452083,2007,10,8,A
39362,10.316667,2007,10,9,A
39363,10.320833,2007,10,10,A
39364,10.450000,2007,10,11,A
39365,10.518750,2007,10,12,A
39366,10.685417,2007,10,13,A
39367,10.585417,2007,10,14,A
39368,10.561702,2007,10,15,A
39369,10.470833,2007,10,16,A
39370,10.315217,2007,10,17,A
39371,10.208333,2007,10,18,A
39372,9.889583,2007,10,19,A
39373,9.383333,2007,10,20,A
39374,8.727083,2007,10,21,A
39375,8.320833,2007,10,22,A
39376,8.543750,2007,10,23,A
39377,8.633333,2007,10,24,A
39378,8.497917,2007,10,25,A
39379,8.487500,2007,10,26,A
39380,8.495833,2007,10,27,A
39381,8.375000,2007,10,28,A
39382,7.836364,2007,10,29,A
39383,0.000000,2007,10,30,Missing
39384,0.000000,2007,10,31,Missing
39385,7.471739,2007,11,1,A
39386,7.504167,2007,11,2,A
39387,7.316667,2007,11,3,A
39388,7.298000,2007,11,4,A
39389,7.400000,2007,11,5,A
39390,7.118750,2007,11,6,A
39391,6.902083,2007,11,7,A
39392,6.941304,2007,11,8,A
39393,7.095833,2007,11,9,A
39394,7.168085,2007,11,10,A
39395,7.117021,2007,11,11,A
39396,7.002128,2007,11,12,A
39397,7.152083,2007,11,13,A
39398,7.079167,2007,11,14,A
39399,7.329167,2007,11,15,A
39400,7.135417,2007,11,16,A
39401,7.206383,2007,11,17,A
39402,8.162500,2007,11,18,A
39403,7.850000,2007,11,19,A
39404,6.291667,2007,11,20,A
39405,6.014583,2007,11,21,A
39406,5.922917,2007,11,22,A
39407,5.454167,2007,11,23,A
39408,4.954167,2007,11,24,A
39409,4.558333,2007,11,25,A
39410,3.987500,2007,11,26,A
39411,3.845833,2007,11,27,A
39412,3.831250,2007,11,28,A
39413,3.860417,2007,11,29,A
39414,4.133333,2007,11,30,A
39415,4.312500,2007,12,1,A
39416,4.554167,2007,12,2,A
39417,5.072917,2007,12,3,A
39418,6.477083,2007,12,4,A
39419,6.637500,2007,12,5,A
39420,6.666667,2007,12,6,A
39421,6.489583,2007,12,7,A
39422,6.133333,2007,12,8,A
39423,5.622917,2007,12,9,A
39424,4.979167,2007,12,10,A
39425,0.000000,2007,12,11,Missing
39426,4.245833,2007,12,12,A
39427,4.062500,2007,12,13,A
39428,3.985417,2007,12,14,A
39429,4.283333,2007,12,15,A
39430,4.400000,2007,12,16,A
39431,4.506250,2007,12,17,A
39432,4.743750,2007,12,18,A
39433,4.833333,2007,12,19,A
39434,4.989583,2007,12,20,A
39435,5.137500,2007,12,21,A
39436,4.912500,2007,12,22,A
39437,4.729167,2007,12,23,A
39438,5.083333,2007,12,24,A
39439,5.085417,2007,12,25,A
39440,4.756250,2007,12,26,A
39441,4.208333,2007,12,27,A
39442,4.137500,2007,12,28,A
39443,4.045833,2007,12,29,A
39444,3.910417,2007,12,30,A
39445,4.210417,2007,12,31,A
39446,4.183333,2008,1,1,A
39447,3.850000,2008,1,2,A
39448,3.706250,2008,1,3,A
39449,3.714583,2008,1,4,A
39450,4.150000,2008,1,5,A
39451,4.583333,2008,1,6,A
39452,4.566667,2008,1,7,A
39453,4.137500,2008,1,8,A
39454,3.931250,2008,1,9,A
39455,3.827083,2008,1,10,A
39456,4.433333,2008,1,11,A
