;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:25:57 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14211400 JOHNSON CREEK AT REGNER ROAD, AT GRESHAM, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14211400
;#            TS   parameter     Description
;#        117325       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14211400_temp_JOHNSON CREEK AT REGNER ROAD, AT GRESHAM, OR_23815070 
day_index,temp_C,Year,Month,Day,Quality
39354,12.898913,2007,10,1,A
39355,13.009375,2007,10,2,A
39356,12.757292,2007,10,3,A
39357,12.202083,2007,10,4,A
39358,11.345833,2007,10,5,A
39359,10.629167,2007,10,6,A
39360,12.225000,2007,10,7,A
39361,12.810417,2007,10,8,A
39362,12.826042,2007,10,9,A
39363,13.039583,2007,10,10,A
39364,11.983333,2007,10,11,A
39365,12.478125,2007,10,12,A
39366,12.209375,2007,10,13,A
39367,11.488542,2007,10,14,A
39368,12.166667,2007,10,15,A
39369,11.333333,2007,10,16,A
39370,10.481250,2007,10,17,A
39371,10.903125,2007,10,18,A
39372,12.115625,2007,10,19,A
39373,11.268750,2007,10,20,A
39374,11.998958,2007,10,21,A
39375,12.086458,2007,10,22,A
39376,11.911458,2007,10,23,A
39377,11.697917,2007,10,24,A
39378,9.876042,2007,10,25,A
39379,8.578125,2007,10,26,A
39380,8.954167,2007,10,27,A
39381,8.468750,2007,10,28,A
39382,8.552083,2007,10,29,A
39383,9.527083,2007,10,30,A
39384,7.808333,2007,10,31,A
39385,8.177083,2007,11,1,A
39386,6.776842,2007,11,2,A
39387,6.362500,2007,11,3,A
39388,7.603000,2007,11,4,A
39389,8.475000,2007,11,5,A
39390,7.821875,2007,11,6,A
39391,7.247368,2007,11,7,A
39392,7.384375,2007,11,8,A
39393,8.305208,2007,11,9,A
39394,9.470833,2007,11,10,A
39395,8.425000,2007,11,11,A
39396,8.693750,2007,11,12,A
39397,8.081250,2007,11,13,A
39398,7.098958,2007,11,14,A
39399,8.712500,2007,11,15,A
39400,10.279167,2007,11,16,A
39401,11.006250,2007,11,17,A
39402,10.126042,2007,11,18,A
39403,9.377083,2007,11,19,A
39404,9.280208,2007,11,20,A
39405,8.206250,2007,11,21,A
39406,6.836458,2007,11,22,A
39407,5.772917,2007,11,23,A
39408,5.680208,2007,11,24,A
39409,5.281250,2007,11,25,A
39410,4.765625,2007,11,26,A
39411,6.313684,2007,11,27,A
39412,5.961458,2007,11,28,A
39413,6.794792,2007,11,29,A
39414,6.984375,2007,11,30,A
39415,6.777083,2007,12,1,A
39416,7.153684,2007,12,2,A
39417,8.754167,2007,12,3,A
39418,10.176042,2007,12,4,A
39419,9.503125,2007,12,5,A
39420,9.198958,2007,12,6,A
39421,8.491667,2007,12,7,A
39422,7.666667,2007,12,8,A
39423,6.220833,2007,12,9,A
39424,6.502083,2007,12,10,A
39425,5.306250,2007,12,11,A
39426,5.837500,2007,12,12,A
39427,5.675000,2007,12,13,A
39428,5.683333,2007,12,14,A
39429,6.475000,2007,12,15,A
39430,6.127083,2007,12,16,A
39431,6.571875,2007,12,17,A
39432,7.069792,2007,12,18,A
39433,7.519792,2007,12,19,A
39434,7.258333,2007,12,20,A
39435,7.153125,2007,12,21,A
39436,6.931250,2007,12,22,A
39437,7.854167,2007,12,23,A
39438,7.606250,2007,12,24,A
39439,6.847917,2007,12,25,A
39440,6.495833,2007,12,26,A
39441,6.078125,2007,12,27,A
39442,6.853125,2007,12,28,A
39443,7.252083,2007,12,29,A
39444,6.614583,2007,12,30,A
39445,6.239583,2007,12,31,A
39446,5.925000,2008,1,1,A
39447,5.965625,2008,1,2,A
39448,6.627083,2008,1,3,A
39449,7.276042,2008,1,4,A
39450,6.940625,2008,1,5,A
39451,6.550000,2008,1,6,A
39452,6.230208,2008,1,7,A
39453,5.976042,2008,1,8,A
39454,6.604167,2008,1,9,A
39455,7.339583,2008,1,10,A
39456,7.912500,2008,1,11,A
39457,7.876042,2008,1,12,A
39458,7.382292,2008,1,13,A
39459,6.648958,2008,1,14,A
39460,5.995833,2008,1,15,A
39461,5.286458,2008,1,16,A
39462,4.901042,2008,1,17,A
39463,5.581250,2008,1,18,A
39464,5.460417,2008,1,19,A
39465,5.777083,2008,1,20,A
39466,3.303125,2008,1,21,A
39467,1.816667,2008,1,22,A
39468,1.268750,2008,1,23,A
39469,0.812632,2008,1,24,A
39470,1.141667,2008,1,25,A
39471,1.782292,2008,1,26,A
39472,3.442708,2008,1,27,A
39473,4.244792,2008,1,28,A
39474,4.538542,2008,1,29,A
39475,4.763542,2008,1,30,A
39476,5.312500,2008,1,31,A
39477,5.637500,2008,2,1,A
39478,4.851042,2008,2,2,A
39479,5.550000,2008,2,3,A
39480,5.669792,2008,2,4,A
39481,5.931250,2008,2,5,A
39482,5.757292,2008,2,6,A
39483,5.898958,2008,2,7,A
39484,6.365625,2008,2,8,A
39485,7.277083,2008,2,9,A
39486,7.697917,2008,2,10,A
39487,7.358333,2008,2,11,A
39488,6.767708,2008,2,12,A
39489,6.652083,2008,2,13,A
39490,6.427083,2008,2,14,A
39491,5.991667,2008,2,15,A
39492,6.163542,2008,2,16,A
39493,5.613542,2008,2,17,A
39494,6.081250,2008,2,18,A
39495,5.919792,2008,2,19,A
39496,7.253125,2008,2,20,A
39497,6.381250,2008,2,21,A
39498,7.010417,2008,2,22,A
39499,6.271875,2008,2,23,A
39500,7.390625,2008,2,24,A
39501,8.068750,2008,2,25,A
39502,7.216667,2008,2,26,A
39503,7.618750,2008,2,27,A
39504,8.170833,2008,2,28,A
39505,8.590625,2008,2,29,A
39506,8.000000,2008,3,1,A
39507,6.704167,2008,3,2,A
39508,6.306250,2008,3,3,A
39509,6.576042,2008,3,4,A
39510,6.034375,2008,3,5,A
39511,6.160417,2008,3,6,A
39512,6.563542,2008,3,7,A
39513,7.744792,2008,3,8,A
39514,7.529348,2008,3,9,A
39515,9.304167,2008,3,10,A
39516,9.207292,2008,3,11,A
39517,7.950000,2008,3,12,A
39518,8.260417,2008,3,13,A
39519,7.907292,2008,3,14,A
39520,7.881250,2008,3,15,A
39521,7.787500,2008,3,16,A
39522,7.827083,2008,3,17,A
39523,8.841667,2008,3,18,A
39524,8.022917,2008,3,19,A
39525,7.777083,2008,3,20,A
39526,7.427083,2008,3,21,A
39527,7.394792,2008,3,22,A
39528,8.142708,2008,3,23,A
39529,7.767708,2008,3,24,A
39530,7.215625,2008,3,25,A
39531,7.119792,2008,3,26,A
39532,6.866667,2008,3,27,A
39533,6.503125,2008,3,28,A
39534,6.297917,2008,3,29,A
39535,6.216667,2008,3,30,A
39536,6.655208,2008,3,31,A
39537,6.990625,2008,4,1,A
39538,7.319792,2008,4,2,A
39539,7.683333,2008,4,3,A
39540,7.950000,2008,4,4,A
39541,7.963542,2008,4,5,A
39542,8.505208,2008,4,6,A
39543,8.297917,2008,4,7,A
39544,8.064583,2008,4,8,A
39545,8.177083,2008,4,9,A
39546,8.741667,2008,4,10,A
39547,8.894792,2008,4,11,A
39548,10.941667,2008,4,12,A
39549,11.560417,2008,4,13,A
39550,10.028125,2008,4,14,A
39551,8.207292,2008,4,15,A
39552,8.654167,2008,4,16,A
39553,9.459375,2008,4,17,A
39554,8.866667,2008,4,18,A
39555,7.719792,2008,4,19,A
39556,7.023958,2008,4,20,A
39557,7.134375,2008,4,21,A
39558,7.605208,2008,4,22,A
39559,8.203125,2008,4,23,A
39560,8.412500,2008,4,24,A
39561,8.965625,2008,4,25,A
39562,9.966667,2008,4,26,A
39563,11.032292,2008,4,27,A
39564,11.821875,2008,4,28,A
39565,10.337500,2008,4,29,A
39566,9.277083,2008,4,30,A
39567,9.965625,2008,5,1,A
39568,11.390625,2008,5,2,A
39569,11.358333,2008,5,3,A
39570,11.065625,2008,5,4,A
39571,13.013542,2008,5,5,A
39572,12.430208,2008,5,6,A
39573,10.696875,2008,5,7,A
39574,9.916667,2008,5,8,A
39575,10.479167,2008,5,9,A
39576,11.351042,2008,5,10,A
39577,11.112500,2008,5,11,A
39578,10.284375,2008,5,12,A
39579,10.968750,2008,5,13,A
39580,12.697917,2008,5,14,A
39581,15.196875,2008,5,15,A
39582,17.036458,2008,5,16,A
39583,18.827083,2008,5,17,A
39584,18.818750,2008,5,18,A
39585,18.123958,2008,5,19,A
39586,16.388542,2008,5,20,A
39587,13.219792,2008,5,21,A
39588,11.668750,2008,5,22,A
39589,11.153125,2008,5,23,A
39590,12.506250,2008,5,24,A
39591,13.548958,2008,5,25,A
39592,13.312500,2008,5,26,A
39593,13.755208,2008,5,27,A
39594,13.713542,2008,5,28,A
39595,12.763542,2008,5,29,A
39596,13.285417,2008,5,30,A
39597,13.879167,2008,5,31,A
39598,13.230208,2008,6,1,A
39599,13.047917,2008,6,2,A
39600,13.520833,2008,6,3,A
39601,12.503125,2008,6,4,A
39602,11.580208,2008,6,5,A
39603,11.154167,2008,6,6,A
39604,11.258333,2008,6,7,A
39605,12.459375,2008,6,8,A
39606,13.218750,2008,6,9,A
39607,11.242708,2008,6,10,A
39608,11.118750,2008,6,11,A
39609,11.975000,2008,6,12,A
39610,13.570833,2008,6,13,A
39611,13.783333,2008,6,14,A
39612,13.880208,2008,6,15,A
39613,14.327083,2008,6,16,A
39614,13.970833,2008,6,17,A
39615,13.840625,2008,6,18,A
39616,14.476042,2008,6,19,A
39617,15.968750,2008,6,20,A
39618,16.738542,2008,6,21,A
39619,16.226042,2008,6,22,A
39620,14.819792,2008,6,23,A
39621,14.952083,2008,6,24,A
39622,16.178125,2008,6,25,A
39623,15.443750,2008,6,26,A
39624,16.311458,2008,6,27,A
39625,19.173958,2008,6,28,A
39626,20.319149,2008,6,29,A
39627,20.129348,2008,6,30,A
39628,19.220833,2008,7,1,A
39629,0.000000,2008,7,2,Missing
39630,19.750000,2008,7,3,A
39631,19.186458,2008,7,4,A
39632,18.176042,2008,7,5,A
39633,17.888542,2008,7,6,A
39634,17.580208,2008,7,7,A
39635,18.619792,2008,7,8,A
39636,19.628125,2008,7,9,A
39637,18.763542,2008,7,10,A
39638,17.863542,2008,7,11,A
