;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:26:12 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14211499 KELLEY CREEK AT SE 159TH DRIVE AT PORTLAND, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14211499
;#            TS   parameter     Description
;#        117330       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     R  Records for these data have been revised. [https://nwis.waterdata.usgs.gov/usa/nwis/revision/?site_no=14211499&ts_ids=117330]
;# 
;USGS 14211499_temp_KELLEY CREEK AT SE 159TH DRIVE AT PORTLAND, OR_23815128 
day_index,temp_C,Year,Month,Day,Quality
39354,12.675000,2007,10,1,A
39355,12.717708,2007,10,2,A
39356,12.515625,2007,10,3,A
39357,11.715625,2007,10,4,A
39358,10.777083,2007,10,5,A
39359,10.348958,2007,10,6,A
39360,12.064583,2007,10,7,A
39361,12.463542,2007,10,8,A
39362,12.497917,2007,10,9,A
39363,12.628125,2007,10,10,A
39364,11.695833,2007,10,11,A
39365,12.305208,2007,10,12,A
39366,12.096875,2007,10,13,A
39367,11.560417,2007,10,14,A
39368,12.027083,2007,10,15,A
39369,11.094792,2007,10,16,A
39370,10.245833,2007,10,17,A
39371,10.916667,2007,10,18,A
39372,11.806250,2007,10,19,A
39373,10.650000,2007,10,20,A
39374,11.462500,2007,10,21,A
39375,11.606250,2007,10,22,A
39376,11.732292,2007,10,23,A
39377,11.385417,2007,10,24,A
39378,9.542708,2007,10,25,A
39379,8.188542,2007,10,26,A
39380,8.883333,2007,10,27,A
39381,8.459375,2007,10,28,A
39382,8.454167,2007,10,29,A
39383,9.218750,2007,10,30,A
39384,7.534375,2007,10,31,A
39385,8.208333,2007,11,1,A
39386,6.842708,2007,11,2,A
39387,6.614583,2007,11,3,A
39388,7.957000,2007,11,4,A
39389,8.716667,2007,11,5,A
39390,8.036458,2007,11,6,A
39391,7.819792,2007,11,7,A
39392,7.925000,2007,11,8,A
39393,8.704167,2007,11,9,A
39394,9.546875,2007,11,10,A
39395,8.415625,2007,11,11,A
39396,8.814583,2007,11,12,A
39397,8.121875,2007,11,13,A
39398,7.468750,2007,11,14,A
39399,8.959375,2007,11,15,A
39400,10.413542,2007,11,16,A
39401,10.996875,2007,11,17,A
39402,9.876042,2007,11,18,A
39403,9.072917,2007,11,19,A
39404,8.853125,2007,11,20,A
39405,7.581250,2007,11,21,A
39406,5.920833,2007,11,22,A
39407,4.750000,2007,11,23,A
39408,4.847917,2007,11,24,A
39409,4.435417,2007,11,25,A
39410,4.193750,2007,11,26,A
39411,5.764583,2007,11,27,A
39412,5.596875,2007,11,28,A
39413,6.491667,2007,11,29,A
39414,6.641667,2007,11,30,A
39415,6.253125,2007,12,1,A
39416,6.832292,2007,12,2,A
39417,7.972917,2007,12,3,A
39418,9.470833,2007,12,4,A
39419,9.320833,2007,12,5,A
39420,9.050000,2007,12,6,A
39421,8.118750,2007,12,7,A
39422,7.245833,2007,12,8,A
39423,5.686458,2007,12,9,A
39424,6.181250,2007,12,10,A
39425,5.116667,2007,12,11,A
39426,5.494792,2007,12,12,A
39427,5.472917,2007,12,13,A
39428,5.762500,2007,12,14,A
39429,6.555208,2007,12,15,A
39430,6.528125,2007,12,16,A
39431,6.678125,2007,12,17,A
39432,7.193750,2007,12,18,A
39433,7.583333,2007,12,19,A
39434,7.313542,2007,12,20,A
39435,6.795833,2007,12,21,A
39436,6.700000,2007,12,22,A
39437,7.852083,2007,12,23,A
39438,7.609375,2007,12,24,A
39439,6.414583,2007,12,25,A
39440,6.133333,2007,12,26,A
39441,5.757292,2007,12,27,A
39442,6.595833,2007,12,28,A
39443,7.067708,2007,12,29,A
39444,6.408333,2007,12,30,A
39445,5.871579,2007,12,31,A
39446,5.487500,2008,1,1,A
39447,5.743750,2008,1,2,A
39448,6.572917,2008,1,3,A
39449,7.180208,2008,1,4,A
39450,6.639583,2008,1,5,A
39451,6.290625,2008,1,6,A
39452,6.017708,2008,1,7,A
39453,5.905208,2008,1,8,A
39454,6.428125,2008,1,9,A
39455,7.257292,2008,1,10,A
39456,7.819792,2008,1,11,A
39457,7.820833,2008,1,12,A
39458,7.340625,2008,1,13,A
39459,6.744792,2008,1,14,A
39460,5.857292,2008,1,15,A
39461,5.161458,2008,1,16,A
39462,4.616667,2008,1,17,A
39463,5.371875,2008,1,18,A
39464,5.360417,2008,1,19,A
39465,5.623958,2008,1,20,A
39466,3.293750,2008,1,21,A
39467,2.050000,2008,1,22,A
39468,1.456250,2008,1,23,A
39469,1.135417,2008,1,24,A
39470,1.582292,2008,1,25,A
39471,2.134375,2008,1,26,A
39472,3.289583,2008,1,27,A
39473,4.046875,2008,1,28,A
39474,4.316667,2008,1,29,A
39475,4.520833,2008,1,30,A
39476,5.147917,2008,1,31,A
39477,5.338542,2008,2,1,A
39478,4.638542,2008,2,2,A
39479,5.320833,2008,2,3,A
39480,5.407292,2008,2,4,A
39481,5.785417,2008,2,5,A
39482,5.533333,2008,2,6,A
39483,5.835417,2008,2,7,A
39484,6.285417,2008,2,8,A
39485,7.269792,2008,2,9,A
39486,7.713542,2008,2,10,A
39487,7.241667,2008,2,11,A
39488,6.727083,2008,2,12,A
39489,6.582292,2008,2,13,A
39490,6.486458,2008,2,14,A
39491,6.083333,2008,2,15,A
39492,6.086458,2008,2,16,A
39493,5.727083,2008,2,17,A
39494,6.242708,2008,2,18,A
39495,6.335417,2008,2,19,A
39496,7.492708,2008,2,20,A
39497,6.940625,2008,2,21,A
39498,7.431250,2008,2,22,A
39499,6.606250,2008,2,23,A
39500,7.550000,2008,2,24,A
39501,8.163542,2008,2,25,A
39502,7.489583,2008,2,26,A
39503,7.942708,2008,2,27,A
39504,8.395833,2008,2,28,A
39505,8.803125,2008,2,29,A
39506,8.143750,2008,3,1,A
39507,7.050000,2008,3,2,A
39508,6.704167,2008,3,3,A
39509,6.785417,2008,3,4,A
39510,6.517708,2008,3,5,A
39511,6.976042,2008,3,6,A
39512,6.970833,2008,3,7,A
39513,7.871875,2008,3,8,A
39514,7.877174,2008,3,9,A
39515,9.463542,2008,3,10,A
39516,9.330208,2008,3,11,A
39517,8.289583,2008,3,12,A
39518,8.456250,2008,3,13,A
39519,7.931250,2008,3,14,A
39520,7.876042,2008,3,15,A
39521,7.713542,2008,3,16,A
39522,7.779167,2008,3,17,A
39523,8.879167,2008,3,18,A
39524,7.919792,2008,3,19,A
39525,7.823958,2008,3,20,A
39526,7.408333,2008,3,21,A
39527,7.462500,2008,3,22,A
39528,8.327083,2008,3,23,A
39529,7.804167,2008,3,24,A
39530,7.164583,2008,3,25,A
39531,7.155208,2008,3,26,A
39532,6.940625,2008,3,27,A
39533,6.763542,2008,3,28,A
39534,6.325000,2008,3,29,A
39535,6.144792,2008,3,30,A
39536,6.647917,2008,3,31,A
39537,6.958333,2008,4,1,A
39538,7.237500,2008,4,2,A
39539,7.632292,2008,4,3,A
39540,7.904167,2008,4,4,A
39541,8.097917,2008,4,5,A
39542,8.662500,2008,4,6,A
39543,8.434375,2008,4,7,A
39544,8.364583,2008,4,8,A
39545,8.492708,2008,4,9,A
39546,8.830208,2008,4,10,A
39547,8.925000,2008,4,11,A
39548,11.197917,2008,4,12,A
39549,11.645833,2008,4,13,A
39550,10.114583,2008,4,14,A
39551,8.401042,2008,4,15,A
39552,8.743750,2008,4,16,A
39553,9.537500,2008,4,17,A
39554,8.975000,2008,4,18,A
39555,7.832292,2008,4,19,A
39556,7.275000,2008,4,20,A
39557,7.189583,2008,4,21,A
39558,7.714583,2008,4,22,A
39559,8.105208,2008,4,23,A
39560,8.312500,2008,4,24,A
39561,8.814583,2008,4,25,A
39562,9.856250,2008,4,26,A
39563,11.036458,2008,4,27,A
39564,11.746875,2008,4,28,A
39565,10.373958,2008,4,29,A
39566,9.260417,2008,4,30,A
39567,9.908333,2008,5,1,A
39568,11.338542,2008,5,2,A
39569,11.330208,2008,5,3,A
39570,10.948958,2008,5,4,A
39571,12.793750,2008,5,5,A
39572,12.400000,2008,5,6,A
39573,10.750000,2008,5,7,A
39574,10.001042,2008,5,8,A
39575,10.373958,2008,5,9,A
39576,11.234375,2008,5,10,A
39577,10.963542,2008,5,11,A
39578,10.354167,2008,5,12,A
39579,10.962500,2008,5,13,A
39580,12.790625,2008,5,14,A
39581,14.864583,2008,5,15,A
39582,16.537500,2008,5,16,A
39583,18.057292,2008,5,17,A
39584,17.703125,2008,5,18,A
39585,17.308333,2008,5,19,A
39586,15.781250,2008,5,20,A
39587,13.040000,2008,5,21,A
39588,11.919792,2008,5,22,A
39589,11.427083,2008,5,23,A
39590,12.641667,2008,5,24,A
39591,13.306250,2008,5,25,A
39592,13.232292,2008,5,26,A
39593,13.631250,2008,5,27,A
39594,13.639583,2008,5,28,A
39595,12.819792,2008,5,29,A
39596,13.413542,2008,5,30,A
39597,14.105208,2008,5,31,A
39598,13.461458,2008,6,1,A
39599,13.269792,2008,6,2,A
39600,13.615625,2008,6,3,A
