;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:26:34 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14211500 JOHNSON CREEK AT SYCAMORE, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14211500
;#            TS   parameter     Description
;#        117337       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14211500_temp_JOHNSON CREEK AT SYCAMORE, OR_23815066 
day_index,temp_C,Year,Month,Day,Quality
39354,12.815217,2007,10,1,A
39355,13.116667,2007,10,2,A
39356,12.875000,2007,10,3,A
39357,12.193750,2007,10,4,A
39358,11.379167,2007,10,5,A
39359,10.837500,2007,10,6,A
39360,12.085417,2007,10,7,A
39361,12.995833,2007,10,8,A
39362,12.754167,2007,10,9,A
39363,12.950000,2007,10,10,A
39364,12.385417,2007,10,11,A
39365,12.770833,2007,10,12,A
39366,12.554167,2007,10,13,A
39367,12.085417,2007,10,14,A
39368,12.027083,2007,10,15,A
39369,11.295833,2007,10,16,A
39370,10.783333,2007,10,17,A
39371,10.710417,2007,10,18,A
39372,11.885417,2007,10,19,A
39373,10.764583,2007,10,20,A
39374,11.522917,2007,10,21,A
39375,11.779167,2007,10,22,A
39376,11.648936,2007,10,23,A
39377,11.608333,2007,10,24,A
39378,10.118750,2007,10,25,A
39379,8.285417,2007,10,26,A
39380,8.181250,2007,10,27,A
39381,8.210417,2007,10,28,A
39382,8.283333,2007,10,29,A
39383,9.102083,2007,10,30,A
39384,7.756250,2007,10,31,A
39385,8.072917,2007,11,1,A
39386,7.004167,2007,11,2,A
39387,6.431250,2007,11,3,A
39388,7.338000,2007,11,4,A
39389,8.185417,2007,11,5,A
39390,7.641667,2007,11,6,A
39391,7.635417,2007,11,7,A
39392,7.745833,2007,11,8,A
39393,8.283333,2007,11,9,A
39394,9.493750,2007,11,10,A
39395,8.756250,2007,11,11,A
39396,8.695833,2007,11,12,A
39397,8.508333,2007,11,13,A
39398,7.229167,2007,11,14,A
39399,8.260417,2007,11,15,A
39400,10.122917,2007,11,16,A
39401,10.952083,2007,11,17,A
39402,10.091667,2007,11,18,A
39403,9.102083,2007,11,19,A
39404,8.964583,2007,11,20,A
39405,7.825000,2007,11,21,A
39406,6.181250,2007,11,22,A
39407,4.889583,2007,11,23,A
39408,4.843750,2007,11,24,A
39409,4.702083,2007,11,25,A
39410,3.900000,2007,11,26,A
39411,5.543750,2007,11,27,A
39412,5.635417,2007,11,28,A
39413,6.220833,2007,11,29,A
