;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:26:51 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14211550 JOHNSON CREEK AT MILWAUKIE, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14211550
;#            TS   parameter     Description
;#        117341       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14211550_temp_JOHNSON CREEK AT MILWAUKIE, OR_23815062 
day_index,temp_C,Year,Month,Day,Quality
39354,13.095652,2007,10,1,A
39355,13.454167,2007,10,2,A
39356,13.216667,2007,10,3,A
39357,12.683333,2007,10,4,A
39358,12.108333,2007,10,5,A
39359,11.870833,2007,10,6,A
39360,13.225000,2007,10,7,A
39361,13.168750,2007,10,8,A
39362,13.075000,2007,10,9,A
39363,13.456250,2007,10,10,A
39364,12.933333,2007,10,11,A
39365,13.595833,2007,10,12,A
39366,13.706250,2007,10,13,A
39367,13.402083,2007,10,14,A
39368,13.312500,2007,10,15,A
39369,12.291667,2007,10,16,A
39370,11.566667,2007,10,17,A
39371,11.416667,2007,10,18,A
39372,12.004167,2007,10,19,A
39373,10.920833,2007,10,20,A
39374,11.554167,2007,10,21,A
39375,12.125000,2007,10,22,A
39376,12.325000,2007,10,23,A
39377,12.139583,2007,10,24,A
39378,10.718750,2007,10,25,A
39379,9.754167,2007,10,26,A
39380,9.722917,2007,10,27,A
39381,9.787500,2007,10,28,A
39382,10.120833,2007,10,29,A
39383,10.614583,2007,10,30,A
39384,9.779167,2007,10,31,A
39385,10.354167,2007,11,1,A
39386,9.391667,2007,11,2,A
