;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:27:13 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14211720 WILLAMETTE RIVER AT PORTLAND, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14211720
;#            TS   parameter     Description
;#        172755       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14211720_temp_WILLAMETTE RIVER AT PORTLAND, OR_23815040 
day_index,temp_C,Year,Month,Day,Quality
39833,4.645833,2009,1,22,A
39834,4.677083,2009,1,23,A
39835,4.804167,2009,1,24,A
39836,4.966667,2009,1,25,A
39837,4.958333,2009,1,26,A
39838,4.950000,2009,1,27,A
39839,4.952083,2009,1,28,A
39840,4.893750,2009,1,29,A
39841,4.766667,2009,1,30,A
39842,4.722917,2009,1,31,A
39843,4.856250,2009,2,1,A
39844,4.835417,2009,2,2,A
39845,4.979167,2009,2,3,A
39846,5.006250,2009,2,4,A
39847,4.975000,2009,2,5,A
39848,5.066667,2009,2,6,A
39849,5.304167,2009,2,7,A
39850,5.572917,2009,2,8,A
39851,5.785417,2009,2,9,A
39852,5.837500,2009,2,10,A
39853,5.985417,2009,2,11,A
39854,5.831250,2009,2,12,A
39855,5.660417,2009,2,13,A
39856,5.347917,2009,2,14,A
39857,5.102083,2009,2,15,A
39858,5.056250,2009,2,16,A
39859,5.375000,2009,2,17,A
39860,5.672917,2009,2,18,A
39861,5.910417,2009,2,19,A
39862,6.189583,2009,2,20,A
39863,6.441667,2009,2,21,A
39864,6.716667,2009,2,22,A
39865,6.937500,2009,2,23,A
39866,7.160417,2009,2,24,A
39867,0.000000,2009,2,25,Missing
39868,7.277083,2009,2,26,A
39869,7.366667,2009,2,27,A
39870,6.795833,2009,2,28,A
39871,6.470833,2009,3,1,A
39872,6.500000,2009,3,2,A
39873,6.864583,2009,3,3,A
39874,7.439583,2009,3,4,A
39875,7.960417,2009,3,5,A
39876,7.937500,2009,3,6,A
39877,7.439583,2009,3,7,A
39878,7.082609,2009,3,8,A
