;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:48:36 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14171600 WILLAMETTE RIVER AT CORVALLIS, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14171600
;#            TS   parameter     Description
;#        117045       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;# 
;USGS 14171600_flow_WILLAMETTE RIVER AT CORVALLIS, OR_23762877 
day_index,Q_cfs,Year,Month,Day,Quality
40085,7140.869565,2009,10,1,A
40086,7264.583333,2009,10,2,A
40087,0.000000,2009,10,3,Missing
40088,0.000000,2009,10,4,Missing
40089,0.000000,2009,10,5,Missing
40090,6593.437500,2009,10,6,A
40091,7324.895833,2009,10,7,A
40092,7748.750000,2009,10,8,A
40093,7619.166667,2009,10,9,A
40094,7488.854167,2009,10,10,A
40095,6759.583333,2009,10,11,A
40096,6224.479167,2009,10,12,A
40097,6222.291667,2009,10,13,A
40098,7151.979167,2009,10,14,A
40099,8331.041667,2009,10,15,A
40100,8303.125000,2009,10,16,A
40101,8019.687500,2009,10,17,A
40102,7778.541667,2009,10,18,A
40103,7229.375000,2009,10,19,A
40104,7179.583333,2009,10,20,A
40105,7839.791667,2009,10,21,A
40106,8691.562500,2009,10,22,A
40107,8611.250000,2009,10,23,A
40108,8410.312500,2009,10,24,A
40109,7932.708333,2009,10,25,A
40110,7451.666667,2009,10,26,A
40111,7540.312500,2009,10,27,A
40112,7932.708333,2009,10,28,A
40113,7699.166667,2009,10,29,A
40114,7995.625000,2009,10,30,A
40115,8326.562500,2009,10,31,A
40116,8591.600000,2009,11,1,A
40117,8702.916667,2009,11,2,A
40118,8511.354167,2009,11,3,A
40119,8348.229167,2009,11,4,A
40120,8117.708333,2009,11,5,A
40121,8190.208333,2009,11,6,A
40122,9648.645833,2009,11,7,A
40123,11553.125000,2009,11,8,A
40124,13057.291667,2009,11,9,A
40125,12352.083333,2009,11,10,A
40126,12223.958333,2009,11,11,A
40127,12379.166667,2009,11,12,A
40128,12358.333333,2009,11,13,A
