;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:48:55 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14174000 WILLAMETTE RIVER AT ALBANY, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14174000
;#            TS   parameter     Description
;#        117047       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;# 
;USGS 14174000_flow_WILLAMETTE RIVER AT ALBANY, OR_23762845 
day_index,Q_cfs,Year,Month,Day,Quality
36524,10822.916667,2000,1,1,A
36525,11908.333333,2000,1,2,A
36526,13454.166667,2000,1,3,A
36527,15276.595745,2000,1,4,A
36528,20827.083333,2000,1,5,A
36529,21720.833333,2000,1,6,A
36530,20158.333333,2000,1,7,A
36531,18287.234043,2000,1,8,A
36532,19502.083333,2000,1,9,A
36533,25075.000000,2000,1,10,A
36534,40108.333333,2000,1,11,A
36535,52947.916667,2000,1,12,A
36536,48854.166667,2000,1,13,A
36537,54737.500000,2000,1,14,A
36538,59775.000000,2000,1,15,A
36539,56164.583333,2000,1,16,A
36540,51677.083333,2000,1,17,A
36541,49616.666667,2000,1,18,A
36542,46418.750000,2000,1,19,A
36543,44850.000000,2000,1,20,A
36544,42785.416667,2000,1,21,A
36545,40439.583333,2000,1,22,A
36546,37454.166667,2000,1,23,A
36547,35777.083333,2000,1,24,A
36548,41002.083333,2000,1,25,A
36549,40331.250000,2000,1,26,A
36550,35470.833333,2000,1,27,A
36551,30683.333333,2000,1,28,A
36552,26570.833333,2000,1,29,A
36553,23497.916667,2000,1,30,A
36554,20347.916667,2000,1,31,A
36555,19165.957447,2000,2,1,A
36556,21716.666667,2000,2,2,A
36557,23554.166667,2000,2,3,A
36558,21533.333333,2000,2,4,A
36559,19491.666667,2000,2,5,A
36560,17837.500000,2000,2,6,A
36561,15883.333333,2000,2,7,A
36562,14791.666667,2000,2,8,A
36563,15202.083333,2000,2,9,A
36564,14960.416667,2000,2,10,A
36565,14802.083333,2000,2,11,A
36566,18902.083333,2000,2,12,A
36567,22008.333333,2000,2,13,A
36568,25081.250000,2000,2,14,A
36569,30058.333333,2000,2,15,A
36570,31231.250000,2000,2,16,A
36571,26872.916667,2000,2,17,A
36572,21854.166667,2000,2,18,A
36573,17375.000000,2000,2,19,A
36574,14908.333333,2000,2,20,A
36575,13277.083333,2000,2,21,A
36576,12546.808511,2000,2,22,A
36577,13679.166667,2000,2,23,A
36578,14593.750000,2000,2,24,A
36579,13291.666667,2000,2,25,A
36580,14779.166667,2000,2,26,A
36581,22929.166667,2000,2,27,A
36582,25210.416667,2000,2,28,A
36583,23854.166667,2000,2,29,A
36584,25693.617021,2000,3,1,A
36585,22416.666667,2000,3,2,A
36586,20058.333333,2000,3,3,A
36587,20737.500000,2000,3,4,A
36588,24110.416667,2000,3,5,A
36589,21191.666667,2000,3,6,A
36590,17908.333333,2000,3,7,A
36591,14904.166667,2000,3,8,A
36592,13075.000000,2000,3,9,A
36593,12085.416667,2000,3,10,A
36594,11850.000000,2000,3,11,A
36595,11987.500000,2000,3,12,A
36596,11270.833333,2000,3,13,A
36597,11745.833333,2000,3,14,A
36598,12689.583333,2000,3,15,A
36599,13666.666667,2000,3,16,A
36600,15952.083333,2000,3,17,A
36601,16463.829787,2000,3,18,A
36602,17345.833333,2000,3,19,A
36603,19406.382979,2000,3,20,A
36604,18782.978723,2000,3,21,A
36605,16956.250000,2000,3,22,A
36606,17037.500000,2000,3,23,A
36607,17410.416667,2000,3,24,A
36608,16647.916667,2000,3,25,A
36609,15220.833333,2000,3,26,A
36610,14356.250000,2000,3,27,A
