;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:58:13 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14197900 WILLAMETTE RIVER AT NEWBERG, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14197900
;#            TS   parameter     Description
;#        117162       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#     0  UNDEF
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;# 
;USGS 14197900_flow_WILLAMETTE RIVER AT NEWBERG, OR_23791305 
day_index,Q_cfs,Year,Month,Day,Quality
37182,6619.347826,2001,10,20,A
37183,6740.000000,2001,10,21,A
37184,7063.043478,2001,10,22,A
37185,7782.500000,2001,10,23,A
37186,10521.956522,2001,10,24,A
37187,11279.545455,2001,10,25,A
37188,10017.608696,2001,10,26,A
37189,9336.136364,2001,10,27,A
37190,8916.956522,2001,10,28,A
37191,8509.545455,2001,10,29,A
37192,8760.869565,2001,10,30,A
37193,10260.000000,2001,10,31,A
37194,13606.521739,2001,11,1,A
37195,14829.545455,2001,11,2,A
37196,13336.956522,2001,11,3,A
37197,11381.818182,2001,11,4,A
37198,10336.521739,2001,11,5,A
37199,9824.545455,2001,11,6,A
37200,9557.608696,2001,11,7,A
37201,9099.772727,2001,11,8,A
37202,8655.652174,2001,11,9,A
37203,8330.454545,2001,11,10,A
37204,8153.260870,2001,11,11,A
37205,8195.681818,2001,11,12,A
37206,9146.956522,2001,11,13,A
37207,11160.454545,2001,11,14,A
37208,0.000000,2001,11,15,Missing
37209,17595.744681,2001,11,16,A
37210,16925.000000,2001,11,17,A
37211,17343.750000,2001,11,18,A
37212,17662.500000,2001,11,19,A
37213,17435.416667,2001,11,20,A
37214,19802.083333,2001,11,21,A
37215,25241.666667,2001,11,22,A
37216,42022.916667,2001,11,23,A
37217,54254.166667,2001,11,24,A
37218,46352.083333,2001,11,25,A
37219,40633.333333,2001,11,26,A
37220,37810.416667,2001,11,27,A
37221,35854.166667,2001,11,28,A
37222,49214.583333,2001,11,29,A
37223,66522.916667,2001,11,30,A
37224,72947.916667,2001,12,1,A
37225,82997.916667,2001,12,2,A
37226,88337.500000,2001,12,3,A
37227,85041.666667,2001,12,4,A
37228,78883.333333,2001,12,5,A
37229,78091.666667,2001,12,6,A
37230,80464.583333,2001,12,7,A
37231,82162.500000,2001,12,8,A
37232,76987.500000,2001,12,9,A
37233,66466.666667,2001,12,10,A
37234,56227.083333,2001,12,11,A
37235,48227.083333,2001,12,12,A
37236,45597.916667,2001,12,13,A
37237,64591.666667,2001,12,14,A
37238,83491.666667,2001,12,15,A
37239,91308.333333,2001,12,16,A
37240,96022.916667,2001,12,17,A
37241,97525.000000,2001,12,18,A
37242,95635.416667,2001,12,19,A
37243,89554.166667,2001,12,20,A
37244,84441.666667,2001,12,21,A
37245,77827.083333,2001,12,22,A
37246,71237.500000,2001,12,23,A
37247,63368.750000,2001,12,24,A
37248,53466.666667,2001,12,25,A
37249,44268.750000,2001,12,26,A
37250,38045.833333,2001,12,27,A
37251,33866.666667,2001,12,28,A
37252,33597.916667,2001,12,29,A
37253,31783.333333,2001,12,30,A
37254,29497.916667,2001,12,31,A
37255,28864.583333,2002,1,1,A
37256,33087.500000,2002,1,2,A
37257,36327.083333,2002,1,3,A
37258,37283.333333,2002,1,4,A
37259,35783.333333,2002,1,5,A
37260,35414.583333,2002,1,6,A
37261,52845.833333,2002,1,7,A
37262,72900.000000,2002,1,8,A
37263,80935.416667,2002,1,9,A
37264,75829.166667,2002,1,10,A
37265,63793.750000,2002,1,11,A
37266,53781.250000,2002,1,12,A
37267,0.000000,2002,1,13,Missing
37268,0.000000,2002,1,14,Missing
37269,0.000000,2002,1,15,Missing
37270,39129.166667,2002,1,16,A
37271,35947.916667,2002,1,17,A
37272,33837.500000,2002,1,18,A
37273,32227.083333,2002,1,19,A
37274,34247.916667,2002,1,20,A
37275,48772.916667,2002,1,21,A
37276,70745.833333,2002,1,22,A
37277,79554.166667,2002,1,23,A
37278,72147.916667,2002,1,24,A
37279,69639.583333,2002,1,25,A
37280,86868.750000,2002,1,26,A
37281,0.000000,2002,1,27,Missing
37282,95393.750000,2002,1,28,A
37283,79233.333333,2002,1,29,A
37284,59714.583333,2002,1,30,A
37285,47708.333333,2002,1,31,A
37286,42379.166667,2002,2,1,A
37287,41668.750000,2002,2,2,A
37288,38802.083333,2002,2,3,A
37289,35829.166667,2002,2,4,A
37290,33143.750000,2002,2,5,A
37291,30406.250000,2002,2,6,A
37292,31262.500000,2002,2,7,A
37293,48406.250000,2002,2,8,A
37294,61439.583333,2002,2,9,A
37295,56389.583333,2002,2,10,A
37296,45470.833333,2002,2,11,A
37297,38637.500000,2002,2,12,A
37298,33893.750000,2002,2,13,A
37299,30258.333333,2002,2,14,A
37300,27416.666667,2002,2,15,A
37301,24950.000000,2002,2,16,A
37302,23408.333333,2002,2,17,A
37303,22322.916667,2002,2,18,A
37304,21716.666667,2002,2,19,A
37305,22527.083333,2002,2,20,A
37306,23606.250000,2002,2,21,A
37307,25154.166667,2002,2,22,A
37308,29356.250000,2002,2,23,A
37309,36766.666667,2002,2,24,A
37310,35645.833333,2002,2,25,A
37311,30125.000000,2002,2,26,A
37312,25933.333333,2002,2,27,A
37313,22985.416667,2002,2,28,A
37314,20995.833333,2002,3,1,A
37315,19556.250000,2002,3,2,A
37316,18085.416667,2002,3,3,A
37317,16618.750000,2002,3,4,A
37318,15866.666667,2002,3,5,A
37319,17466.666667,2002,3,6,A
37320,28995.833333,2002,3,7,A
37321,33943.750000,2002,3,8,A
37322,30364.583333,2002,3,9,A
37323,26960.416667,2002,3,10,A
37324,29016.666667,2002,3,11,A
37325,46281.250000,2002,3,12,A
37326,62302.083333,2002,3,13,A
37327,65397.916667,2002,3,14,A
37328,58343.750000,2002,3,15,A
37329,50141.666667,2002,3,16,A
37330,45495.833333,2002,3,17,A
37331,41902.083333,2002,3,18,A
37332,39995.833333,2002,3,19,A
37333,44233.333333,2002,3,20,A
37334,41779.166667,2002,3,21,A
37335,36439.583333,2002,3,22,A
37336,32708.333333,2002,3,23,A
37337,31525.000000,2002,3,24,A
37338,33379.166667,2002,3,25,A
37339,32252.083333,2002,3,26,A
37340,29735.416667,2002,3,27,A
37341,27250.000000,2002,3,28,A
37342,25029.166667,2002,3,29,A
