DAY_NDX,Q_CFS
722335,154
722336,148
722337,138
722338,130
722339,120
722340,115
722341,113
722342,108
722343,103
722344,444
722345,739
722346,580
722347,445
722348,477
722349,440
722350,371
722351,325
722352,286
722353,263
722354,260
722355,247
722356,233
722357,218
722358,215
722359,205
722360,195
722361,199
722362,210
722363,194
722364,181
722365,177
722366,171
722367,174
722368,172
722369,176
722370,316
722371,649
722372,2520
722373,1980
722374,1440
722375,1500
722376,1990
722377,1800
722378,1640
722379,1330
722380,1090
722381,1120
722382,1440
722383,1710
722384,1560
722385,1370
722386,1280
722387,1120
722388,1070
722389,1140
722390,1080
722391,1080
722392,1190
722393,1320
722394,1190
722395,1030
722396,1120
722397,1220
722398,1330
722399,1290
722400,1130
722401,958
722402,821
722403,704
722404,613
722405,534
722406,473
722407,425
722408,447
722409,403
722410,360
722411,337
722412,312
722413,287
722414,270
722415,254
722416,238
722417,226
722418,217
722419,214
722420,249
722421,249
722422,226
722423,235
722424,237
722425,227
722426,225
722427,219
722428,208
722429,200
722430,205
722431,194
722432,184
722433,211
722434,279
722435,440
722436,526
722437,622
722438,580
722439,528
722440,530
722441,524
722442,475
722443,431
722444,387
722445,353
722446,333
722447,321
722448,287
722449,264
722450,246
722451,266
722452,285
722453,249
722454,217
722455,214
722456,203
722457,193
722458,219
722459,636
722460,834
722461,739
722462,647
722463,557
722464,471
722465,406
722466,356
722467,318
722468,287
722469,263
722470,242
722471,226
722472,210
722473,196
722474,185
722475,175
722476,166
722477,162
722478,156
722479,146
722480,139
722481,136
722482,134
722483,130
722484,120
722485,111
722486,103
722487,95
722488,90
722489,84
722490,80
722491,79
722492,76
722493,72
722494,69
722495,66
722496,62
722497,58
722498,56
722499,54
722500,54
722501,63
722502,83
722503,73
722504,62
722505,59
722506,54
722507,50
722508,48
722509,47
722510,43
722511,39
722512,37
722513,36
722514,36
722515,37
722516,41
722517,42
722518,41
722519,38
722520,35
722521,33
722522,32
722523,31
722524,30
722525,35
722526,33
722527,32
722528,31
722529,28
722530,27
722531,24
722532,23
722533,21
722534,21
722535,20
722536,19
722537,18
722538,18
722539,16
722540,16
722541,16
722542,16
722543,16
722544,17
722545,16
722546,15
722547,14
722548,14
722549,13
722550,13
722551,13
722552,13
722553,13
722554,12
722555,12
722556,12
722557,12
722558,13
722559,13
722560,18
722561,18
722562,20
722563,19
722564,19
722565,20
722566,20
722567,19
722568,21
722569,21
722570,19
722571,18
722572,17
722573,16
722574,15
722575,15
722576,14
722577,15
722578,17
722579,52
722580,87
722581,66
722582,42
722583,34
722584,30
722585,27
722586,28
722587,27
722588,26
722589,24
722590,22
722591,21
722592,20
722593,19
722594,18
722595,18
722596,18
722597,18
722598,18
722599,17
722600,17
722601,17
722602,16
722603,16
722604,16
722605,16
722606,15
722607,15
722608,14
722609,15
722610,15
722611,13
722612,14
722613,14
722614,14
722615,16
722616,16
722617,15
722618,14
722619,14
722620,13
722621,14
722622,15
722623,14
722624,15
722625,18
722626,73
722627,259
722628,237
722629,102
722630,178
722631,128
722632,399
722633,500
722634,342
722635,277
722636,220
722637,202
722638,267
722639,229
722640,171
722641,190
722642,179
722643,250
722644,245
722645,191
722646,174
722647,160
722648,150
722649,135
722650,120
722651,110
722652,100
722653,95
722654,100
722655,110
722656,150
722657,280
722658,270
722659,240
722660,220
722661,400
722662,700
722663,850
722664,800
722665,740
722666,600
722667,460
722668,395
722669,335
722670,1310
722671,1380
722672,1560
722673,1450
722674,1000
722675,746
722676,590
722677,499
722678,486
722679,408
722680,392
722681,388
722682,358
722683,332
722684,304
722685,306
722686,535
722687,800
722688,1400
722689,1900
722690,1800
722691,1770
722692,1820
722693,1300
722694,968
722695,771
722696,642
722697,552
722698,509
722699,579
722700,970
722701,813
722702,728
722703,690
722704,1290
722705,1090
722706,872
722707,938
722708,1810
722709,2380
722710,1930
722711,5260
722712,5960
722713,4700
722714,3230
722715,2330
722716,1690
722717,1250
722718,1010
722719,841
722720,718
722721,625
722722,554
722723,499
722724,456
722725,418
722726,375
722727,338
722728,270
722729,312
722730,290
722731,342
722732,494
722733,586
722734,487
722735,436
722736,599
722737,654
722738,568
722739,514
722740,468
722741,426
722742,389
722743,361
722744,339
722745,318
722746,301
722747,326
722748,612
722749,761
722750,633
722751,547
722752,528
722753,521
