t, o
0, 5.351884
0, 4.870498
0, 4.445745
0, 4.162576
0, 3.964359
0, 3.822774
0, 3.596240
0, 3.511289
0, 3.511289
0, 3.851091
0, 3.681190
0, 3.341388
0, 3.822774
0, 9.825946
0, 9.599411
0, 7.758816
0, 6.569508
0, 5.833270
0, 5.408518
0, 5.125349
0, 5.635052
0, 5.748320
0, 5.323567
0, 5.521785
0, 5.861587
0, 5.918221
0, 5.436835
0, 5.125349
0, 6.342974
0, 7.843767
0, 7.164162
0, 6.541192
0, 6.201389
0, 6.173073
0, 6.824360
0, 7.390697
0, 7.419014
0, 6.965944
0, 6.484558
0, 6.371290
0, 6.059805
0, 6.399607
0, 6.088122
0, 5.521785
0, 5.181983
0, 4.955448
0, 5.040399
0, 4.813864
0, 5.125349
0, 5.465151
0, 5.040399
0, 7.673865
0, 8.636638
0, 7.815450
0, 7.079212
0, 6.399607
0, 5.748320
0, 5.295250
0, 4.983765
0, 5.125349
0, 6.852677
0, 6.427924
0, 5.833270
0, 5.521785
0, 5.012082
0, 4.700597
0, 4.530695
0, 4.870498
0, 4.842181
0, 4.502379
0, 4.275844
0, 4.077626
0, 4.049309
0, 4.134260
0, 4.275844
0, 6.569508
0, 6.909311
0, 7.022578
0, 7.277430
0, 6.796043
0, 6.229706
0, 5.748320
0, 5.380201
0, 6.031488
0, 6.739409
0, 7.758816
0, 13.422185
0, 12.402779
0, 10.420600
0, 9.231292
0, 8.806539
0, 8.183569
0, 7.900400
0, 7.390697
0, 6.880994
0, 6.937627
0, 7.588915
0, 7.135845
0, 7.164162
0, 6.852677
0, 8.523371
0, 8.834856
0, 8.693272
0, 8.013668
0, 7.447331
0, 6.965944
0, 6.682776
0, 6.201389
0, 6.059805
0, 6.059805
0, 5.521785
0, 5.068716
0, 4.870498
0, 4.700597
0, 4.389111
0, 4.134260
0, 3.907725
0, 4.077626
0, 4.134260
0, 4.700597
0, 6.682776
0, 5.804954
0, 5.040399
0, 4.587329
0, 4.247527
0, 3.992675
0, 3.681190
0, 3.426338
0, 3.228121
0, 3.086536
0, 2.944952
0, 2.803368
0, 2.746734
0, 3.086536
0, 5.521785
0, 5.691686
0, 5.040399
0, 4.190893
0, 3.737824
0, 3.426338
0, 3.086536
0, 2.860002
0, 2.661784
0, 2.491883
0, 2.378615
0, 2.293665
0, 2.208714
0, 2.152080
0, 2.208714
0, 2.123763
0, 1.953862
0, 1.897229
0, 1.953862
0, 2.152080
0, 2.237031
0, 2.180397
0, 2.180397
0, 2.010496
0, 1.755644
0, 1.642377
0, 1.642377
0, 1.614060
0, 2.010496
0, 2.123763
0, 1.727328
0, 1.585743
0, 1.472476
0, 1.444159
0, 1.387525
0, 1.245941
0, 1.160991
0, 1.104357
0, 1.076040
0, 1.104357
0, 1.189308
0, 1.217624
0, 1.302575
0, 3.114853
0, 3.171487
0, 2.208714
0, 1.755644
0, 1.529110
0, 1.302575
0, 1.160991
0, 1.132674
0, 1.019406
0, 0.991090
0, 0.962773
0, 0.934456
0, 0.821189
0, 0.821189
0, 0.792872
0, 0.764555
0, 0.707921
0, 0.707921
0, 0.707921
0, 0.707921
0, 0.707921
0, 0.707921
0, 0.679604
0, 0.679604
0, 0.679604
0, 0.679604
0, 0.651287
0, 0.594654
0, 0.594654
0, 0.538020
0, 0.538020
0, 0.538020
0, 0.566337
0, 0.764555
0, 0.764555
0, 0.736238
0, 0.651287
0, 0.594654
0, 0.594654
0, 0.566337
0, 0.538020
0, 0.566337
0, 0.481386
0, 0.453070
0, 0.424753
0, 0.424753
0, 0.424753
0, 0.396436
0, 0.396436
0, 0.396436
0, 0.396436
0, 0.424753
0, 0.453070
0, 0.453070
0, 0.396436
0, 0.396436
0, 0.509703
0, 0.962773
0, 0.849505
0, 0.792872
0, 0.651287
0, 0.509703
0, 0.424753
0, 0.396436
0, 0.368119
0, 0.368119
0, 0.396436
0, 0.424753
0, 0.396436
0, 0.396436
0, 0.396436
0, 0.368119
0, 0.368119
0, 0.368119
0, 0.339802
0, 0.311485
0, 0.283168
0, 0.269010
0, 0.257683
0, 0.263347
0, 0.368119
0, 0.424753
0, 0.368119
0, 0.396436
0, 0.368119
0, 0.339802
0, 0.311485
0, 0.339802
0, 0.339802
0, 0.283168
0, 0.368119
0, 0.481386
0, 0.481386
0, 0.481386
0, 0.481386
0, 0.481386
0, 0.424753
0, 0.396436
0, 0.368119
0, 0.339802
0, 0.339802
0, 0.339802
0, 0.368119
0, 0.396436
0, 0.396436
0, 0.424753
0, 0.538020
0, 0.679604
0, 0.849505
0, 0.679604
0, 0.651287
0, 0.622971
0, 0.594654
0, 0.566337
0, 0.538020
0, 0.538020
0, 0.509703
0, 0.622971
0, 1.868912
0, 2.435249
0, 1.500793
0, 1.076040
0, 0.877822
0, 0.877822
0, 0.849505
0, 1.897229
0, 2.718417
0, 3.001586
0, 2.624972
0, 2.038813
0, 1.565922
0, 1.243110
0, 1.044892
0, 0.971268
0, 0.838179
0, 0.764555
0, 0.733406
0, 0.699426
0, 0.733406
0, 1.112852
0, 5.578419
0, 5.861587
0, 4.049309
0, 3.284754
0, 2.624972
0, 2.656120
0, 4.559012
0, 7.645549
0, 32.564374
0, 43.891112
0, 26.532885
0, 19.312089
0, 14.781394
0, 11.666541
0, 28.883184
0, 65.695084
0, 49.837650
0, 100.807974
0, 85.516877
0, 51.536661
0, 42.475270
0, 61.164389
0, 61.447557
0, 60.881220
0, 45.873291
0, 34.546553
0, 27.495658
0, 25.230310
0, 24.012686
0, 39.360417
0, 88.065393
0, 69.942611
0, 66.261421
0, 83.251529
0, 61.730726
0, 49.554482
0, 39.643585
0, 30.865363
0, 25.541796
0, 21.435853
0, 18.264366
0, 15.999018
0, 14.243374
0, 13.223967
0, 15.744167
0, 13.903572
0, 12.884165
0, 14.979612
0, 17.414861
0, 20.076644
0, 18.009514
0, 16.168919
0, 15.291097
0, 35.679227
0, 70.508948
0, 83.251529
0, 57.766367
0, 39.926754
0, 30.299026
0, 26.108133
0, 23.361398
0, 20.218228
