Date,LowerBound,Deficit,Insufficient,Adequate,Abundant,UpperBound
-10,0,0.9,1.2,1.48,2,2
1,0.000,0.000,0.000,0.000,0.000,0.000
92,0.000,0.000,0.000,0.000,0.000,0.000
107,0.000,0.000,0.000,0.000,0.000,0.000
122,0.000,0.000,0.000,0.000,0.000,0.000
153,113.266,113.266,127.425,127.425,127.425,127.425
168,113.266,113.266,127.425,127.425,127.425,127.425
183,113.266,113.266,127.425,127.425,127.425,127.425
214,113.266,113.266,127.425,141.583,141.583,141.583
229,113.266,113.266,127.425,141.583,141.583,141.583
245,113.266,113.266,127.425,141.583,141.583,141.583
275,113.266,113.266,127.425,141.583,141.583,141.583
306,0.000,0.000,0.000,0.000,0.000,0.000
