timeInRun,elev_m,inflow_cms,outlfow_cms,active rule
706551,397.33,0.79,1.42,Min Flow - at Albany by Water Year Type:Max Con Flow - at Blue River
706552,397.07,0.83,8.5,Min Flow - at Albany by Water Year Type:Max Con Flow - at Blue River
706553,396.84,0.76,8.5,Minimum Flow - 50 cfs
706554,396.82,0.76,1.42,GC:Max Con Flow - at Blue River
706555,396.58,0.69,8.5,GC
706556,395.82,0.66,23.62,GC
706557,395.31,0.62,14.86,GC
706558,394.8,0.66,15.91,GC
706559,394.3,1.25,15.9,GC
706560,393.79,6.67,20.91,GC
706561,393.28,7.66,20.9,GC
706562,392.68,4.09,20.58,GC
706563,392.08,2.5,17.99,GC
706564,391.48,1.54,17.03,GC
706565,390.88,1.24,15.88,GC
706566,390.27,1.17,16.09,GC
706567,389.67,1.11,15.81,GC
706568,389.07,1.54,14.21,GC
706569,388.47,2.83,16.92,GC
706570,387.68,1.54,18.38,GC
706571,386.9,1.4,17.54,GC
706572,386.11,1.24,17.37,GC
706573,385.33,1.17,15.88,GC
706574,384.54,1.11,15.81,GC
706575,383.76,1.11,14.38,GC
706576,382.97,1.47,14.75,GC
706577,382.19,1.24,14.37,GC
706578,381.12,1.17,17.59,GC
706579,380.06,1.16,17.58,GC
706580,378.99,0.99,15.99,GC
706581,377.92,0.9,15.89,GC
706582,376.85,1.06,15.19,GC
706583,375.79,0.99,15.27,GC
706584,374.72,0.99,13.27,GC
706585,373.12,1.29,19.71,GC
706586,371.52,1.69,19.53,GC
706587,369.92,6.41,22.56,GC
706588,368.32,3.77,18.98,GC
706589,366.72,3.14,17.3,GC
706590,365.12,15.86,29.02,GC
706591,363.52,8.16,20.43,GC
706592,361.92,4.92,16.38,GC
706593,361.6,8.43,10.61,GC
706594,361.28,13.39,15.53,GC
706595,360.97,8.59,10.72,GC
706596,360.65,5.59,7.67,GC
706597,360.33,4,6.06,GC
706598,360.01,3.24,5.27,GC
706599,359.69,3.01,5.01,GC
706600,359.69,3.77,3.77,GC
706601,359.69,5.45,5.45,GC
706602,359.69,5.19,5.19,GC
706603,359.69,4.13,4.13,GC
706604,359.69,3.51,3.51,GC
706605,359.69,3.14,3.14,GC
706606,359.69,2.78,2.78,GC
706607,359.69,2.42,2.42,GC
706608,359.69,2.22,2.22,GC
706609,359.69,1.86,1.86,GC
706610,359.69,1.77,1.77,GC
706611,359.69,1.6,1.6,GC
706612,359.69,1.47,1.47,Min Flow - at Blue River
706613,359.69,1.4,1.42,GC
706614,359.69,2.56,2.55,GC
706615,359.69,5.63,5.63,GC
706616,359.69,9.9,9.9,GC
706617,359.69,7.19,7.19,GC
706618,359.69,9.01,9.01,GC
