timeInRun,elev_m,inflow_cms,outlfow_cms
706551,397.33,0.79,1.42
706552,397.07,0.83,8.5
706553,396.84,0.76,8.5
706554,396.82,0.76,1.42
706555,396.58,0.69,8.5
706556,395.82,0.66,23.62
706557,395.31,0.62,14.86
706558,394.8,0.66,15.91
706559,394.3,1.25,15.9
706560,393.79,6.67,20.91
706561,393.28,7.66,20.9
706562,392.68,4.09,20.58
706563,392.08,2.5,17.99
706564,391.48,1.54,17.03
706565,390.88,1.24,15.88
706566,390.27,1.17,16.09
706567,389.67,1.11,15.81
706568,389.07,1.54,14.21
706569,388.47,2.83,16.92
706570,387.68,1.54,18.38
706571,386.9,1.4,17.54
706572,386.11,1.24,17.37
706573,385.33,1.17,15.88
706574,384.54,1.11,15.81
706575,383.76,1.11,14.38
706576,382.97,1.47,14.75
706577,382.19,1.24,14.37
706578,381.12,1.17,17.59
706579,380.06,1.16,17.58
706580,378.99,0.99,15.99
706581,377.92,0.9,15.89
706582,376.85,1.06,15.19
706583,375.79,0.99,15.27
706584,374.72,0.99,13.27
706585,373.12,1.29,19.71
706586,371.52,1.69,19.53
706587,369.92,6.41,22.56
706588,368.32,3.77,18.98
706589,366.72,3.14,17.3
706590,365.12,15.86,29.02
706591,363.52,8.16,20.43
706592,361.92,4.92,16.38
706593,361.6,8.43,10.61
706594,361.28,13.39,15.53
706595,360.97,8.59,10.72
706596,360.65,5.59,7.67
706597,360.33,4,6.06
706598,360.01,3.24,5.27
706599,359.69,3.01,5.01
706600,359.69,3.77,3.77
706601,359.69,5.45,5.45
706602,359.69,5.19,5.19
706603,359.69,4.13,4.13
706604,359.69,3.51,3.51
706605,359.69,3.14,3.14
706606,359.69,2.78,2.78
706607,359.69,2.42,2.42
706608,359.69,2.22,2.22
706609,359.69,1.86,1.86
706610,359.69,1.77,1.77
706611,359.69,1.6,1.6
706612,359.69,1.47,1.47
706613,359.69,1.4,1.42
706614,359.69,2.56,2.55
706615,359.69,5.63,5.63
706616,359.69,9.9,9.9
706617,359.69,7.19,7.19
706618,359.69,9.01,9.01
706619,359.69,14.03,14.03
706620,359.69,21.95,21.95
706621,359.69,13.09,13.09
706622,359.69,9.6,9.6
706623,359.69,7.61,7.61
706624,359.69,6.47,6.47
706625,359.69,5.66,5.66
706626,359.69,5.14,5.14
706627,359.69,4.48,4.48
706628,359.69,4.08,4.08
706629,359.69,3.71,3.71
706630,359.69,3.3,3.3
706631,359.69,3.19,3.19
706632,359.69,3.05,3.05
706633,359.69,3.4,3.4
706634,359.69,3.66,3.66
706635,359.69,9.4,9.4
706636,359.69,10.36,10.36
706637,359.69,11.22,11.22
706638,359.69,23.81,23.81
706639,359.73,28.57,28.32
706640,359.84,29.12,28.49
706641,370.93,119.37,28.73
706642,371.47,60.22,55.24
706643,379.26,152.74,56.51
706644,379.82,83.02,75.12
706645,377.37,42.04,76.47
706646,373.99,28.83,70.61
706647,370.52,25.39,62.54
706648,368.77,36.77,54.25
706649,371.98,83.03,50.06
706650,377.83,122.36,52.46
706651,378.99,87.99,71.71
706652,379.51,78.08,70.75
706653,378.27,58.26,75.73
706654,376.5,49.34,72.76
706655,373.76,35.46,68.53
706656,370.5,26.74,62
706657,367.04,21.42,54.21
706658,364.21,22.91,45.94
706659,362.19,24.4,39.17
706660,360.14,20.67,34.34
706661,359.69,18.79,21.59
706662,359.69,18.79,18.79
706663,359.69,18.1,18.1
706664,359.69,17.44,17.44
706665,359.69,14.27,14.27
706666,359.69,12.89,12.89
706667,359.69,11.98,11.98
706668,359.69,10.79,10.79
706669,359.69,10.1,10.1
706670,360.37,9.31,5.05
706671,361.29,8.61,2.53
706672,362.25,8.02,1.42
706673,363.14,7.72,1.42
706674,363.97,7.59,1.42
706675,364.73,7.3,1.42
